Timestep,Electricity Generation (In State),Electricity Generation (Imports),Transportation,Industrial,Commercial,Residential,Agriculture & Forestry,Not Specified
2000,59.31435398,46.04018752,183.8624775,104.5547556,14.15998608,30.95767035,31.59534275,1.204222804
2001,63.32408161,59.1658948,184.4726586,102.8847836,14.07882167,30.01764412,31.73928885,1.070266027
2002,49.9687116,59.11800151,191.587238,104.1462295,16.09733958,30.15483627,33.81867663,0.936897745
2003,48.33058453,64.7007049,189.1675139,103.4582351,15.29528381,29.6708331,34.12231644,0.97627995
2004,49.41115993,66.1809493,191.2113743,106.0785725,15.83311344,30.70069324,33.41980612,0.873033341
2005,45.29658475,62.92798102,193.1507669,104.2716496,15.80115736,29.4719289,34.25950893,0.892357438
2006,50.08341895,54.77725715,193.3130091,101.8226964,16.53646194,29.90646321,35.41259179,0.892922461
2007,54.31888945,59.90413488,193.4677214,98.85672695,17.07480031,30.05853964,35.76962411,0.870793504
2008,54.51085825,65.9237257,182.6409625,99.46872792,17.68039065,30.47608246,35.78787727,0.847575617
2009,53.50633981,48.13051478,175.478236,97.09143928,18.64298555,30.21175427,33.49800475,0.790597772
2010,46.90963427,43.66787318,170.15905,100.92679,20.09009961,31.26365491,34.27037892,0.824428372
2011,41.36677999,46.94259637,166.5220819,100.6327249,20.73469859,32.03234272,34.89295424,0.789128949
2012,51.1826155,44.14770929,166.1562346,100.8913869,21.10767633,30.03763391,36.07864713,0.780552568
2013,49.59544164,40.23620567,165.799584,103.7475162,21.63651541,31.19120169,34.61101919,0.773845371
2014,51.81431373,36.5592337,167.1351131,104.2340278,21.36653539,26.25665119,35.95135178,0.777824766
2015,50.20865847,33.88275719,170.8918327,102.1031868,22.07142337,27.0453206,34.40898368,0.786514915
2016,42.67135599,26.28215587,174.0057521,100.3733539,23.04257938,28.34242752,33.84075392,0.792810715
