LUC,GCM,RCP,Flow,FlowPrimary,FromStock,Mean,Lower,Upper
BAU,CanESM2,rcp45,Deadfall,Deadfall,Standing Dead,172322.2,172322.2,172322.2
BAU,CanESM2,rcp45,Decay,Decay,Down Dead,173250.5,173250.5,173250.5
BAU,CanESM2,rcp45,Decomposition,Decomposition,Litter,514443.8,514443.8,514443.8
BAU,CanESM2,rcp45,Emission,Emission,Living Biomass,75919.3,75919.3,75919.3
BAU,CanESM2,rcp45,Emission (biomass),Emission,Living Biomass,61150.2,61150.2,61150.2
BAU,CanESM2,rcp45,Emission (litter),Emission,Litter,494168.1,494168.1,494168.1
BAU,CanESM2,rcp45,Emission (soil),Emission,Soil,503916.2,503916.2,503916.2
BAU,CanESM2,rcp45,Growth,Growth,Atmosphere,1285285.3,1285285.3,1285285.3
BAU,CanESM2,rcp45,Harvest,Harvest,Living Biomass,34334.1,34334.1,34334.1
BAU,CanESM2,rcp45,Harvest (grain),Harvest,Living Biomass,80869.5,80869.5,80869.5
BAU,CanESM2,rcp45,Harvest (straw),Harvest,Living Biomass,49228.6,49228.6,49228.6
BAU,CanESM2,rcp45,Leaching,Leaching,Soil,19007.5,19007.5,19007.5
BAU,CanESM2,rcp45,Litterfall,Litterfall,Living Biomass,844880.6,844880.6,844880.6
BAU,CanESM2,rcp45,Mortality,Mortality,Living Biomass,102066.4,102066.4,102066.4
BAU,CanESM2,rcp45,Mortality (insects high),Mortality,Living Biomass,55460.3,55460.3,55460.3
BAU,CanESM2,rcp45,Mortality (insects low),Mortality,Living Biomass,31893.6,31893.6,31893.6
BAU,CanESM2,rcp45,Mortality (insects medium),Mortality,Living Biomass,12156,12156,12156
BAU,CanESM2,rcp85,Deadfall,Deadfall,Standing Dead,181811.1,181811.1,181811.1
BAU,CanESM2,rcp85,Decay,Decay,Down Dead,182139.9,182139.9,182139.9
BAU,CanESM2,rcp85,Decomposition,Decomposition,Litter,545311.9,545311.9,545311.9
BAU,CanESM2,rcp85,Emission,Emission,Living Biomass,83892.3,83892.3,83892.3
BAU,CanESM2,rcp85,Emission (biomass),Emission,Living Biomass,59795.4,59795.4,59795.4
BAU,CanESM2,rcp85,Emission (litter),Emission,Litter,544321,544321,544321
BAU,CanESM2,rcp85,Emission (soil),Emission,Soil,544887.5,544887.5,544887.5
BAU,CanESM2,rcp85,Growth,Growth,Atmosphere,1404798.4,1404798.4,1404798.4
BAU,CanESM2,rcp85,Harvest,Harvest,Living Biomass,34181.1,34181.1,34181.1
BAU,CanESM2,rcp85,Harvest (grain),Harvest,Living Biomass,87865.2,87865.2,87865.2
BAU,CanESM2,rcp85,Harvest (straw),Harvest,Living Biomass,55019.8,55019.8,55019.8
BAU,CanESM2,rcp85,Leaching,Leaching,Soil,18626.9,18626.9,18626.9
BAU,CanESM2,rcp85,Litterfall,Litterfall,Living Biomass,910163.1,910163.1,910163.1
BAU,CanESM2,rcp85,Mortality,Mortality,Living Biomass,105628,105628,105628
BAU,CanESM2,rcp85,Mortality (insects high),Mortality,Living Biomass,62634.9,62634.9,62634.9
BAU,CanESM2,rcp85,Mortality (insects low),Mortality,Living Biomass,30985.5,30985.5,30985.5
BAU,CanESM2,rcp85,Mortality (insects medium),Mortality,Living Biomass,13348,13348,13348
BAU,CNRM-CM5,rcp45,Deadfall,Deadfall,Standing Dead,173689.1,173689.1,173689.1
BAU,CNRM-CM5,rcp45,Decay,Decay,Down Dead,173483.2,173483.2,173483.2
BAU,CNRM-CM5,rcp45,Decomposition,Decomposition,Litter,547761.4,547761.4,547761.4
BAU,CNRM-CM5,rcp45,Emission,Emission,Living Biomass,82014.8,82014.8,82014.8
BAU,CNRM-CM5,rcp45,Emission (biomass),Emission,Living Biomass,65818.3,65818.3,65818.3
BAU,CNRM-CM5,rcp45,Emission (litter),Emission,Litter,518148.6,518148.6,518148.6
BAU,CNRM-CM5,rcp45,Emission (soil),Emission,Soil,520070.9,520070.9,520070.9
BAU,CNRM-CM5,rcp45,Growth,Growth,Atmosphere,1377709.5,1377709.5,1377709.5
BAU,CNRM-CM5,rcp45,Harvest,Harvest,Living Biomass,36339.5,36339.5,36339.5
BAU,CNRM-CM5,rcp45,Harvest (grain),Harvest,Living Biomass,89205.5,89205.5,89205.5
BAU,CNRM-CM5,rcp45,Harvest (straw),Harvest,Living Biomass,56074.3,56074.3,56074.3
BAU,CNRM-CM5,rcp45,Leaching,Leaching,Soil,19668,19668,19668
BAU,CNRM-CM5,rcp45,Litterfall,Litterfall,Living Biomass,905412.2,905412.2,905412.2
BAU,CNRM-CM5,rcp45,Mortality,Mortality,Living Biomass,107312.5,107312.5,107312.5
BAU,CNRM-CM5,rcp45,Mortality (insects high),Mortality,Living Biomass,53534,53534,53534
BAU,CNRM-CM5,rcp45,Mortality (insects low),Mortality,Living Biomass,33510.1,33510.1,33510.1
BAU,CNRM-CM5,rcp45,Mortality (insects medium),Mortality,Living Biomass,11477.8,11477.8,11477.8
BAU,CNRM-CM5,rcp85,Deadfall,Deadfall,Standing Dead,175054.6,175054.6,175054.6
BAU,CNRM-CM5,rcp85,Decay,Decay,Down Dead,175159.7,175159.7,175159.7
BAU,CNRM-CM5,rcp85,Decomposition,Decomposition,Litter,544464,544464,544464
BAU,CNRM-CM5,rcp85,Emission,Emission,Living Biomass,77511.6,77511.6,77511.6
BAU,CNRM-CM5,rcp85,Emission (biomass),Emission,Living Biomass,65988.7,65988.7,65988.7
BAU,CNRM-CM5,rcp85,Emission (litter),Emission,Litter,529746.8,529746.8,529746.8
BAU,CNRM-CM5,rcp85,Emission (soil),Emission,Soil,534734.2,534734.2,534734.2
BAU,CNRM-CM5,rcp85,Growth,Growth,Atmosphere,1386262,1386262,1386262
BAU,CNRM-CM5,rcp85,Harvest,Harvest,Living Biomass,36588.2,36588.2,36588.2
BAU,CNRM-CM5,rcp85,Harvest (grain),Harvest,Living Biomass,87334.8,87334.8,87334.8
BAU,CNRM-CM5,rcp85,Harvest (straw),Harvest,Living Biomass,54529.6,54529.6,54529.6
BAU,CNRM-CM5,rcp85,Leaching,Leaching,Soil,19260.3,19260.3,19260.3
BAU,CNRM-CM5,rcp85,Litterfall,Litterfall,Living Biomass,904326,904326,904326
BAU,CNRM-CM5,rcp85,Mortality,Mortality,Living Biomass,107167.8,107167.8,107167.8
BAU,CNRM-CM5,rcp85,Mortality (insects high),Mortality,Living Biomass,56074.4,56074.4,56074.4
BAU,CNRM-CM5,rcp85,Mortality (insects low),Mortality,Living Biomass,33183.8,33183.8,33183.8
BAU,CNRM-CM5,rcp85,Mortality (insects medium),Mortality,Living Biomass,12483.8,12483.8,12483.8
BAU,HadGEM2-ES,rcp45,Deadfall,Deadfall,Standing Dead,163166,163166,163166
BAU,HadGEM2-ES,rcp45,Decay,Decay,Down Dead,162497.6,162497.6,162497.6
BAU,HadGEM2-ES,rcp45,Decomposition,Decomposition,Litter,478349.7,478349.7,478349.7
BAU,HadGEM2-ES,rcp45,Emission,Emission,Living Biomass,72833.4,72833.4,72833.4
BAU,HadGEM2-ES,rcp45,Emission (biomass),Emission,Living Biomass,57361.5,57361.5,57361.5
BAU,HadGEM2-ES,rcp45,Emission (litter),Emission,Litter,458234.3,458234.3,458234.3
BAU,HadGEM2-ES,rcp45,Emission (soil),Emission,Soil,485516.7,485516.7,485516.7
BAU,HadGEM2-ES,rcp45,Growth,Growth,Atmosphere,1189648.1,1189648.1,1189648.1
BAU,HadGEM2-ES,rcp45,Harvest,Harvest,Living Biomass,32635.8,32635.8,32635.8
BAU,HadGEM2-ES,rcp45,Harvest (grain),Harvest,Living Biomass,76650.4,76650.4,76650.4
BAU,HadGEM2-ES,rcp45,Harvest (straw),Harvest,Living Biomass,45763.1,45763.1,45763.1
BAU,HadGEM2-ES,rcp45,Leaching,Leaching,Soil,18545.2,18545.2,18545.2
BAU,HadGEM2-ES,rcp45,Litterfall,Litterfall,Living Biomass,784494.2,784494.2,784494.2
BAU,HadGEM2-ES,rcp45,Mortality,Mortality,Living Biomass,96682.6,96682.6,96682.6
BAU,HadGEM2-ES,rcp45,Mortality (insects high),Mortality,Living Biomass,59514.1,59514.1,59514.1
BAU,HadGEM2-ES,rcp45,Mortality (insects low),Mortality,Living Biomass,30509.6,30509.6,30509.6
BAU,HadGEM2-ES,rcp45,Mortality (insects medium),Mortality,Living Biomass,12751.7,12751.7,12751.7
BAU,HadGEM2-ES,rcp85,Deadfall,Deadfall,Standing Dead,170670.6,170670.6,170670.6
BAU,HadGEM2-ES,rcp85,Decay,Decay,Down Dead,169124,169124,169124
BAU,HadGEM2-ES,rcp85,Decomposition,Decomposition,Litter,475185.9,475185.9,475185.9
BAU,HadGEM2-ES,rcp85,Emission,Emission,Living Biomass,69854.1,69854.1,69854.1
BAU,HadGEM2-ES,rcp85,Emission (biomass),Emission,Living Biomass,57748.4,57748.4,57748.4
BAU,HadGEM2-ES,rcp85,Emission (litter),Emission,Litter,470531,470531,470531
BAU,HadGEM2-ES,rcp85,Emission (soil),Emission,Soil,504827.6,504827.6,504827.6
BAU,HadGEM2-ES,rcp85,Growth,Growth,Atmosphere,1187839.8,1187839.8,1187839.8
BAU,HadGEM2-ES,rcp85,Harvest,Harvest,Living Biomass,33516.3,33516.3,33516.3
BAU,HadGEM2-ES,rcp85,Harvest (grain),Harvest,Living Biomass,76101.1,76101.1,76101.1
BAU,HadGEM2-ES,rcp85,Harvest (straw),Harvest,Living Biomass,45320.8,45320.8,45320.8
BAU,HadGEM2-ES,rcp85,Leaching,Leaching,Soil,18056,18056,18056
BAU,HadGEM2-ES,rcp85,Litterfall,Litterfall,Living Biomass,778153.4,778153.4,778153.4
BAU,HadGEM2-ES,rcp85,Mortality,Mortality,Living Biomass,96337.8,96337.8,96337.8
BAU,HadGEM2-ES,rcp85,Mortality (insects high),Mortality,Living Biomass,58577.8,58577.8,58577.8
BAU,HadGEM2-ES,rcp85,Mortality (insects low),Mortality,Living Biomass,30997.5,30997.5,30997.5
BAU,HadGEM2-ES,rcp85,Mortality (insects medium),Mortality,Living Biomass,12552,12552,12552
BAU,MIROC5,rcp45,Deadfall,Deadfall,Standing Dead,155520,155520,155520
BAU,MIROC5,rcp45,Decay,Decay,Down Dead,154065.5,154065.5,154065.5
BAU,MIROC5,rcp45,Decomposition,Decomposition,Litter,468235.9,468235.9,468235.9
BAU,MIROC5,rcp45,Emission,Emission,Living Biomass,71000.7,71000.7,71000.7
BAU,MIROC5,rcp45,Emission (biomass),Emission,Living Biomass,60765,60765,60765
BAU,MIROC5,rcp45,Emission (litter),Emission,Litter,440971.7,440971.7,440971.7
BAU,MIROC5,rcp45,Emission (soil),Emission,Soil,474218.3,474218.3,474218.3
BAU,MIROC5,rcp45,Growth,Growth,Atmosphere,1146297.4,1146297.4,1146297.4
BAU,MIROC5,rcp45,Harvest,Harvest,Living Biomass,33790,33790,33790
BAU,MIROC5,rcp45,Harvest (grain),Harvest,Living Biomass,73569.5,73569.5,73569.5
BAU,MIROC5,rcp45,Harvest (straw),Harvest,Living Biomass,43206.1,43206.1,43206.1
BAU,MIROC5,rcp45,Leaching,Leaching,Soil,18930.4,18930.4,18930.4
BAU,MIROC5,rcp45,Litterfall,Litterfall,Living Biomass,764636.9,764636.9,764636.9
BAU,MIROC5,rcp45,Mortality,Mortality,Living Biomass,99773.7,99773.7,99773.7
BAU,MIROC5,rcp45,Mortality (insects high),Mortality,Living Biomass,57361.4,57361.4,57361.4
BAU,MIROC5,rcp45,Mortality (insects low),Mortality,Living Biomass,32222.5,32222.5,32222.5
BAU,MIROC5,rcp45,Mortality (insects medium),Mortality,Living Biomass,12609.7,12609.7,12609.7
BAU,MIROC5,rcp85,Deadfall,Deadfall,Standing Dead,166854.6,166854.6,166854.6
BAU,MIROC5,rcp85,Decay,Decay,Down Dead,168222,168222,168222
BAU,MIROC5,rcp85,Decomposition,Decomposition,Litter,471157.5,471157.5,471157.5
BAU,MIROC5,rcp85,Emission,Emission,Living Biomass,64686.1,64686.1,64686.1
