TransitionGroup,TransitionName,FlowPrimary,Mean,Lower,Upper
AgExpand,Ag Expansion,Emission,40785.40777481476,18197.237635641384,67944.26817397209
AgExpand,Ag Expansion,Harvest,6807.542921952063,2847.427737451222,13314.23625011721
Clearcut,Harvest,Emission,33286.03257763738,23724.299489321773,42024.27256321046
Clearcut,Harvest,Harvest,266288.26062109997,189794.3959145898,336194.18050563167
Clearcut,Harvest,Mortality,133144.1303105499,94897.19795729051,168097.0902528311
Fire,Wildfire,Emission,308165.8607616399,254932.4002067039,357884.9367734511
Fire,Wildfire,Mortality,176284.97188370617,140421.4238037738,222681.33805478283
Insects,Drought Mortality,Mortality,1034517.5891677222,915202.4714472486,1195428.5207238763
OrchardRemoval,Orchard Removal,Emission,258926.29782012082,207069.55540016072,322474.33307264384
Thinning,Harvest,Harvest,51398.859552579415,29457.695452012707,71421.97769338536
Urban,Urbanization,Emission,70604.85645028875,25451.513324426905,124417.58787909713
Urban,Urbanization,Harvest,5638.194933999726,1933.7623583145144,10197.245464988002
