LUC,GCM,RCP,Flux,Mean,Lower,Upper
BAU,CanESM2,rcp45,Emission (AgExpand),40.64999244331494,36.68616168485779,44.57729209567512
BAU,CanESM2,rcp45,Emission (Biomass),604.4790932471427,577.4272194479249,628.2732712319382
BAU,CanESM2,rcp45,Emission (Clearcut),33.95119669337185,31.953909099994135,35.460086937907505
BAU,CanESM2,rcp45,Emission (Fire),310.7699883511094,292.65062806592016,327.9602723799437
BAU,CanESM2,rcp45,Emission (Orchard Removal),254.7914464749121,245.42248078179216,264.4505543560583
BAU,CanESM2,rcp45,Emission (Urban),108.94109237299959,99.70879493737564,119.86807354238903
BAU,CanESM2,rcp45,Harvest (AgExpand),6.1655929272598,5.275179716742915,7.156652243183737
BAU,CanESM2,rcp45,Harvest (Clearcut),271.60957354698104,255.63127279995615,283.68069550325913
BAU,CanESM2,rcp45,Harvest (Grain),801.1003524022591,787.564044867171,813.4721223358952
BAU,CanESM2,rcp45,Harvest (Straw),488.6153423895274,477.10692677933673,498.0898472458771
BAU,CanESM2,rcp45,Harvest (Thinning),53.16890053046585,49.40592296169085,57.02101330718955
BAU,CanESM2,rcp45,Harvest (Urban),8.999738800658996,7.7047314132177425,10.243865579965163
BAU,CanESM2,rcp45,Leaching,187.905630550461,187.39074789462103,188.4259180540335
BAU,CanESM2,rcp45,LULCC,3171.1479407304637,3118.480144874896,3212.618719589582
BAU,CanESM2,rcp45,Mortality,1008.6431924509741,976.4440242190518,1039.0348097202677
BAU,CanESM2,rcp45,Mortality (Fire),174.9268472543566,165.07213406151675,185.89905257156545
BAU,CanESM2,rcp45,Mortality (Harvest),135.8047867734899,127.8156363999629,141.84034775163934
BAU,CanESM2,rcp45,Mortality (Insects),984.5372438359911,900.9878239585113,1078.6247225088925
BAU,CanESM2,rcp45,NECB,-324.15877726189166,-365.62044604116,-276.9030850733013
BAU,CanESM2,rcp45,NEP,2846.9891634685723,2774.184476435448,2904.34016446748
BAU,CanESM2,rcp45,NPP,12711.391008708417,12592.174932003512,12812.163365650427
BAU,CanESM2,rcp45,Rh,9864.401845239845,9813.78645477122,9916.084425016097
BAU,CanESM2,rcp85,Emission (AgExpand),42.0433148918682,38.24554922419837,45.5411923452837
BAU,CanESM2,rcp85,Emission (Biomass),589.9526465554106,542.3019082603921,645.2727739951185
