LUC,GCM,RCP,Flux,Mean,Lower,Upper
BAU,CanESM2,rcp45,Emission (AgExpand),0.5,0.4,0.5
BAU,CanESM2,rcp45,Emission (Biomass),7.1,6.8,7.4
BAU,CanESM2,rcp45,Emission (Clearcut),0.4,0.4,0.4
BAU,CanESM2,rcp45,Emission (Fire),3.7,3.4,3.9
BAU,CanESM2,rcp45,Emission (Orchard Removal),3,2.9,3.1
BAU,CanESM2,rcp45,Emission (Urban),1.3,1.2,1.4
BAU,CanESM2,rcp45,Harvest (AgExpand),0.1,0.1,0.1
BAU,CanESM2,rcp45,Harvest (Clearcut),3.2,3,3.3
BAU,CanESM2,rcp45,Harvest (Grain),9.4,9.3,9.6
BAU,CanESM2,rcp45,Harvest (Straw),5.7,5.6,5.9
BAU,CanESM2,rcp45,Harvest (Thinning),0.6,0.6,0.7
BAU,CanESM2,rcp45,Harvest (Urban),0.1,0.1,0.1
BAU,CanESM2,rcp45,Leaching,2.2,2.2,2.2
BAU,CanESM2,rcp45,LULCC,37.3,36.7,37.8
BAU,CanESM2,rcp45,Mortality,11.9,11.5,12.2
BAU,CanESM2,rcp45,Mortality (Fire),2.1,1.9,2.2
BAU,CanESM2,rcp45,Mortality (Harvest),1.6,1.5,1.7
BAU,CanESM2,rcp45,Mortality (Insects),11.6,10.6,12.7
BAU,CanESM2,rcp45,NECB,-3.8,-4.3,-3.3
BAU,CanESM2,rcp45,NEP,33.5,32.6,34.2
BAU,CanESM2,rcp45,NPP,149.5,148.1,150.7
BAU,CanESM2,rcp45,Rh,116.1,115.5,116.7
BAU,CanESM2,rcp85,Emission (AgExpand),0.5,0.4,0.5
BAU,CanESM2,rcp85,Emission (Biomass),6.9,6.4,7.6
BAU,CanESM2,rcp85,Emission (Clearcut),0.4,0.4,0.4
BAU,CanESM2,rcp85,Emission (Fire),4,3.8,4.2
BAU,CanESM2,rcp85,Emission (Orchard Removal),3.4,3.3,3.6
BAU,CanESM2,rcp85,Emission (Urban),1.4,1.2,1.5
BAU,CanESM2,rcp85,Harvest (AgExpand),0.1,0.1,0.1
BAU,CanESM2,rcp85,Harvest (Clearcut),3.2,3,3.4
BAU,CanESM2,rcp85,Harvest (Grain),10.2,10,10.3
BAU,CanESM2,rcp85,Harvest (Straw),6.4,6.2,6.5
BAU,CanESM2,rcp85,Harvest (Thinning),0.6,0.6,0.7
BAU,CanESM2,rcp85,Harvest (Urban),0.1,0.1,0.1
BAU,CanESM2,rcp85,Leaching,2.2,2.2,2.2
BAU,CanESM2,rcp85,LULCC,39.4,38.4,40.2
BAU,CanESM2,rcp85,Mortality,12.2,11.4,13
BAU,CanESM2,rcp85,Mortality (Fire),2.4,2.2,2.6
BAU,CanESM2,rcp85,Mortality (Harvest),1.6,1.5,1.7
BAU,CanESM2,rcp85,Mortality (Insects),12.5,10.9,14
BAU,CanESM2,rcp85,NECB,-2.9,-3.7,-2.1
BAU,CanESM2,rcp85,NEP,36.4,34.9,38.1
BAU,CanESM2,rcp85,NPP,162.8,160.6,165.1
BAU,CanESM2,rcp85,Rh,126.4,125.7,127
BAU,CNRM-CM5,rcp45,Emission (AgExpand),0.5,0.5,0.6
BAU,CNRM-CM5,rcp45,Emission (Biomass),7.7,7.4,7.9
BAU,CNRM-CM5,rcp45,Emission (Clearcut),0.4,0.4,0.4
BAU,CNRM-CM5,rcp45,Emission (Fire),3.6,3.4,3.9
BAU,CNRM-CM5,rcp45,Emission (Orchard Removal),3.5,3.3,3.6
BAU,CNRM-CM5,rcp45,Emission (Urban),1.5,1.3,1.6
BAU,CNRM-CM5,rcp45,Harvest (AgExpand),0.1,0.1,0.1
BAU,CNRM-CM5,rcp45,Harvest (Clearcut),3.4,3.2,3.5
BAU,CNRM-CM5,rcp45,Harvest (Grain),10.4,10.2,10.7
BAU,CNRM-CM5,rcp45,Harvest (Straw),6.6,6.4,6.8
BAU,CNRM-CM5,rcp45,Harvest (Thinning),0.7,0.6,0.7
BAU,CNRM-CM5,rcp45,Harvest (Urban),0.1,0.1,0.1
BAU,CNRM-CM5,rcp45,Leaching,2.3,2.3,2.3
BAU,CNRM-CM5,rcp45,LULCC,40.7,40.2,41.3
BAU,CNRM-CM5,rcp45,Mortality,12.5,12.2,12.8
BAU,CNRM-CM5,rcp45,Mortality (Fire),2,1.9,2.1
BAU,CNRM-CM5,rcp45,Mortality (Harvest),1.7,1.6,1.8
BAU,CNRM-CM5,rcp45,Mortality (Insects),11.5,10.7,12.5
BAU,CNRM-CM5,rcp45,NECB,-0.9,-1.4,-0.5
BAU,CNRM-CM5,rcp45,NEP,39.7,39,40.4
BAU,CNRM-CM5,rcp45,NPP,160.5,159.3,161.7
BAU,CNRM-CM5,rcp45,Rh,120.8,120.2,121.3
BAU,CNRM-CM5,rcp85,Emission (AgExpand),0.5,0.5,0.6
BAU,CNRM-CM5,rcp85,Emission (Biomass),7.7,7.4,8
BAU,CNRM-CM5,rcp85,Emission (Clearcut),0.4,0.4,0.4
BAU,CNRM-CM5,rcp85,Emission (Fire),3.3,3.1,3.5
BAU,CNRM-CM5,rcp85,Emission (Orchard Removal),3.4,3.2,3.5
BAU,CNRM-CM5,rcp85,Emission (Urban),1.4,1.3,1.5
BAU,CNRM-CM5,rcp85,Harvest (AgExpand),0.1,0.1,0.1
BAU,CNRM-CM5,rcp85,Harvest (Clearcut),3.4,3.2,3.6
BAU,CNRM-CM5,rcp85,Harvest (Grain),10.2,10,10.3
BAU,CNRM-CM5,rcp85,Harvest (Straw),6.4,6.2,6.5
BAU,CNRM-CM5,rcp85,Harvest (Thinning),0.7,0.6,0.7
BAU,CNRM-CM5,rcp85,Harvest (Urban),0.1,0.1,0.1
BAU,CNRM-CM5,rcp85,Leaching,2.2,2.2,2.2
BAU,CNRM-CM5,rcp85,LULCC,39.7,39.2,40.3
BAU,CNRM-CM5,rcp85,Mortality,12.5,12.1,12.8
BAU,CNRM-CM5,rcp85,Mortality (Fire),2,1.8,2.1
BAU,CNRM-CM5,rcp85,Mortality (Harvest),1.7,1.6,1.8
BAU,CNRM-CM5,rcp85,Mortality (Insects),11.8,10.7,12.9
BAU,CNRM-CM5,rcp85,NECB,-2.1,-2.8,-1.5
BAU,CNRM-CM5,rcp85,NEP,37.7,36.7,38.5
BAU,CNRM-CM5,rcp85,NPP,161.3,159.8,162.4
