Timestep,Flux,Mean,Lower,Upper
2002,Emission (AgExpand),0.7,0.6,0.8
2002,Emission (Biomass),9.4,9.4,9.4
2002,Emission (Clearcut),0.5,0.4,0.5
2002,Emission (Fire),3,2.9,3.1
2002,Emission (Orchard Removal),0.1,0,0.1
2002,Emission (Urban),1.4,1.2,1.5
2002,Harvest (AgExpand),0.1,0.1,0.2
2002,Harvest (Clearcut),3.7,3.3,4
2002,Harvest (Grain),8.7,8.7,8.7
2002,Harvest (Straw),6.6,6.6,6.6
2002,Harvest (Thinning),0.8,0.7,0.9
2002,Harvest (Urban),0.3,0.2,0.3
2002,Leaching,2.3,2.3,2.3
2002,LULCC,37.5,37,38
2002,Mortality,14.7,14.4,14.9
2002,Mortality (Fire),1.9,1.8,2.1
2002,Mortality (Harvest),1.8,1.7,2
2002,Mortality (Insects),2.1,2,2.1
2002,NECB,-27.3,-27.8,-26.9
2002,NEP,10.1,10.1,10.1
2002,NPP,136.2,136.2,136.2
2002,Rh,126,126,126
2003,Emission (AgExpand),0.3,0.2,0.4
2003,Emission (Biomass),9.4,9.4,9.4
2003,Emission (Clearcut),0.4,0.3,0.4
2003,Emission (Fire),3.8,3.7,4
2003,Emission (Orchard Removal),0.1,0,0.1
2003,Emission (Urban),0.7,0.6,0.9
2003,Harvest (AgExpand),0,0,0.1
2003,Harvest (Clearcut),3.1,2.8,3.4
2003,Harvest (Grain),9.3,9.3,9.4
2003,Harvest (Straw),7.1,7,7.1
2003,Harvest (Thinning),0.8,0.7,0.9
2003,Harvest (Urban),0.1,0.1,0.2
2003,Leaching,2.3,2.3,2.3
2003,LULCC,37.5,37,37.9
2003,Mortality,15.2,14.9,15.4
2003,Mortality (Fire),2.7,2.5,2.9
2003,Mortality (Harvest),1.5,1.4,1.7
2003,Mortality (Insects),5.3,5.2,5.3
2003,NECB,-6.3,-6.7,-5.8
2003,NEP,31.2,31.1,31.2
2003,NPP,155.9,155.8,155.9
2003,Rh,124.7,124.6,124.7
2004,Emission (AgExpand),0.3,0.2,0.4
2004,Emission (Biomass),9.3,9.3,9.3
2004,Emission (Clearcut),0.4,0.4,0.5
2004,Emission (Fire),1.5,1.4,1.6
2004,Emission (Orchard Removal),0.1,0,0.1
2004,Emission (Urban),0.8,0.6,0.9
2004,Harvest (AgExpand),0,0,0.1
2004,Harvest (Clearcut),3.4,3,3.7
2004,Harvest (Grain),10.3,10.2,10.3
2004,Harvest (Straw),7.8,7.8,7.8
2004,Harvest (Thinning),1,0.9,1.1
2004,Harvest (Urban),0.1,0.1,0.2
2004,Leaching,2.3,2.3,2.3
2004,LULCC,37.3,36.9,37.8
2004,Mortality,13.6,13.4,13.8
2004,Mortality (Fire),1,0.9,1.1
2004,Mortality (Harvest),1.7,1.5,1.9
2004,Mortality (Insects),5.4,5.3,5.5
2004,NECB,7.2,6.8,7.7
2004,NEP,44.6,44.5,44.7
2004,NPP,165.6,165.5,165.7
2004,Rh,121,121,121.1
2005,Emission (AgExpand),0.5,0.4,0.6
2005,Emission (Biomass),9.4,9.4,9.4
2005,Emission (Clearcut),0.5,0.4,0.5
2005,Emission (Fire),0.6,0.6,0.7
2005,Emission (Orchard Removal),0.1,0,0.1
2005,Emission (Urban),0.8,0.7,1
2005,Harvest (AgExpand),0.1,0,0.1
2005,Harvest (Clearcut),4,3.6,4.4
2005,Harvest (Grain),12.2,12.1,12.2
2005,Harvest (Straw),9.2,9.2,9.3
2005,Harvest (Thinning),0.8,0.7,0.8
2005,Harvest (Urban),0.1,0.1,0.2
2005,Leaching,2.3,2.3,2.3
2005,LULCC,40.5,40.1,41
2005,Mortality,13.4,13.2,13.6
2005,Mortality (Fire),0.4,0.3,0.5
2005,Mortality (Harvest),2,1.8,2.2
2005,Mortality (Insects),2.5,2.5,2.5
2005,NECB,38.6,38.1,39.1
2005,NEP,79.1,79,79.2
2005,NPP,198.2,198,198.3
2005,Rh,119.1,119,119.1
2006,Emission (AgExpand),0.5,0.4,0.5
2006,Emission (Biomass),9.5,9.5,9.5
2006,Emission (Clearcut),0.4,0.4,0.4
