LUC,Timestep,LULC,Mean,Lower,Upper
BAU,2001,Agriculture,45660,45660,45660
BAU,2001,Barren,19155,19155,19155
BAU,2001,Developed,23263,23263,23263
BAU,2001,Forest,156191,156191,156191
BAU,2001,Grassland,46293,46293,46293
BAU,2001,Shrubland,111792,111792,111792
BAU,2001,SnowIce,28,28,28
BAU,2001,Water,18655,18655,18655
BAU,2001,Wetland,2775,2775,2775
BAU,2002,Agriculture,45642.4525,45596,45683
BAU,2002,Barren,19155,19155,19155
BAU,2002,Developed,23619.52125,23584.95,23657
BAU,2002,Forest,156115.79,156095.97499999998,156135
BAU,2002,Grassland,46120.62,46088,46155
BAU,2002,Shrubland,111712.55375,111693,111732.02500000001
BAU,2002,SnowIce,28,28,28
BAU,2002,Water,18655,18655,18655
BAU,2002,Wetland,2763.0625,2753,2774.025
BAU,2003,Agriculture,45565.7275,45506.975,45615
BAU,2003,Barren,19155,19155,19155
BAU,2003,Developed,23838.60875,23790.975000000002,23887
BAU,2003,Forest,156089.04375,156065,156115.025
BAU,2003,Grassland,46053.34125,46006.975,46096
BAU,2003,Shrubland,111668.56125,111643,111693.025
BAU,2003,SnowIce,28,28,28
BAU,2003,Water,18655,18655,18655
BAU,2003,Wetland,2758.7175,2745,2773
BAU,2004,Agriculture,45491.27875,45428,45549
BAU,2004,Barren,19155,19155,19155
BAU,2004,Developed,24055.225,24002,24107.024999999998
BAU,2004,Forest,156062.1975,156033.975,156092.02500000002
BAU,2004,Grassland,45986.65233881163,45933,46041.25
BAU,2004,Shrubland,111624.13875,111598,111653
BAU,2004,SnowIce,28,28,28
BAU,2004,Water,18655,18655,18655
BAU,2004,Wetland,2754.3575,2739,2770
BAU,2005,Agriculture,45409.1225,45329.975,45482
BAU,2005,Barren,19155,19155,19155
BAU,2005,Developed,24282.02375,24224,24343
BAU,2005,Forest,156039.96469104665,156011,156072.4
BAU,2005,Grassland,45906.0275,45841,45967
BAU,2005,Shrubland,111584.7575,111551,111617
BAU,2005,SnowIce,28,28,28
BAU,2005,Water,18655,18655,18655
BAU,2005,Wetland,2752.45375,2734,2772.025
BAU,2006,Agriculture,45326.66375,45230,45408
BAU,2006,Barren,19155,19155,19155
BAU,2006,Developed,24508.9325,24438,24577
BAU,2006,Forest,156017.28172588832,155981,156053
BAU,2006,Grassland,45827.0325,45761.899999999994,45893.025
BAU,2006,Shrubland,111544.215,111506,111580.025
BAU,2006,SnowIce,28,28,28
BAU,2006,Water,18655,18655,18655
BAU,2006,Wetland,2750.13375,2730,2771
BAU,2007,Agriculture,45193.405,45102.899999999994,45291.05
BAU,2007,Barren,19155,19155,19155
BAU,2007,Developed,24672.2125,24594,24746
BAU,2007,Forest,156005.21492921494,155966,156050.8
BAU,2007,Grassland,45848.48125,45779.95,45922.025
BAU,2007,Shrubland,111504.06625,111462.975,111548
BAU,2007,SnowIce,28,28,28
BAU,2007,Water,18655,18655,18655
BAU,2007,Wetland,2750.77,2727.975,2774
BAU,2008,Agriculture,45060.685463659145,44953,45168
BAU,2008,Barren,19155,19155,19155
BAU,2008,Developed,24835.42,24764.95,24913.05
BAU,2008,Forest,155991.63928112964,155949,156038
BAU,2008,Grassland,45873.24,45798,45962
BAU,2008,Shrubland,111461.12,111419,111509
BAU,2008,SnowIce,28,28,28
BAU,2008,Water,18655,18655,18655
BAU,2008,Wetland,2751.8275,2725.9750000000004,2780
BAU,2009,Agriculture,44963.60453400504,44845,45081.7
BAU,2009,Barren,19155,19155,19155
BAU,2009,Developed,24939.86289308176,24864,25013.2
BAU,2009,Forest,155978.2210927573,155931.65000000002,156023
BAU,2009,Grassland,45890.53441802253,45800.95,45987
BAU,2009,Shrubland,111450.165,111407.975,111499
BAU,2009,SnowIce,28,28,28
BAU,2009,Water,18655,18655,18655
BAU,2009,Wetland,2750.4725,2723,2779.025
BAU,2010,Agriculture,44869.367758186396,44749.475,44988.174999999996
BAU,2010,Barren,19155,19155,19155
BAU,2010,Developed,25045.752201257863,24968,25124
BAU,2010,Forest,155963.164160401,155916,156009.07499999998
BAU,2010,Grassland,45906.32875,45814,46009.075000000004
BAU,2010,Shrubland,111439.2125,111393,111488
BAU,2010,SnowIce,28,28,28
BAU,2010,Water,18655,18655,18655
BAU,2010,Wetland,2749.38875,2722.95,2777.0499999999997
BAU,2011,Agriculture,44800.01375,44675,44935.024999999994
BAU,2011,Barren,19155,19155,19155
BAU,2011,Developed,25119.08625,25036,25201
BAU,2011,Forest,155956.44542032623,155910,156003
BAU,2011,Grassland,45922.32581453634,45822,46022.075000000004
BAU,2011,Shrubland,111430.335,111382,111479.02500000001
BAU,2011,SnowIce,28,28,28
BAU,2011,Water,18655,18655,18655
BAU,2011,Wetland,2745.43625,2717,2776
BAU,2012,Agriculture,44724.79125,44594.875,44855
BAU,2012,Barren,19155,19155,19155
BAU,2012,Developed,25193.16375,25109.95,25276
BAU,2012,Forest,155949.47934918647,155903,155998
BAU,2012,Grassland,45942.81407035176,45845,46050
BAU,2012,Shrubland,111420.51125,111370.97499999999,111468.025
BAU,2012,SnowIce,28,28,28
BAU,2012,Water,18655,18655,18655
BAU,2012,Wetland,2742.89125,2713,2772.025
BAU,2013,Agriculture,44670.9725,44519.975000000006,44848
BAU,2013,Barren,19155,19155,19155
BAU,2013,Developed,25376.19375,25228.975,25594
BAU,2013,Forest,155916.6525,155843.875,155974
BAU,2013,Grassland,45889.78266331658,45722.875,46053
BAU,2013,Shrubland,111380.31375,111309.975,111444
BAU,2013,SnowIce,28,28,28
BAU,2013,Water,18655,18655,18655
BAU,2013,Wetland,2739.53375,2702.975,2772
BAU,2014,Agriculture,44625.40625,44424,44835
BAU,2014,Barren,19155,19155,19155
BAU,2014,Developed,25557.935,25358,25817
BAU,2014,Forest,155882.405,155788.975,155953
BAU,2014,Grassland,45832.317897371715,45605.95,46019.049999999996
BAU,2014,Shrubland,111339.995,111254.975,111420
BAU,2014,SnowIce,28,28,28
BAU,2014,Water,18655,18655,18655
BAU,2014,Wetland,2735.73125,2698.975,2770
BAU,2015,Agriculture,44576.67,44356.975,44795.025
BAU,2015,Barren,19155,19155,19155
BAU,2015,Developed,25743.78875,25464.975,26052
BAU,2015,Forest,155848.14,155749.95,155929
BAU,2015,Grassland,45774.67375,45543,46017.025
BAU,2015,Shrubland,111298.73125,111193,111386.02500000001
BAU,2015,SnowIce,28,28,28
BAU,2015,Water,18655,18655,18655
BAU,2015,Wetland,2731.99625,2694.975,2771
BAU,2016,Agriculture,44525.8925,44301.95,44771.225
BAU,2016,Barren,19155,19155,19155
BAU,2016,Developed,25925.47,25596.925,26263.1
BAU,2016,Forest,155814.77375,155700.97499999998,155910
BAU,2016,Grassland,45720.5675,45461,45997.1
BAU,2016,Shrubland,111258.56625,111148.95,111362.075
BAU,2016,SnowIce,28,28,28
BAU,2016,Water,18655,18655,18655
BAU,2016,Wetland,2728.73,2686,2770
BAU,2017,Agriculture,44475.7425,44226.975,44734
BAU,2017,Barren,19155,19155,19155
BAU,2017,Developed,26114.12,25759.975,26468.100000000002
BAU,2017,Forest,155779.0125,155658.975,155885.025
BAU,2017,Grassland,45662.845,45392,45951.025
BAU,2017,Shrubland,111216.90625,111102,111331.02500000001
BAU,2017,SnowIce,28,28,28
BAU,2017,Water,18655,18655,18655
BAU,2017,Wetland,2725.37375,2681,2766
BAU,2018,Agriculture,44426.7975,44152.975,44705
BAU,2018,Barren,19155,19155,19155
BAU,2018,Developed,26296.8975,25917.85,26698.1
BAU,2018,Forest,155743.885,155609.975,155861
BAU,2018,Grassland,45608.15625,45284.675,45930.100000000006
BAU,2018,Shrubland,111175.57,111041.925,111289.025
BAU,2018,SnowIce,28,28,28
BAU,2018,Water,18655,18655,18655
BAU,2018,Wetland,2722.69375,2677.975,2767
BAU,2019,Agriculture,44375.6975,44082.975,44669.049999999996
BAU,2019,Barren,19155,19155,19155
BAU,2019,Developed,26482.6075,26063.925,26907.075
BAU,2019,Forest,155708.935,155562.95,155836
BAU,2019,Grassland,45554.20125,45203.875,45924.024999999994
BAU,2019,Shrubland,111133.14017521903,110999,111253
BAU,2019,SnowIce,28,28,28
BAU,2019,Water,18655,18655,18655
BAU,2019,Wetland,2719.585,2673,2767.025
BAU,2020,Agriculture,44323.03125,44025.975,44624.025
BAU,2020,Barren,19155,19155,19155
BAU,2020,Developed,26669.40625,26227.824999999997,27155.05
BAU,2020,Forest,155673.91,155515.97499999998,155812
BAU,2020,Grassland,45501.3425,45130,45863.1
BAU,2020,Shrubland,111089.595,110944.975,111222.1
BAU,2020,SnowIce,28,28,28
BAU,2020,Water,18655,18655,18655
BAU,2020,Wetland,2716.715,2669,2764
BAU,2021,Agriculture,44279.97744360902,43985.775,44584.45
BAU,2021,Barren,19155,19155,19155
BAU,2021,Developed,26857.582706766916,26405.1,27378
BAU,2021,Forest,155636.99125,155481.9,155792
BAU,2021,Grassland,45441.708385481856,45088.85,45855
BAU,2021,Shrubland,111045.55889724311,110888.85,111192
BAU,2021,SnowIce,28,28,28
BAU,2021,Water,18655,18655,18655
BAU,2021,Wetland,2713.19125,2666,2761.0249999999996
BAU,2022,Agriculture,44227.95375,43903,44556.149999999994
BAU,2022,Barren,19155,19155,19155
BAU,2022,Developed,27041.549436795995,26543.95,27580.45
BAU,2022,Forest,155600.7325,155431.975,155758.075
BAU,2022,Grassland,45390.155,44991.9,45822.15
