LUC,GCM,RCP,Iteration,Amount
BAU,CanESM2,rcp45,1,-319
BAU,CanESM2,rcp45,2,-350.8
BAU,CanESM2,rcp45,3,-315
BAU,CanESM2,rcp45,4,-335.3
BAU,CanESM2,rcp45,5,-300.8
BAU,CanESM2,rcp45,6,-314
BAU,CanESM2,rcp45,7,-296.5
BAU,CanESM2,rcp45,8,-360.9
BAU,CanESM2,rcp45,9,-350.1
BAU,CanESM2,rcp45,10,-349.6
BAU,CanESM2,rcp45,11,-338.2
BAU,CanESM2,rcp45,12,-343.3
BAU,CanESM2,rcp45,13,-322.3
BAU,CanESM2,rcp45,14,-351.1
BAU,CanESM2,rcp45,15,-377.3
BAU,CanESM2,rcp45,16,-306.3
BAU,CanESM2,rcp45,17,-349.2
BAU,CanESM2,rcp45,18,-344.8
BAU,CanESM2,rcp45,19,-319
BAU,CanESM2,rcp45,20,-342.9
BAU,CanESM2,rcp45,21,-332
BAU,CanESM2,rcp45,22,-344.3
BAU,CanESM2,rcp45,23,-313
BAU,CanESM2,rcp45,24,-304.2
BAU,CanESM2,rcp45,25,-346.8
BAU,CanESM2,rcp45,26,-307.2
BAU,CanESM2,rcp45,27,-295.1
BAU,CanESM2,rcp45,28,-302.8
BAU,CanESM2,rcp45,29,-316.8
BAU,CanESM2,rcp45,30,-379.5
BAU,CanESM2,rcp45,31,-328
BAU,CanESM2,rcp45,32,-334.5
BAU,CanESM2,rcp45,33,-299.6
BAU,CanESM2,rcp45,34,-362.7
BAU,CanESM2,rcp45,35,-320.2
BAU,CanESM2,rcp45,36,-303.2
BAU,CanESM2,rcp45,37,-280.8
BAU,CanESM2,rcp45,38,-329.5
BAU,CanESM2,rcp45,39,-322.5
BAU,CanESM2,rcp45,40,-357.5
BAU,CanESM2,rcp45,41,-334.2
BAU,CanESM2,rcp45,42,-296.3
BAU,CanESM2,rcp45,43,-330.9
BAU,CanESM2,rcp45,44,-341.5
BAU,CanESM2,rcp45,45,-326.3
BAU,CanESM2,rcp45,46,-315.7
BAU,CanESM2,rcp45,47,-295.1
BAU,CanESM2,rcp45,48,-328.6
BAU,CanESM2,rcp45,49,-319.6
BAU,CanESM2,rcp45,50,-368.2
BAU,CanESM2,rcp45,51,-335.8
BAU,CanESM2,rcp45,52,-352.8
BAU,CanESM2,rcp45,53,-286.6
BAU,CanESM2,rcp45,54,-315.3
BAU,CanESM2,rcp45,55,-345.7
BAU,CanESM2,rcp45,56,-320
BAU,CanESM2,rcp45,57,-296.5
BAU,CanESM2,rcp45,58,-347
BAU,CanESM2,rcp45,59,-340.4
BAU,CanESM2,rcp45,60,-352.7
