LUC,GCM,RCP,Timestep,Mean,Lower,Upper
BAU,CanESM2,rcp45,2002,-27.4,-27.8,-26.8
BAU,CanESM2,rcp45,2003,-6.3,-6.7,-5.9
BAU,CanESM2,rcp45,2004,7.3,6.8,7.7
BAU,CanESM2,rcp45,2005,38.6,38.1,39
BAU,CanESM2,rcp45,2006,4.5,4,4.8
BAU,CanESM2,rcp45,2007,-50.1,-50.6,-49.6
BAU,CanESM2,rcp45,2008,-28.8,-29.6,-28.3
BAU,CanESM2,rcp45,2009,-19.2,-19.9,-18.6
BAU,CanESM2,rcp45,2010,60.2,59.4,60.7
BAU,CanESM2,rcp45,2011,-4.2,-4.7,-3.6
BAU,CanESM2,rcp45,2012,-6.2,-6.8,-5.4
BAU,CanESM2,rcp45,2013,-89.9,-92.8,-87.1
BAU,CanESM2,rcp45,2014,-22.6,-25,-19.5
BAU,CanESM2,rcp45,2015,-44.6,-47.2,-41.7
BAU,CanESM2,rcp45,2016,33.2,30.5,35.8
BAU,CanESM2,rcp45,2017,-50.4,-54.5,-46
BAU,CanESM2,rcp45,2018,-21.3,-23.5,-18.3
BAU,CanESM2,rcp45,2019,33.2,29.9,36.4
BAU,CanESM2,rcp45,2020,6.6,2.8,10
BAU,CanESM2,rcp45,2021,9.2,6.2,12.7
BAU,CanESM2,rcp45,2022,24.8,19.7,29.3
BAU,CanESM2,rcp45,2023,-8,-12.6,-3.9
BAU,CanESM2,rcp45,2024,-25.2,-29.6,-20.6
BAU,CanESM2,rcp45,2025,29.7,24.8,33.8
BAU,CanESM2,rcp45,2026,-8.1,-11.9,-3.8
BAU,CanESM2,rcp45,2027,-32.4,-36.1,-29.3
BAU,CanESM2,rcp45,2028,-7.7,-11.5,-4
BAU,CanESM2,rcp45,2029,10.5,6.4,15.1
BAU,CanESM2,rcp45,2030,9.7,5.7,13.7
BAU,CanESM2,rcp45,2031,24.2,20.6,28.7
BAU,CanESM2,rcp45,2032,-46.8,-50.3,-43.3
BAU,CanESM2,rcp45,2033,-24.4,-28.4,-21.2
BAU,CanESM2,rcp45,2034,14.5,9.9,18.5
BAU,CanESM2,rcp45,2035,-44.2,-48.1,-39.3
BAU,CanESM2,rcp45,2036,-0.1,-3.4,3.3
BAU,CanESM2,rcp45,2037,-40.4,-43.4,-36.8
BAU,CanESM2,rcp45,2038,-3.9,-7.3,-0.2
BAU,CanESM2,rcp45,2039,7.8,3.5,11.2
BAU,CanESM2,rcp45,2040,18.7,15.2,22.2
BAU,CanESM2,rcp45,2041,46.8,43.2,49.9
BAU,CanESM2,rcp45,2042,11.3,7.7,15.5
BAU,CanESM2,rcp45,2043,16.4,13.1,20.9
BAU,CanESM2,rcp45,2044,-18.6,-23.3,-14.4
BAU,CanESM2,rcp45,2045,-18.1,-22.4,-13.5
BAU,CanESM2,rcp45,2046,-31.8,-36.2,-26.1
BAU,CanESM2,rcp45,2047,9.3,5.3,12.9
