LUC,GCM,RCP,Timestep,Flux,Mean,Lower,Upper
BAU,CanESM2,rcp45,2002,LULCC,37.5,36.9,37.9
BAU,CanESM2,rcp45,2002,NECB,-27.4,-27.8,-26.8
BAU,CanESM2,rcp45,2002,NEP,10.1,10.1,10.1
BAU,CanESM2,rcp45,2002,NPP,136.2,136.2,136.2
BAU,CanESM2,rcp45,2002,Rh,126,126,126
BAU,CanESM2,rcp45,2003,LULCC,37.5,37.1,37.9
BAU,CanESM2,rcp45,2003,NECB,-6.3,-6.7,-5.9
BAU,CanESM2,rcp45,2003,NEP,31.2,31.1,31.2
BAU,CanESM2,rcp45,2003,NPP,155.9,155.8,155.9
BAU,CanESM2,rcp45,2003,Rh,124.7,124.6,124.7
BAU,CanESM2,rcp45,2004,LULCC,37.3,36.9,37.7
BAU,CanESM2,rcp45,2004,NECB,7.3,6.8,7.7
BAU,CanESM2,rcp45,2004,NEP,44.6,44.5,44.6
BAU,CanESM2,rcp45,2004,NPP,165.6,165.5,165.7
BAU,CanESM2,rcp45,2004,Rh,121,121,121.1
BAU,CanESM2,rcp45,2005,LULCC,40.5,40.1,41.1
BAU,CanESM2,rcp45,2005,NECB,38.6,38.1,39
BAU,CanESM2,rcp45,2005,NEP,79.1,79,79.2
BAU,CanESM2,rcp45,2005,NPP,198.2,198,198.3
BAU,CanESM2,rcp45,2005,Rh,119.1,119,119.1
BAU,CanESM2,rcp45,2006,LULCC,43,42.7,43.5
BAU,CanESM2,rcp45,2006,NECB,4.5,4,4.8
BAU,CanESM2,rcp45,2006,NEP,47.5,47.4,47.6
BAU,CanESM2,rcp45,2006,NPP,168.6,168.5,168.8
BAU,CanESM2,rcp45,2006,Rh,121.1,121,121.1
BAU,CanESM2,rcp45,2007,LULCC,36.4,36,36.9
BAU,CanESM2,rcp45,2007,NECB,-50.1,-50.6,-49.6
BAU,CanESM2,rcp45,2007,NEP,-13.7,-13.7,-13.6
BAU,CanESM2,rcp45,2007,NPP,108.3,108.1,108.3
BAU,CanESM2,rcp45,2007,Rh,121.9,121.9,122
BAU,CanESM2,rcp45,2008,LULCC,48.7,48.2,49.5
BAU,CanESM2,rcp45,2008,NECB,-28.8,-29.6,-28.3
BAU,CanESM2,rcp45,2008,NEP,19.9,19.8,20
BAU,CanESM2,rcp45,2008,NPP,138.5,138.4,138.6
BAU,CanESM2,rcp45,2008,Rh,118.6,118.6,118.6
BAU,CanESM2,rcp45,2009,LULCC,35.7,35,36.4
BAU,CanESM2,rcp45,2009,NECB,-19.2,-19.9,-18.6
BAU,CanESM2,rcp45,2009,NEP,16.4,16.3,16.6
BAU,CanESM2,rcp45,2009,NPP,132.6,132.4,132.7
BAU,CanESM2,rcp45,2009,Rh,116.1,116.1,116.1
BAU,CanESM2,rcp45,2010,LULCC,40,39.4,40.6
BAU,CanESM2,rcp45,2010,NECB,60.2,59.4,60.7
BAU,CanESM2,rcp45,2010,NEP,100.1,99.9,100.4
BAU,CanESM2,rcp45,2010,NPP,209.4,209.1,209.6
BAU,CanESM2,rcp45,2010,Rh,109.2,109.2,109.3
BAU,CanESM2,rcp45,2011,LULCC,35.1,34.6,35.8
BAU,CanESM2,rcp45,2011,NECB,-4.2,-4.7,-3.6
BAU,CanESM2,rcp45,2011,NEP,31,30.8,31.1
BAU,CanESM2,rcp45,2011,NPP,144.4,144.2,144.6
BAU,CanESM2,rcp45,2011,Rh,113.4,113.4,113.5
BAU,CanESM2,rcp45,2012,LULCC,38.4,37.6,39.1
BAU,CanESM2,rcp45,2012,NECB,-6.2,-6.8,-5.4
BAU,CanESM2,rcp45,2012,NEP,32.2,32,32.4
