Timestep,Flux,Mean,Lower,Upper
2002,LULCC,37.5,37,38
2002,NECB,-27.3,-27.8,-26.9
2002,NEP,10.1,10.1,10.1
2002,NPP,136.2,136.2,136.2
2002,Rh,126,126,126
2003,LULCC,37.5,37,37.9
2003,NECB,-6.3,-6.7,-5.8
2003,NEP,31.2,31.1,31.2
2003,NPP,155.9,155.8,155.9
2003,Rh,124.7,124.6,124.7
2004,LULCC,37.3,36.9,37.8
2004,NECB,7.2,6.8,7.7
2004,NEP,44.6,44.5,44.7
2004,NPP,165.6,165.5,165.7
2004,Rh,121,121,121.1
2005,LULCC,40.5,40.1,41
2005,NECB,38.6,38.1,39.1
2005,NEP,79.1,79,79.2
2005,NPP,198.2,198,198.3
2005,Rh,119.1,119,119.1
2006,LULCC,43,42.5,43.5
2006,NECB,4.5,4,5
2006,NEP,47.5,47.4,47.6
2006,NPP,168.6,168.5,168.8
2006,Rh,121.1,121,121.1
2007,LULCC,36.4,35.9,36.9
2007,NECB,-50.1,-50.5,-49.5
2007,NEP,-13.7,-13.7,-13.6
2007,NPP,108.2,108.1,108.3
2007,Rh,121.9,121.9,121.9
2008,LULCC,48.7,48,49.3
2008,NECB,-28.7,-29.4,-28.1
2008,NEP,19.9,19.8,20
2008,NPP,138.5,138.4,138.6
2008,Rh,118.6,118.6,118.6
2009,LULCC,35.7,35,36.4
2009,NECB,-19.2,-19.9,-18.6
2009,NEP,16.4,16.3,16.6
2009,NPP,132.6,132.4,132.7
2009,Rh,116.1,116.1,116.2
2010,LULCC,40,39.4,40.7
2010,NECB,60.1,59.5,60.8
2010,NEP,100.1,99.9,100.4
2010,NPP,209.4,209.1,209.6
2010,Rh,109.2,109.2,109.3
2011,LULCC,35.1,34.5,35.7
2011,NECB,-4.1,-4.8,-3.5
2011,NEP,31,30.8,31.1
2011,NPP,144.4,144.2,144.6
2011,Rh,113.4,113.4,113.5
2012,LULCC,38.4,37.7,39.1
2012,NECB,-6.2,-6.9,-5.4
2012,NEP,32.2,32.1,32.4
2012,NPP,155.9,155.7,156.1
2012,Rh,123.7,123.6,123.8
2013,LULCC,31.6,28.8,34.7
2013,NECB,-89.8,-92.9,-87
2013,NEP,-58.2,-58.3,-58.2
2013,NPP,63.7,63.6,63.8
2013,Rh,121.9,121.8,122
2014,LULCC,37,34.1,39.9
2014,NECB,-22.5,-25.5,-19.6
2014,NEP,14.5,14.3,14.7
2014,NPP,142.4,142.1,142.7
2014,Rh,127.9,127.8,128
2015,LULCC,37,34,39.9
2015,NECB,-44.6,-47.5,-41.6
2015,NEP,-7.6,-7.7,-7.5
2015,NPP,113.1,112.9,113.4
2015,Rh,120.7,120.6,120.9
2016,LULCC,37.9,30.3,43.7
2016,NECB,18.4,-29.7,52.4
2016,NEP,56.2,3.5,92.7
2016,NPP,159.6,105.8,198.2
2016,Rh,103.4,98.9,106.2
2017,LULCC,36.1,30,43
2017,NECB,-24.4,-72.1,21.9
2017,NEP,11.7,-37.9,60.3
2017,NPP,122,75.2,169.3
2017,Rh,110.3,104.7,114
2018,LULCC,36.7,30.6,45.2
2018,NECB,1.3,-35.7,37.5
2018,NEP,38,0.5,79.7
2018,NPP,145.6,110.1,186.4
2018,Rh,107.6,101.8,111.7
2019,LULCC,40.1,31.6,47.9
2019,NECB,17.9,-39.8,46.7
2019,NEP,57.9,-4.6,86.8
2019,NPP,166.2,105.1,198.2
2019,Rh,108.3,105.1,112.7
2020,LULCC,39,29.9,50.2
2020,NECB,2.7,-46.2,59.6
2020,NEP,41.7,-12.5,106.6
2020,NPP,152.9,97.9,221.2
2020,Rh,111.2,105.3,116.5
2021,LULCC,38.3,32.4,43.3
2021,NECB,-1.3,-48.1,25.9
2021,NEP,37,-10.7,64.8
2021,NPP,145.5,107.9,170.5
2021,Rh,108.6,99.4,119
2022,LULCC,37.6,28.8,44.9
2022,NECB,-6.9,-59.7,65.1
2022,NEP,30.7,-28.1,107.4
2022,NPP,142.4,86.5,204.5
2022,Rh,111.7,94.5,119.9
2023,LULCC,37.8,32.2,45
2023,NECB,-8.7,-39.3,25.9
2023,NEP,29,-4.6,66.9
2023,NPP,141.4,101.9,180.3
2023,Rh,112.4,106.4,119.1
2024,LULCC,39.6,29.1,48.4
2024,NECB,12.9,-32,64.8
2024,NEP,52.5,-1.1,109
2024,NPP,163.1,101.2,222.5
2024,Rh,110.6,102.4,115.8
2025,LULCC,41.3,31.8,50.5
2025,NECB,15.6,-18.5,45
2025,NEP,56.9,16,91.9
2025,NPP,168.6,125.2,209.3
2025,Rh,111.7,108.3,117.4
2026,LULCC,40.2,34.5,46.5
2026,NECB,6.6,-13,27.7
2026,NEP,46.8,27.5,67.9
2026,NPP,163.3,148.6,178.1
2026,Rh,116.6,107.7,127.8
2027,LULCC,37.7,28.8,45.7
2027,NECB,-16.2,-76.5,30
2027,NEP,21.5,-37.9,69.7
2027,NPP,132.7,73.2,184.2
2027,Rh,111.2,105.3,119.8
2028,LULCC,36.1,29.6,46.8
2028,NECB,-13.7,-38.1,39.8
2028,NEP,22.4,-0.7,83.5
2028,NPP,132.7,110.4,192.6
2028,Rh,110.3,96.8,121
2029,LULCC,37.5,28.5,49.8
2029,NECB,-1.4,-44.5,48.8
2029,NEP,36.1,-13.8,91.5
2029,NPP,146.5,92.7,203.3
2029,Rh,110.4,98.1,117.9
2030,LULCC,39.3,30.1,49.9
2030,NECB,8.2,-50.8,42.1
2030,NEP,47.6,-18.3,85.5
2030,NPP,160.4,100.1,207.1
2030,Rh,112.8,103.6,128
2031,LULCC,38.4,29.8,49.7
2031,NECB,-7,-32.7,26.8
2031,NEP,31.4,0.4,70.7
2031,NPP,145.7,109.4,196.1
2031,Rh,114.3,105.7,125.6
2032,LULCC,39.7,30.6,51.3
2032,NECB,13.1,-48.5,47.5
2032,NEP,52.8,-14.2,89.1
2032,NPP,164.3,101.5,201.8
2032,Rh,111.5,102,121.5
2033,LULCC,37.5,29.8,49.8
2033,NECB,-11.4,-40.2,40.5
2033,NEP,26.1,-5.3,82.9
2033,NPP,140,98.8,195.4
2033,Rh,113.9,102.3,133.7
2034,LULCC,36.9,31.7,42.5
2034,NECB,-19.2,-56.7,16.6
2034,NEP,17.7,-18.4,55.1
2034,NPP,133,106,166
2034,Rh,115.3,106.4,127.2
2035,LULCC,35.4,29.6,41.2
2035,NECB,-22.2,-54.7,7.2
2035,NEP,13.2,-21.3,41.7
2035,NPP,125.7,92.6,145.2
2035,Rh,112.5,99.2,122.1
2036,LULCC,38,30.9,44.7
2036,NECB,7.2,-27.4,40.1
2036,NEP,45.2,6.6,80.9
2036,NPP,158.2,113,189.6
2036,Rh,113,103.7,120.7
2037,LULCC,36.9,28,46.6
2037,NECB,-4.3,-60.8,52
2037,NEP,32.7,-29.4,95.2
2037,NPP,145.7,84,211.9
2037,Rh,113.1,104.8,121.6
2038,LULCC,37.9,30.3,52.3
2038,NECB,0.8,-37.2,81.1
2038,NEP,38.7,-2.2,129.6
2038,NPP,151.8,114.4,244.8
2038,Rh,113.1,104.1,118.8
2039,LULCC,39.8,32.1,49.2
2039,NECB,11.3,-25.5,50.6
2039,NEP,51.1,12.1,89.2
2039,NPP,165.8,133.6,207
2039,Rh,114.7,106.5,123.9
2040,LULCC,39,30.4,50.3
2040,NECB,-1.6,-62.3,37.5
2040,NEP,37.4,-27.4,80
2040,NPP,149.5,83.8,194.9
2040,Rh,112.1,104.5,127.2
2041,LULCC,38.7,31.1,47.3
2041,NECB,6.8,-38.4,49.3
2041,NEP,45.4,-2.8,92.7
2041,NPP,160.1,111.3,208.8
2041,Rh,114.7,107.2,120.8
2042,LULCC,38.1,29.5,50
2042,NECB,-2.3,-32.5,32.9
2042,NEP,35.8,3.8,75.1
2042,NPP,151.9,113.6,205.4
2042,Rh,116.1,108.3,130.9
2043,LULCC,40.1,32.2,49.2
2043,NECB,16.5,-40.3,56.8
2043,NEP,56.6,-4.7,100.5
2043,NPP,172.9,113.7,215.2
2043,Rh,116.3,106.4,132.6
2044,LULCC,37.1,30.1,44.5
2044,NECB,-17.3,-60.6,15
2044,NEP,19.9,-27.3,52.7
2044,NPP,136.4,95.1,169.8
2044,Rh,116.5,109.8,124.4
2045,LULCC,40.2,29.7,49.1
2045,NECB,13.3,-24.8,44
2045,NEP,53.5,8.3,88.8
2045,NPP,169,117.6,209.1
2045,Rh,115.5,106.6,122.8
2046,LULCC,35.7,28.5,45.3
2046,NECB,-24.4,-60.2,27.6
2046,NEP,11.4,-26.6,68.5
2046,NPP,129.3,83.9,191.6
2046,Rh,118,109.9,127
2047,LULCC,35.1,28.6,41
2047,NECB,-23.8,-66.5,21.6
2047,NEP,11.4,-28.8,59
2047,NPP,130.7,104.9,175
2047,Rh,119.4,107.2,135.3
2048,LULCC,35.5,29.3,42.8
2048,NECB,-9.8,-31.8,15.6
2048,NEP,25.7,7.7,51
2048,NPP,141.1,126,168.5
2048,Rh,115.4,104.6,126.5
2049,LULCC,36.4,28.9,46
2049,NECB,-5.8,-46.4,65.1
2049,NEP,30.5,-13.9,106.9
2049,NPP,145.6,101.4,213.3
2049,Rh,115.1,105.1,124
2050,LULCC,38.1,30.6,46.3
2050,NECB,-1.4,-63.5,53.8
2050,NEP,36.6,-24,93.5
2050,NPP,153.3,103.3,206.3
2050,Rh,116.7,111.1,129
2051,LULCC,37.8,29.8,48
2051,NECB,1.3,-24.7,53.7
2051,NEP,39.1,9.4,97.8
2051,NPP,156.1,121.9,219.1
2051,Rh,117.1,108.9,126.7
2052,LULCC,36,26.7,49.9
2052,NECB,-22.6,-46.8,26.9
2052,NEP,13.4,-10.3,73
2052,NPP,131,100.3,194.6
2052,Rh,117.6,104.5,130.6
2053,LULCC,35.6,27.9,44
2053,NECB,-15.3,-49.6,22.1
2053,NEP,20.3,-14.5,62
2053,NPP,138.4,102.4,185.2
2053,Rh,118.1,111.5,124
2054,LULCC,35.7,26,45.8
2054,NECB,-9.5,-53.4,31.8
2054,NEP,26.2,-22.3,71.1
2054,NPP,143.9,93.1,202.2
2054,Rh,117.7,102.6,133.1
2055,LULCC,40.1,27.9,50.1
2055,NECB,25.9,-38.6,53.4
2055,NEP,66.1,-7.6,97.4
2055,NPP,183.3,102,220.2
2055,Rh,117.2,105.3,130.7
2056,LULCC,40.3,30.3,50.4
2056,NECB,18.2,-45.3,54.1
2056,NEP,58.5,-7.6,98.2
2056,NPP,176.4,120.7,217.9
2056,Rh,118,105.5,139.3
2057,LULCC,37.4,29.2,50.5
2057,NECB,-31,-63.9,-2
2057,NEP,6.4,-29.3,44.2
2057,NPP,128.3,88.9,192.6
2057,Rh,121.9,106.2,149.5
2058,LULCC,36.5,24.7,48.3
2058,NECB,-27.5,-76.7,43.4
2058,NEP,9,-41.8,87.2
2058,NPP,129,79.8,216.9
2058,Rh,120,102,136.8
2059,LULCC,35.3,24.5,53.2
2059,NECB,-12.7,-62.3,68.6
2059,NEP,22.6,-33.6,117.6
2059,NPP,142.1,76.8,260.6
2059,Rh,119.5,106,143.9
2060,LULCC,35.3,26.8,50.3
2060,NECB,-8.8,-46,46.3
2060,NEP,26.6,-8,92.8
2060,NPP,143.6,94.4,235.3
2060,Rh,117,97.5,143.4
2061,LULCC,35.9,29.6,44.7
2061,NECB,-5.3,-72.3,36.2
2061,NEP,30.6,-33.3,77.7
2061,NPP,146.5,118.4,194.2
2061,Rh,115.9,103.9,153.4
2062,LULCC,37.2,31.3,43.9
2062,NECB,-17,-60.7,30.7
2062,NEP,20.2,-23.3,68.4
2062,NPP,141,112,183.6
2062,Rh,120.8,101.3,137.1
2063,LULCC,35.6,28.1,42.6
2063,NECB,-13,-73.2,44.7
2063,NEP,22.6,-41,81.7
2063,NPP,138.2,85.8,187.2
2063,Rh,115.6,103.1,130.7
2064,LULCC,36.3,24.9,45.6
2064,NECB,-10.4,-56.8,33.9
2064,NEP,25.9,-29.7,75.8
2064,NPP,146,83.6,198.3
2064,Rh,120.1,109.7,131.1
2065,LULCC,37.3,26.9,52.8
2065,NECB,-0.6,-20.4,76.7
2065,NEP,36.7,14,125.6
2065,NPP,151.5,115,251.8
2065,Rh,114.8,100.5,127.1
2066,LULCC,34.4,23.2,42.9
2066,NECB,-16.8,-74.5,31.7
2066,NEP,17.5,-49.4,70.7
2066,NPP,136.4,56.9,190.6
2066,Rh,118.9,101.7,143.6
2067,LULCC,36.4,25,47.3
2067,NECB,-5.3,-54,44.2
2067,NEP,31,-27.1,86.9
