LUC,GCM,RCP,Timestep,StockGroup,Mean,Lower,Upper
BAU,CanESM2,rcp45,2001,Aquatic,0,0,0
BAU,CanESM2,rcp45,2001,Atmosphere,0,0,0
BAU,CanESM2,rcp45,2001,HAP,0,0,0
BAU,CanESM2,rcp45,2001,HWP,0,0,0
BAU,CanESM2,rcp45,2002,Aquatic,2.3,2.3,2.3
BAU,CanESM2,rcp45,2002,Atmosphere,4.8,4.5,5
BAU,CanESM2,rcp45,2002,HAP,15.4,15.4,15.4
BAU,CanESM2,rcp45,2002,HWP,4.9,4.5,5.2
BAU,CanESM2,rcp45,2003,Aquatic,4.7,4.7,4.7
BAU,CanESM2,rcp45,2003,Atmosphere,-11.7,-12.1,-11.4
BAU,CanESM2,rcp45,2003,HAP,31.7,31.7,31.8
BAU,CanESM2,rcp45,2003,HWP,8.9,8.5,9.5
BAU,CanESM2,rcp45,2004,Aquatic,7,7,7
BAU,CanESM2,rcp45,2004,Atmosphere,-43.9,-44.4,-43.5
BAU,CanESM2,rcp45,2004,HAP,49.8,49.7,49.9
BAU,CanESM2,rcp45,2004,HWP,13.5,13,14
BAU,CanESM2,rcp45,2005,Aquatic,9.3,9.3,9.3
BAU,CanESM2,rcp45,2005,Atmosphere,-111.2,-111.7,-110.6
BAU,CanESM2,rcp45,2005,HAP,71.2,71,71.3
BAU,CanESM2,rcp45,2005,HWP,18.4,17.7,19.3
BAU,CanESM2,rcp45,2006,Aquatic,11.6,11.6,11.6
BAU,CanESM2,rcp45,2006,Atmosphere,-142.6,-143.3,-141.9
BAU,CanESM2,rcp45,2006,HAP,91.4,91.2,91.6
BAU,CanESM2,rcp45,2006,HWP,22.6,22,23.6
BAU,CanESM2,rcp45,2007,Aquatic,13.9,13.9,13.9
BAU,CanESM2,rcp45,2007,Atmosphere,-112.9,-113.6,-112.2
BAU,CanESM2,rcp45,2007,HAP,105,104.8,105.3
BAU,CanESM2,rcp45,2007,HWP,27.1,26.3,28.1
BAU,CanESM2,rcp45,2008,Aquatic,16.2,16.2,16.2
BAU,CanESM2,rcp45,2008,Atmosphere,-107.1,-108,-106.1
BAU,CanESM2,rcp45,2008,HAP,119.4,119.1,119.8
BAU,CanESM2,rcp45,2008,HWP,33.3,32.6,34.4
BAU,CanESM2,rcp45,2009,Aquatic,18.5,18.5,18.5
