LUC,GCM,RCP,Timestep,StockGroup,Ecosystem,Mean,Lower,Upper
BAU,CanESM2,rcp45,2001,DOM,No,0,0,0
BAU,CanESM2,rcp45,2001,DOM,Yes,375.9,375.9,375.9
BAU,CanESM2,rcp45,2001,Live,No,0,0,0
BAU,CanESM2,rcp45,2001,Live,Yes,1804.3,1804.3,1804.3
BAU,CanESM2,rcp45,2001,Soil,No,0,0,0
BAU,CanESM2,rcp45,2001,Soil,Yes,2643,2643,2643
BAU,CanESM2,rcp45,2002,DOM,No,0,0,0
BAU,CanESM2,rcp45,2002,DOM,Yes,371.5,371.3,371.7
BAU,CanESM2,rcp45,2002,Live,No,0.1,0,0.1
BAU,CanESM2,rcp45,2002,Live,Yes,1782.5,1782,1783.2
BAU,CanESM2,rcp45,2002,Soil,No,1.8,1.6,2
BAU,CanESM2,rcp45,2002,Soil,Yes,2639.9,2639.6,2640.2
BAU,CanESM2,rcp45,2003,DOM,No,0,0,0
BAU,CanESM2,rcp45,2003,DOM,Yes,368.7,368.5,369
BAU,CanESM2,rcp45,2003,Live,No,0.1,0.1,0.1
BAU,CanESM2,rcp45,2003,Live,Yes,1783.1,1782.3,1783.9
BAU,CanESM2,rcp45,2003,Soil,No,2.8,2.5,3.1
BAU,CanESM2,rcp45,2003,Soil,Yes,2634.8,2634.4,2635.2
BAU,CanESM2,rcp45,2004,DOM,No,0,0,0
BAU,CanESM2,rcp45,2004,DOM,Yes,373.2,373,373.5
BAU,CanESM2,rcp45,2004,Live,No,0.1,0.1,0.1
BAU,CanESM2,rcp45,2004,Live,Yes,1791,1790,1791.8
BAU,CanESM2,rcp45,2004,Soil,No,3.8,3.4,4.2
BAU,CanESM2,rcp45,2004,Soil,Yes,2628.7,2628.1,2629.2
BAU,CanESM2,rcp45,2005,DOM,No,0,0,0
BAU,CanESM2,rcp45,2005,DOM,Yes,379.5,379.2,379.9
BAU,CanESM2,rcp45,2005,Live,No,0.1,0.1,0.2
BAU,CanESM2,rcp45,2005,Live,Yes,1827.5,1826.2,1828.5
