Timestep,StockGroup,Ecosystem,Mean,Lower,Upper
2001,DOM,No,0,0,0
2001,DOM,Yes,375.9,375.9,375.9
2001,Live,No,0,0,0
2001,Live,Yes,1804.3,1804.3,1804.3
2001,Soil,No,0,0,0
2001,Soil,Yes,2643,2643,2643
2002,DOM,No,0,0,0
2002,DOM,Yes,371.5,371.3,371.7
2002,Live,No,0.1,0,0.1
2002,Live,Yes,1782.6,1781.9,1783.2
2002,Soil,No,1.8,1.6,2
2002,Soil,Yes,2639.9,2639.6,2640.2
2003,DOM,No,0,0,0
2003,DOM,Yes,368.7,368.4,369
2003,Live,No,0.1,0.1,0.1
2003,Live,Yes,1783.1,1782.2,1784
2003,Soil,No,2.8,2.5,3.1
2003,Soil,Yes,2634.8,2634.4,2635.2
2004,DOM,No,0,0,0
2004,DOM,Yes,373.2,372.9,373.5
2004,Live,No,0.1,0.1,0.1
2004,Live,Yes,1791,1789.9,1792.1
2004,Soil,No,3.8,3.5,4.2
2004,Soil,Yes,2628.6,2628.1,2629.1
2005,DOM,No,0,0,0
2005,DOM,Yes,379.5,379.1,379.9
2005,Live,No,0.1,0.1,0.2
2005,Live,Yes,1827.5,1826.3,1828.8
2005,Soil,No,4.9,4.5,5.4
2005,Soil,Yes,2623.4,2622.8,2623.9
2006,DOM,No,0,0,0
2006,DOM,Yes,386.4,386,386.8
2006,Live,No,0.2,0.2,0.2
2006,Live,Yes,1826.3,1824.9,1827.7
2006,Soil,No,6,5.6,6.5
2006,Soil,Yes,2621.1,2620.5,2621.7
2007,DOM,No,0,0,0
2007,DOM,Yes,387.9,387.4,388.3
2007,Live,No,0.2,0.2,0.2
2007,Live,Yes,1775.3,1773.7,1776.7
2007,Soil,No,6.9,6.4,7.4
2007,Soil,Yes,2619.7,2619,2620.4
2008,DOM,No,0,0,0
2008,DOM,Yes,382.2,381.7,382.8
2008,Live,No,0.2,0.2,0.3
2008,Live,Yes,1756.1,1754.3,1757.9
2008,Soil,No,7.8,7.3,8.4
2008,Soil,Yes,2614.9,2614.2,2615.6
2009,DOM,No,0,0,0
2009,DOM,Yes,383,382.5,383.6
2009,Live,No,0.2,0.2,0.3
2009,Live,Yes,1740.9,1738.9,1743
2009,Soil,No,8.4,7.9,9
2009,Soil,Yes,2609.5,2608.7,2610.3
2010,DOM,No,0,0,0
2010,DOM,Yes,389.2,388.7,389.8
2010,Live,No,0.3,0.2,0.3
2010,Live,Yes,1799.3,1797.3,1801.6
2010,Soil,No,9,8.5,9.7
2010,Soil,Yes,2604.4,2603.6,2605.2
2011,DOM,No,0,0,0.1
2011,DOM,Yes,402.3,401.8,402.8
2011,Live,No,0.3,0.3,0.3
2011,Live,Yes,1780.7,1778.5,1783.1
2011,Soil,No,9.5,8.9,10.1
2011,Soil,Yes,2605.5,2604.6,2606.3
2012,DOM,No,0,0,0.1
2012,DOM,Yes,393.2,392.7,393.7
2012,Live,No,0.3,0.3,0.3
2012,Live,Yes,1781.7,1779.5,1784.2
2012,Soil,No,9.9,9.3,10.5
2012,Soil,Yes,2607,2606,2607.8
2013,DOM,No,0,0,0.1
2013,DOM,Yes,387.5,386.5,388.5
2013,Live,No,0.3,0.3,0.4
2013,Live,Yes,1698.3,1694.1,1702.5
2013,Soil,No,10.8,10.1,11.6
2013,Soil,Yes,2605.4,2604.2,2606.5
2014,DOM,No,0.1,0,0.1
2014,DOM,Yes,365,363.5,366.4
2014,Live,No,0.3,0.3,0.4
2014,Live,Yes,1705.5,1699.9,1711.7
2014,Soil,No,11.8,10.9,12.7
2014,Soil,Yes,2597.3,2596,2598.6
2015,DOM,No,0.1,0,0.1
2015,DOM,Yes,376.9,375.1,378.5
2015,Live,No,0.4,0.3,0.4
2015,Live,Yes,1658.5,1651.4,1666.6
2015,Soil,No,12.7,11.7,13.7
2015,Soil,Yes,2586.9,2585.2,2588.4
2016,DOM,No,0.1,0,0.1
2016,DOM,Yes,412.8,409.1,417.3
2016,Live,No,0.4,0.4,0.4
2016,Live,Yes,1652,1600.4,1691.8
2016,Soil,No,13.6,12.5,14.7
2016,Soil,Yes,2575.1,2573.2,2577
2017,DOM,No,0.1,0,0.1
2017,DOM,Yes,425.3,413.6,459.4
2017,Live,No,0.4,0.4,0.5
2017,Live,Yes,1621,1561.6,1670.1
2017,Soil,No,14.5,13.3,15.7
2017,Soil,Yes,2568.3,2564.3,2572.1
2018,DOM,No,0.1,0,0.1
2018,DOM,Yes,429.9,412.7,476.6
2018,Live,No,0.5,0.4,0.5
2018,Live,Yes,1623.7,1588.6,1682.7
2018,Soil,No,15.4,14.1,16.7
2018,Soil,Yes,2561.6,2554,2568.7
2019,DOM,No,0.1,0,0.1
2019,DOM,Yes,445.2,415.6,537.6
2019,Live,No,0.5,0.4,0.5
2019,Live,Yes,1630.6,1527,1688
2019,Soil,No,16.4,15,17.7
2019,Soil,Yes,2556.5,2546.9,2569.9
2020,DOM,No,0.1,0.1,0.1
2020,DOM,Yes,470.9,413.9,727.2
2020,Live,No,0.5,0.4,0.6
2020,Live,Yes,1609.4,1294.4,1703.8
2020,Soil,No,17.3,15.7,18.8
2020,Soil,Yes,2553.8,2543.5,2572.8
2021,DOM,No,0.1,0.1,0.1
2021,DOM,Yes,492,409.6,777.3
2021,Live,No,0.5,0.5,0.6
2021,Live,Yes,1588.2,1235.4,1696.9
2021,Soil,No,18.3,16.5,19.9
2021,Soil,Yes,2551.8,2538.9,2577.5
2022,DOM,No,0.1,0.1,0.1
2022,DOM,Yes,502.4,412.2,784.1
2022,Live,No,0.6,0.5,0.6
2022,Live,Yes,1571.5,1287.6,1694.4
2022,Soil,No,19.2,17.4,20.9
2022,Soil,Yes,2550.5,2533.7,2579.9
2023,DOM,No,0.1,0.1,0.1
2023,DOM,Yes,527.9,412.8,797.7
2023,Live,No,0.6,0.5,0.7
2023,Live,Yes,1538.4,1226.4,1673.9
2023,Soil,No,20.2,18.1,22.1
2023,Soil,Yes,2548.6,2528.4,2580
2024,DOM,No,0.1,0.1,0.1
2024,DOM,Yes,550.6,414,790.4
2024,Live,No,0.6,0.5,0.7
2024,Live,Yes,1530.2,1199.7,1707.2
2024,Soil,No,21.1,18.9,23.1
2024,Soil,Yes,2546.3,2522.7,2581.9
2025,DOM,No,0.1,0.1,0.1
2025,DOM,Yes,573.9,424.3,791.8
2025,Live,No,0.7,0.6,0.8
2025,Live,Yes,1522.4,1207.3,1696.9
2025,Soil,No,22,19.6,24.2
2025,Soil,Yes,2545.7,2517.8,2584.1
2026,DOM,No,0.1,0.1,0.1
2026,DOM,Yes,579.8,435.8,786.7
2026,Live,No,0.7,0.6,0.8
2026,Live,Yes,1521.5,1232.8,1668.3
2026,Soil,No,22.9,20.3,25.3
2026,Soil,Yes,2546.5,2512.8,2587.9
2027,DOM,No,0.1,0.1,0.1
2027,DOM,Yes,600.4,487.9,791.2
2027,Live,No,0.7,0.6,0.8
2027,Live,Yes,1483.7,1219.5,1672.2
2027,Soil,No,23.9,21,26.4
2027,Soil,Yes,2546.8,2508.8,2590.8
2028,DOM,No,0.1,0.1,0.1
2028,DOM,Yes,606.7,492.7,781.9
2028,Live,No,0.7,0.6,0.9
2028,Live,Yes,1463.4,1198.1,1659.2
2028,Soil,No,24.8,21.7,27.6
2028,Soil,Yes,2546.3,2505.7,2592.1
2029,DOM,No,0.1,0.1,0.1
2029,DOM,Yes,607.7,492.1,770
2029,Live,No,0.8,0.6,0.9
2029,Live,Yes,1461.7,1164.5,1679.4
2029,Soil,No,25.6,22.3,28.7
2029,Soil,Yes,2545,2501.3,2597.3
2030,DOM,No,0.1,0.1,0.1
2030,DOM,Yes,607.4,498.4,752.5
2030,Live,No,0.8,0.7,0.9
2030,Live,Yes,1470.6,1176,1707.7
2030,Soil,No,26.5,22.9,29.7
2030,Soil,Yes,2544.1,2500.6,2604.8
2031,DOM,No,0.1,0.1,0.1
2031,DOM,Yes,610.2,501.7,744.5
2031,Live,No,0.8,0.7,1
2031,Live,Yes,1460.7,1160.9,1714
2031,Soil,No,27.3,23.5,30.8
2031,Soil,Yes,2543.4,2501.1,2611.9
2032,DOM,No,0.1,0.1,0.1
2032,DOM,Yes,611.3,499.4,738.1
2032,Live,No,0.8,0.7,1
2032,Live,Yes,1473.7,1169.1,1722.4
2032,Soil,No,28.2,24,31.9
2032,Soil,Yes,2542,2499.4,2618.3
2033,DOM,No,0.1,0.1,0.1
2033,DOM,Yes,610.4,504.4,732.7
2033,Live,No,0.9,0.7,1
2033,Live,Yes,1462.6,1191.8,1715.3
2033,Soil,No,29,24.5,32.9
2033,Soil,Yes,2541.9,2498,2628.5
2034,DOM,No,0.1,0.1,0.1
2034,DOM,Yes,603.1,495.3,722.9
2034,Live,No,0.9,0.7,1.1
2034,Live,Yes,1451.3,1190.8,1658.3
2034,Soil,No,29.8,25,34
2034,Soil,Yes,2540.8,2494.6,2635.6
2035,DOM,No,0.1,0.1,0.1
2035,DOM,Yes,597.6,485.4,716.6
2035,Live,No,0.9,0.7,1.1
2035,Live,Yes,1436.9,1197.4,1634.5
2035,Soil,No,30.6,25.5,35
2035,Soil,Yes,2537.9,2488.8,2637.4
2036,DOM,No,0.1,0.1,0.1
2036,DOM,Yes,589.8,479.9,708.4
2036,Live,No,0.9,0.7,1.1
