LUC,GCM,RCP,Timestep,Ecosystem,Mean,Lower,Upper
BAU,CanESM2,rcp45,2001,No,0,0,0
BAU,CanESM2,rcp45,2001,Yes,4823.1,4823.1,4823.1
BAU,CanESM2,rcp45,2002,No,1.9,1.6,2.1
BAU,CanESM2,rcp45,2002,Yes,4793.9,4793.4,4794.6
BAU,CanESM2,rcp45,2003,No,2.9,2.6,3.2
BAU,CanESM2,rcp45,2003,Yes,4786.6,4785.8,4787.5
BAU,CanESM2,rcp45,2004,No,3.9,3.5,4.4
BAU,CanESM2,rcp45,2004,Yes,4792.9,4791.7,4793.8
BAU,CanESM2,rcp45,2005,No,5,4.6,5.5
BAU,CanESM2,rcp45,2005,Yes,4830.4,4829.3,4831.5
BAU,CanESM2,rcp45,2006,No,6.2,5.6,6.7
BAU,CanESM2,rcp45,2006,Yes,4833.8,4832.7,4835.1
BAU,CanESM2,rcp45,2007,No,7.1,6.5,7.6
BAU,CanESM2,rcp45,2007,Yes,4782.9,4781.6,4784.3
BAU,CanESM2,rcp45,2008,No,8,7.4,8.7
BAU,CanESM2,rcp45,2008,Yes,4753.2,4751.6,4754.6
BAU,CanESM2,rcp45,2009,No,8.7,8.1,9.4
BAU,CanESM2,rcp45,2009,Yes,4733.4,4731.7,4734.9
BAU,CanESM2,rcp45,2010,No,9.3,8.8,10
BAU,CanESM2,rcp45,2010,Yes,4792.9,4790.8,4795.1
BAU,CanESM2,rcp45,2011,No,9.8,9.1,10.5
BAU,CanESM2,rcp45,2011,Yes,4788.4,4786.3,4790.5
BAU,CanESM2,rcp45,2012,No,10.2,9.5,10.8
BAU,CanESM2,rcp45,2012,Yes,4781.8,4779.5,4783.9
BAU,CanESM2,rcp45,2013,No,11.2,10.3,12.2
BAU,CanESM2,rcp45,2013,Yes,4691.1,4686.9,4695.1
BAU,CanESM2,rcp45,2014,No,12.1,11.2,13.3
BAU,CanESM2,rcp45,2014,Yes,4667.6,4663.1,4672.4
BAU,CanESM2,rcp45,2015,No,13.1,11.9,14.6
BAU,CanESM2,rcp45,2015,Yes,4622.2,4615.7,4627.6
BAU,CanESM2,rcp45,2016,No,14,12.7,15.6
BAU,CanESM2,rcp45,2016,Yes,4654.6,4647.7,4661.9
BAU,CanESM2,rcp45,2017,No,15,13.4,16.4
BAU,CanESM2,rcp45,2017,Yes,4603.4,4595.2,4612.3
BAU,CanESM2,rcp45,2018,No,15.9,14.2,17.7
BAU,CanESM2,rcp45,2018,Yes,4581.4,4571.7,4590.9
BAU,CanESM2,rcp45,2019,No,16.9,15.1,18.6
BAU,CanESM2,rcp45,2019,Yes,4613.8,4605.5,4625.1
BAU,CanESM2,rcp45,2020,No,17.8,15.8,20
BAU,CanESM2,rcp45,2020,Yes,4619.6,4610.7,4632.1
BAU,CanESM2,rcp45,2021,No,18.7,16.4,20.8
BAU,CanESM2,rcp45,2021,Yes,4628.1,4618,4640.6
BAU,CanESM2,rcp45,2022,No,19.7,17.1,22.5
BAU,CanESM2,rcp45,2022,Yes,4652.2,4639.3,4668.3
BAU,CanESM2,rcp45,2023,No,20.7,18.1,23.4
BAU,CanESM2,rcp45,2023,Yes,4643.5,4630.3,4658.1
BAU,CanESM2,rcp45,2024,No,21.6,18.7,24.3
BAU,CanESM2,rcp45,2024,Yes,4617.5,4604.5,4633.3
BAU,CanESM2,rcp45,2025,No,22.6,19.7,25.3
BAU,CanESM2,rcp45,2025,Yes,4646.5,4633.7,4664.5
BAU,CanESM2,rcp45,2026,No,23.5,20.6,26.1
BAU,CanESM2,rcp45,2026,Yes,4637.7,4623.4,4658.2
BAU,CanESM2,rcp45,2027,No,24.4,21.2,27.1
BAU,CanESM2,rcp45,2027,Yes,4604.6,4589.5,4625.6
BAU,CanESM2,rcp45,2028,No,25.2,22.1,28.5
BAU,CanESM2,rcp45,2028,Yes,4596.4,4579.9,4620.7
BAU,CanESM2,rcp45,2029,No,26.2,22.8,29.5
BAU,CanESM2,rcp45,2029,Yes,4606.2,4586.6,4631
BAU,CanESM2,rcp45,2030,No,27.1,23.4,30.7
BAU,CanESM2,rcp45,2030,Yes,4615.3,4594,4643.3
BAU,CanESM2,rcp45,2031,No,27.9,24.2,31.9
BAU,CanESM2,rcp45,2031,Yes,4639,4615.6,4669.3
BAU,CanESM2,rcp45,2032,No,28.8,24.7,32.8
BAU,CanESM2,rcp45,2032,Yes,4591.6,4567.2,4621.9
BAU,CanESM2,rcp45,2033,No,29.7,25.6,33.6
BAU,CanESM2,rcp45,2033,Yes,4566.7,4541,4597.9
BAU,CanESM2,rcp45,2034,No,30.7,27,34
BAU,CanESM2,rcp45,2034,Yes,4580.6,4553,4612.8
BAU,CanESM2,rcp45,2035,No,31.7,27.7,35.3
BAU,CanESM2,rcp45,2035,Yes,4535.8,4505.9,4570.6
BAU,CanESM2,rcp45,2036,No,32.6,28.4,36.1
BAU,CanESM2,rcp45,2036,Yes,4535.1,4504.7,4571.8
BAU,CanESM2,rcp45,2037,No,33.5,29.5,37.4
BAU,CanESM2,rcp45,2037,Yes,4494.1,4463.3,4529.7
BAU,CanESM2,rcp45,2038,No,34.5,30.4,38.3
BAU,CanESM2,rcp45,2038,Yes,4489.5,4460,4526.5
BAU,CanESM2,rcp45,2039,No,35.4,31,39.1
BAU,CanESM2,rcp45,2039,Yes,4496.8,4467.7,4534.5
BAU,CanESM2,rcp45,2040,No,36.2,31.8,39.9
BAU,CanESM2,rcp45,2040,Yes,4515.1,4485.5,4554.3
BAU,CanESM2,rcp45,2041,No,37.1,32.4,40.9
BAU,CanESM2,rcp45,2041,Yes,4561.4,4532.3,4600.8
BAU,CanESM2,rcp45,2042,No,38,33.2,42
BAU,CanESM2,rcp45,2042,Yes,4572.1,4543.4,4610.3
BAU,CanESM2,rcp45,2043,No,39,34.2,42.9
BAU,CanESM2,rcp45,2043,Yes,4588,4557,4626.7
BAU,CanESM2,rcp45,2044,No,40,35.2,44.1
BAU,CanESM2,rcp45,2044,Yes,4568.9,4541.9,4607.3
BAU,CanESM2,rcp45,2045,No,40.8,35.9,44.9
BAU,CanESM2,rcp45,2045,Yes,4550.4,4524.5,4587
BAU,CanESM2,rcp45,2046,No,41.7,36.6,46
BAU,CanESM2,rcp45,2046,Yes,4518.1,4491.1,4553.4
BAU,CanESM2,rcp45,2047,No,42.6,37.6,47
BAU,CanESM2,rcp45,2047,Yes,4526.9,4498.5,4561.8
BAU,CanESM2,rcp45,2048,No,43.5,38.2,47.5
BAU,CanESM2,rcp45,2048,Yes,4503,4472.4,4536.7
BAU,CanESM2,rcp45,2049,No,44.5,39.9,48.6
BAU,CanESM2,rcp45,2049,Yes,4485.2,4453,4516.3
BAU,CanESM2,rcp45,2050,No,45.3,40.5,49.7
BAU,CanESM2,rcp45,2050,Yes,4459.9,4427.6,4492.5
BAU,CanESM2,rcp45,2051,No,46.2,41.3,50.5
BAU,CanESM2,rcp45,2051,Yes,4436.4,4405,4469.9
BAU,CanESM2,rcp45,2052,No,47.2,42.4,51.6
BAU,CanESM2,rcp45,2052,Yes,4437.1,4404.3,4471.2
BAU,CanESM2,rcp45,2053,No,48,43.4,52.5
BAU,CanESM2,rcp45,2053,Yes,4416.3,4381.9,4450.6
BAU,CanESM2,rcp45,2054,No,49,44.4,53.2
BAU,CanESM2,rcp45,2054,Yes,4415,4379.1,4449.3
BAU,CanESM2,rcp45,2055,No,49.8,44.9,53.8
BAU,CanESM2,rcp45,2055,Yes,4453.6,4417.8,4490.2
BAU,CanESM2,rcp45,2056,No,50.7,45.6,55.1
BAU,CanESM2,rcp45,2056,Yes,4493.6,4457.2,4531.4
BAU,CanESM2,rcp45,2057,No,51.7,46.7,55.7
BAU,CanESM2,rcp45,2057,Yes,4454.2,4418.5,4491.3
BAU,CanESM2,rcp45,2058,No,52.5,47.3,57.1
BAU,CanESM2,rcp45,2058,Yes,4459,4422.8,4496.4
BAU,CanESM2,rcp45,2059,No,53.4,47.8,57.8
BAU,CanESM2,rcp45,2059,Yes,4408.7,4373.2,4445.1
BAU,CanESM2,rcp45,2060,No,54.2,48.6,58.4
BAU,CanESM2,rcp45,2060,Yes,4392.3,4355.7,4429.8
BAU,CanESM2,rcp45,2061,No,55.1,49.3,59.2
BAU,CanESM2,rcp45,2061,Yes,4403.4,4366,4440.9
BAU,CanESM2,rcp45,2062,No,56,49.8,59.8
BAU,CanESM2,rcp45,2062,Yes,4390,4348.5,4426.4
BAU,CanESM2,rcp45,2063,No,57,50.9,61.3
BAU,CanESM2,rcp45,2063,Yes,4413.3,4370.4,4450.9
BAU,CanESM2,rcp45,2064,No,58,52.5,62.1
BAU,CanESM2,rcp45,2064,Yes,4442.9,4398,4482.8
BAU,CanESM2,rcp45,2065,No,58.8,53.1,62.9
BAU,CanESM2,rcp45,2065,Yes,4447.3,4400.3,4487.4
BAU,CanESM2,rcp45,2066,No,59.7,54.1,64.2
BAU,CanESM2,rcp45,2066,Yes,4475.6,4430.8,4512.6
BAU,CanESM2,rcp45,2067,No,60.6,54.7,65.2
BAU,CanESM2,rcp45,2067,Yes,4474.9,4428,4513
BAU,CanESM2,rcp45,2068,No,61.5,55.5,66
BAU,CanESM2,rcp45,2068,Yes,4489.5,4442.8,4529.6
BAU,CanESM2,rcp45,2069,No,62.4,56.6,66.8
BAU,CanESM2,rcp45,2069,Yes,4417.7,4368.3,4459.4
BAU,CanESM2,rcp45,2070,No,63.3,57.5,68
BAU,CanESM2,rcp45,2070,Yes,4442.7,4393.5,4483.3
BAU,CanESM2,rcp45,2071,No,64.3,58.5,68.9
BAU,CanESM2,rcp45,2071,Yes,4443.1,4394.3,4483.1
BAU,CanESM2,rcp45,2072,No,65.3,59.4,70.5
BAU,CanESM2,rcp45,2072,Yes,4386,4337.8,4430.8
BAU,CanESM2,rcp45,2073,No,66.2,60.5,71.7
BAU,CanESM2,rcp45,2073,Yes,4366.6,4316.5,4410.4
BAU,CanESM2,rcp45,2074,No,67.1,61.4,72.9
BAU,CanESM2,rcp45,2074,Yes,4357,4307.2,4399.8
BAU,CanESM2,rcp45,2075,No,68,62,73.9
BAU,CanESM2,rcp45,2075,Yes,4388.6,4337.9,4430.5
BAU,CanESM2,rcp45,2076,No,68.9,62.8,74.6
BAU,CanESM2,rcp45,2076,Yes,4387.6,4337,4429.1
BAU,CanESM2,rcp45,2077,No,69.8,63.7,75.6
BAU,CanESM2,rcp45,2077,Yes,4392.9,4343.8,4434.8
BAU,CanESM2,rcp45,2078,No,70.8,64.5,76.6
BAU,CanESM2,rcp45,2078,Yes,4451.6,4402.7,4493.2
BAU,CanESM2,rcp45,2079,No,71.8,65.5,77.7
BAU,CanESM2,rcp45,2079,Yes,4463.5,4412.8,4505
BAU,CanESM2,rcp45,2080,No,72.6,66.6,78.6
BAU,CanESM2,rcp45,2080,Yes,4406.9,4356.6,4450.9
BAU,CanESM2,rcp45,2081,No,73.6,67.5,79.8
BAU,CanESM2,rcp45,2081,Yes,4411.5,4360.8,4457.5
BAU,CanESM2,rcp45,2082,No,74.5,68.6,80.8
BAU,CanESM2,rcp45,2082,Yes,4449.5,4397.6,4496.9
BAU,CanESM2,rcp45,2083,No,75.4,69.7,81.7
BAU,CanESM2,rcp45,2083,Yes,4391.7,4341,4439.5
BAU,CanESM2,rcp45,2084,No,76.3,70.7,82.6
BAU,CanESM2,rcp45,2084,Yes,4377.9,4327.4,4426.8
BAU,CanESM2,rcp45,2085,No,77.3,71.1,83.6
BAU,CanESM2,rcp45,2085,Yes,4405.6,4355.6,4453.5
BAU,CanESM2,rcp45,2086,No,78.2,72,84.9
BAU,CanESM2,rcp45,2086,Yes,4386.6,4335.2,4435.5
BAU,CanESM2,rcp45,2087,No,79.2,72.4,86
BAU,CanESM2,rcp45,2087,Yes,4433.2,4379,4484.4
BAU,CanESM2,rcp45,2088,No,80,73,86.7
BAU,CanESM2,rcp45,2088,Yes,4428.9,4374.9,4482.3
BAU,CanESM2,rcp45,2089,No,80.9,74.2,87.8
BAU,CanESM2,rcp45,2089,Yes,4412.3,4358.5,4462.8
BAU,CanESM2,rcp45,2090,No,81.8,74.6,89.1
BAU,CanESM2,rcp45,2090,Yes,4348,4295.1,4399.4
