GCM,RCP,Timestep,TransitionGroup,GroupType,Mean,Lower,Upper
CanESM2,rcp45,2002,AGRICULTURAL CHANGE,Group,103.105,53,155.05999999999995
CanESM2,rcp45,2002,AGRICULTURAL CHANGE: Annual->Perennial [Type],Type,99.215,49,153.02999999999997
CanESM2,rcp45,2002,AGRICULTURAL CHANGE: Perennial->Annual [Type],Type,4.346368715083799,1,10.289999999999964
CanESM2,rcp45,2002,AGRICULTURAL CONTRACTION,Group,125.705,103.95,149.02999999999997
CanESM2,rcp45,2002,AGRICULTURAL CONTRACTION: Annual->Forest [Type],Type,21.4975,13,29
CanESM2,rcp45,2002,AGRICULTURAL CONTRACTION: Annual->Grassland [Type],Type,69.0875,54.975,85.02999999999997
CanESM2,rcp45,2002,AGRICULTURAL CONTRACTION: Annual->Shrubland [Type],Type,22.8525,14,31
CanESM2,rcp45,2002,AGRICULTURAL CONTRACTION: Annual->Wetland [Type],Type,10.3225,4.975000000000001,18
CanESM2,rcp45,2002,AGRICULTURAL CONTRACTION: Perennial->Forest [Type],Type,1.4,1,3
CanESM2,rcp45,2002,AGRICULTURAL CONTRACTION: Perennial->Grassland [Type],Type,1.9439252336448598,1,5
CanESM2,rcp45,2002,AGRICULTURAL CONTRACTION: Perennial->Shrubland [Type],Type,1.3423423423423424,1,2.700000000000003
CanESM2,rcp45,2002,AGRICULTURAL CONTRACTION: Perennial->Wetland [Type],Type,1,1,1
CanESM2,rcp45,2002,AGRICULTURAL EXPANSION,Group,216.8475,189,244.02999999999997
CanESM2,rcp45,2002,AGRICULTURAL EXPANSION: Forest->Annual [Type],Type,17.2925,9,26
CanESM2,rcp45,2002,AGRICULTURAL EXPANSION: Forest->Perennial [Type],Type,17.3425,10,26
CanESM2,rcp45,2002,AGRICULTURAL EXPANSION: Grassland->Annual [Type],Type,68.2075,53,85
CanESM2,rcp45,2002,AGRICULTURAL EXPANSION: Grassland->Perennial [Type],Type,66.9225,52,83
CanESM2,rcp45,2002,AGRICULTURAL EXPANSION: Shrubland->Annual [Type],Type,16.2025,8,24
CanESM2,rcp45,2002,AGRICULTURAL EXPANSION: Shrubland->Perennial [Type],Type,16.0175,10,22.029999999999973
CanESM2,rcp45,2002,AGRICULTURAL EXPANSION: Wetland->Annual [Type],Type,7.3675,3,13
CanESM2,rcp45,2002,AGRICULTURAL EXPANSION: Wetland->Perennial [Type],Type,7.495,3,12
CanESM2,rcp45,2002,FIRE,Group,1887.6975,1886,1888
CanESM2,rcp45,2002,FIRE: Forest,Group,1515.94,1515,1516
CanESM2,rcp45,2002,FIRE: Forest High Severity [Type],Type,154,127.95,178
CanESM2,rcp45,2002,FIRE: Forest Low Severity [Type],Type,1016.2,977.975,1051.12
CanESM2,rcp45,2002,FIRE: Forest Medium Severity [Type],Type,345.74,314,377
CanESM2,rcp45,2002,FIRE: Grassland,Group,108.87,108,109
CanESM2,rcp45,2002,FIRE: Grassland High Severity [Type],Type,11.1275,5,18
CanESM2,rcp45,2002,FIRE: Grassland Low Severity [Type],Type,72.9825,65,83
CanESM2,rcp45,2002,FIRE: Grassland Medium Severity [Type],Type,24.76,16.975,32.02999999999997
CanESM2,rcp45,2002,FIRE: High Severity,Group,191.5,162,215.05999999999995
CanESM2,rcp45,2002,FIRE: Low Severity,Group,1266.4425,1229.9750000000001,1305.03
CanESM2,rcp45,2002,FIRE: Medium Severity,Group,429.755,395.975,463.05999999999995
CanESM2,rcp45,2002,FIRE: Shrubland,Group,262.8875,262,263
CanESM2,rcp45,2002,FIRE: Shrubland High Severity [Type],Type,26.3725,17.975,35
CanESM2,rcp45,2002,FIRE: Shrubland Low Severity [Type],Type,177.26,161,192
CanESM2,rcp45,2002,FIRE: Shrubland Medium Severity [Type],Type,59.255,47,73
CanESM2,rcp45,2002,HARVEST,Group,778.425,724.9,827
CanESM2,rcp45,2002,INSECTS,Group,3442.8325,3432,3448
CanESM2,rcp45,2002,INSECTS: High Severity [Type],Type,13.9775,14,14
CanESM2,rcp45,2002,INSECTS: Low Severity [Type],Type,3340.125,3330,3345
CanESM2,rcp45,2002,INSECTS: Medium Severity [Type],Type,88.73,87,89
CanESM2,rcp45,2002,MANAGEMENT: Forest Clearcut [Type],Type,446.2625,410,489
CanESM2,rcp45,2002,MANAGEMENT: Forest Thinning [Type],Type,332.1625,295.975,367
