LUC,TransitionGroup,GroupType,Mean,Lower,Upper
BAU,AGRICULTURAL CHANGE,Group,10586.3225,10028.95,11149.18
BAU,AGRICULTURAL CHANGE: Annual->Perennial [Type],Type,10010.32875,9442.725,10582.18
BAU,AGRICULTURAL CHANGE: Perennial->Annual [Type],Type,575.99375,502,655.03
BAU,AGRICULTURAL CONTRACTION,Group,13175.46125,12373.825,14127.48
BAU,AGRICULTURAL CONTRACTION: Annual->Forest [Type],Type,1331.9575,1199.9250000000002,1470
BAU,AGRICULTURAL CONTRACTION: Annual->Grassland [Type],Type,8311.82125,7757.85,8884
BAU,AGRICULTURAL CONTRACTION: Annual->Shrubland [Type],Type,1199.50125,1045.95,1352.03
BAU,AGRICULTURAL CONTRACTION: Annual->Wetland [Type],Type,1114.27875,998,1243.06
BAU,AGRICULTURAL CONTRACTION: Perennial->Forest [Type],Type,100.2275,73,133.02999999999997
BAU,AGRICULTURAL CONTRACTION: Perennial->Grassland [Type],Type,954.61,725.95,1222.06
BAU,AGRICULTURAL CONTRACTION: Perennial->Shrubland [Type],Type,130.825,98,164.02999999999997
BAU,AGRICULTURAL CONTRACTION: Perennial->Wetland [Type],Type,32.24,20,47
BAU,AGRICULTURAL EXPANSION,Group,15237.24625,14241.95,16143
BAU,AGRICULTURAL EXPANSION: Forest->Annual [Type],Type,1186.2675,1052.9750000000001,1334.09
BAU,AGRICULTURAL EXPANSION: Forest->Perennial [Type],Type,1187.145,1044.825,1346.03
BAU,AGRICULTURAL EXPANSION: Grassland->Annual [Type],Type,4905.885,4588,5195.179999999999
BAU,AGRICULTURAL EXPANSION: Grassland->Perennial [Type],Type,4906.3025,4564.95,5188.09
BAU,AGRICULTURAL EXPANSION: Shrubland->Annual [Type],Type,1048.98625,942.975,1148.12
BAU,AGRICULTURAL EXPANSION: Shrubland->Perennial [Type],Type,1050.1675,948.975,1154.06
BAU,AGRICULTURAL EXPANSION: Wetland->Annual [Type],Type,476.53125,429,520.03
BAU,AGRICULTURAL EXPANSION: Wetland->Perennial [Type],Type,475.96125,428.975,525
BAU,FIRE,Group,230189.2718446602,209258,258194
BAU,FIRE: Forest,Group,160994.6658031088,139085.8,181535.21000000002
BAU,FIRE: Forest High Severity [Type],Type,16362.46625,14189.7,18420.06
BAU,FIRE: Forest Low Severity [Type],Type,107839.80853816301,93225.9,121642.04
BAU,FIRE: Forest Medium Severity [Type],Type,36814.86,31817.725000000002,41562.42999999999
BAU,FIRE: Grassland,Group,35462.4325,29713.050000000003,42047.42
BAU,FIRE: Grassland High Severity [Type],Type,3602.395,3005,4286
BAU,FIRE: Grassland Low Severity [Type],Type,23749.75375,19898.875,28073.05
BAU,FIRE: Grassland Medium Severity [Type],Type,8110.28375,6777.7249999999995,9613.18
BAU,FIRE: High Severity,Group,23412.265,21278.65,26201.149999999998
BAU,FIRE: Low Severity,Group,154355.55396618985,140198.19999999998,173052.08
BAU,FIRE: Medium Severity,Group,52669.09125,47973.975,59028.42
BAU,FIRE: Shrubland,Group,33894.61875,28001,39915.04999999999
BAU,FIRE: Shrubland High Severity [Type],Type,3447.40375,2834.925,4072.1499999999996
