LUC,Timestep,TransitionGroup,GroupType,Mean,Lower,Upper,Min,Max
BAU,2002,AGRICULTURAL CHANGE,Group,103.79,51,159.02999999999997,43,174
BAU,2002,AGRICULTURAL CHANGE: Annual->Perennial [Type],Type,99.8275,49.975,154,40,167
BAU,2002,AGRICULTURAL CHANGE: Perennial->Annual [Type],Type,4.464788732394366,1,11,1,16
BAU,2002,AGRICULTURAL CONTRACTION,Group,126.17875,105,147,91,162
BAU,2002,AGRICULTURAL CONTRACTION: Annual->Forest [Type],Type,21.3975,13,30,8,35
BAU,2002,AGRICULTURAL CONTRACTION: Annual->Grassland [Type],Type,69.37375,54,84,45,97
BAU,2002,AGRICULTURAL CONTRACTION: Annual->Shrubland [Type],Type,23.12875,13.975000000000001,33,11,38
BAU,2002,AGRICULTURAL CONTRACTION: Annual->Wetland [Type],Type,10.31625,5,16,2,23
BAU,2002,AGRICULTURAL CONTRACTION: Perennial->Forest [Type],Type,1.5020576131687242,1,3,1,4
BAU,2002,AGRICULTURAL CONTRACTION: Perennial->Grassland [Type],Type,2,1,5,1,6
BAU,2002,AGRICULTURAL CONTRACTION: Perennial->Shrubland [Type],Type,1.4047619047619047,1,3,1,5
BAU,2002,AGRICULTURAL CONTRACTION: Perennial->Wetland [Type],Type,1.0212765957446808,1,1,1,2
BAU,2002,AGRICULTURAL EXPANSION,Group,217.90375,192,244,177,260
BAU,2002,AGRICULTURAL EXPANSION: Forest->Annual [Type],Type,17.10375,10,25,6,30
BAU,2002,AGRICULTURAL EXPANSION: Forest->Perennial [Type],Type,17.37875,9,26,6,30
BAU,2002,AGRICULTURAL EXPANSION: Grassland->Annual [Type],Type,68.75,53,85.02999999999997,43,96
BAU,2002,AGRICULTURAL EXPANSION: Grassland->Perennial [Type],Type,67.49125,53.975,83,45,90
BAU,2002,AGRICULTURAL EXPANSION: Shrubland->Annual [Type],Type,16.34375,9,24,6,32
BAU,2002,AGRICULTURAL EXPANSION: Shrubland->Perennial [Type],Type,16.005,9,24,5,29
BAU,2002,AGRICULTURAL EXPANSION: Wetland->Annual [Type],Type,7.2775,3,13,1,18
BAU,2002,AGRICULTURAL EXPANSION: Wetland->Perennial [Type],Type,7.55375,3,13.029999999999973,1,18
BAU,2002,FIRE,Group,1887.72,1886,1888,1885,1888
BAU,2002,FIRE: Forest,Group,1515.94125,1515,1516,1514,1516
BAU,2002,FIRE: Forest High Severity [Type],Type,155.24,133.97500000000002,178.02999999999997,122,189
BAU,2002,FIRE: Forest Low Severity [Type],Type,1014.41125,978,1050.03,960,1071
BAU,2002,FIRE: Forest Medium Severity [Type],Type,346.29,316.975,375.03,289,388
BAU,2002,FIRE: Grassland,Group,108.8875,108,109,107,109
BAU,2002,FIRE: Grassland High Severity [Type],Type,11.285,5,18,3,23
BAU,2002,FIRE: Grassland Low Severity [Type],Type,72.92875,64,82.02999999999997,59,88
BAU,2002,FIRE: Grassland Medium Severity [Type],Type,24.67375,16,33,13,37
BAU,2002,FIRE: High Severity,Group,193.1975,166.95000000000002,217,158,233
BAU,2002,FIRE: Low Severity,Group,1263.30625,1224.9750000000001,1304.03,1203,1324
BAU,2002,FIRE: Medium Severity,Group,431.21625,396.975,463,375,484
BAU,2002,FIRE: Shrubland,Group,262.89125,262,263,261,263
BAU,2002,FIRE: Shrubland High Severity [Type],Type,26.6725,18,36,11,44
BAU,2002,FIRE: Shrubland Low Severity [Type],Type,175.96625,161,190,154,200
BAU,2002,FIRE: Shrubland Medium Severity [Type],Type,60.2525,48,73,41,81
BAU,2002,HARVEST,Group,778.19875,721,827.03,689,874
BAU,2002,INSECTS,Group,3442.38,3432,3448,3427,3448
BAU,2002,INSECTS: High Severity [Type],Type,13.98,14,14,13,14
BAU,2002,INSECTS: Low Severity [Type],Type,3339.6675,3329,3345,3324,3345
BAU,2002,INSECTS: Medium Severity [Type],Type,88.7325,87,89,87,89
BAU,2002,MANAGEMENT: Forest Clearcut [Type],Type,446.2875,408,487.05999999999995,388,518
BAU,2002,MANAGEMENT: Forest Thinning [Type],Type,331.91125,295,367,274,397
BAU,2002,MANAGEMENT: Orchard Removal [Type],Type,11.38375,2,22,1,27
BAU,2002,URBANIZATION,Group,356.52125,321.95,393,299,412
BAU,2002,URBANIZATION: Annual->Developed [Type],Type,79.8425,62.975,95,56,109
BAU,2002,URBANIZATION: Forest->Developed [Type],Type,62.58125,48,76,39,94
BAU,2002,URBANIZATION: Grassland->Developed [Type],Type,106.59,88.94999999999999,125.02999999999997,72,137
BAU,2002,URBANIZATION: Perennial->Developed [Type],Type,29.43,19,38,13,48
BAU,2002,URBANIZATION: Shrubland->Developed [Type],Type,70.595,56,85,48,90
BAU,2002,URBANIZATION: Wetland->Developed [Type],Type,7.491864831038798,3,13,1,17
BAU,2003,AGRICULTURAL CHANGE,Group,106.30375,55.975,163,45,179
BAU,2003,AGRICULTURAL CHANGE: Annual->Perennial [Type],Type,99.50625,47,155,40,174
BAU,2003,AGRICULTURAL CHANGE: Perennial->Annual [Type],Type,6.883544303797469,1,15,1,23
BAU,2003,AGRICULTURAL CONTRACTION,Group,100.625,83,118,69,131
BAU,2003,AGRICULTURAL CONTRACTION: Annual->Forest [Type],Type,13.5525,7,21,4,25
BAU,2003,AGRICULTURAL CONTRACTION: Annual->Grassland [Type],Type,65.945,51,80,42,94
BAU,2003,AGRICULTURAL CONTRACTION: Annual->Shrubland [Type],Type,11.2125,5.975000000000001,17.029999999999973,3,22
BAU,2003,AGRICULTURAL CONTRACTION: Annual->Wetland [Type],Type,7.425,3,13,1,16
BAU,2003,AGRICULTURAL CONTRACTION: Perennial->Forest [Type],Type,1.1808118081180812,1,2,1,3
BAU,2003,AGRICULTURAL CONTRACTION: Perennial->Grassland [Type],Type,2.1085972850678734,1,4.139999999999986,1,6
BAU,2003,AGRICULTURAL CONTRACTION: Perennial->Shrubland [Type],Type,1.1170731707317074,1,2,1,2
BAU,2003,AGRICULTURAL CONTRACTION: Perennial->Wetland [Type],Type,1,1,1,1,1
BAU,2003,AGRICULTURAL EXPANSION,Group,109.19875,89,129,75,145
BAU,2003,AGRICULTURAL EXPANSION: Forest->Annual [Type],Type,6.017565872020075,2,10,1,14
BAU,2003,AGRICULTURAL EXPANSION: Forest->Perennial [Type],Type,5.9224030037546935,2,11,1,13
BAU,2003,AGRICULTURAL EXPANSION: Grassland->Annual [Type],Type,35.3425,26,47,20,54
BAU,2003,AGRICULTURAL EXPANSION: Grassland->Perennial [Type],Type,35.71125,24,48,19,56
BAU,2003,AGRICULTURAL EXPANSION: Shrubland->Annual [Type],Type,9.48875,4,15,2,20
BAU,2003,AGRICULTURAL EXPANSION: Shrubland->Perennial [Type],Type,9.0475,4,16,1,19
BAU,2003,AGRICULTURAL EXPANSION: Wetland->Annual [Type],Type,4.006418485237484,1,8,1,10
BAU,2003,AGRICULTURAL EXPANSION: Wetland->Perennial [Type],Type,3.8553299492385786,1,8,1,12
BAU,2003,FIRE,Group,3076.2225,3069.9750000000004,3082,3065,3084
BAU,2003,FIRE: Forest,Group,1877.37125,1874,1879,1872,1880
BAU,2003,FIRE: Forest High Severity [Type],Type,190.7925,166,217,153,227
BAU,2003,FIRE: Forest Low Severity [Type],Type,1257.67,1219,1294.03,1204,1336
BAU,2003,FIRE: Forest Medium Severity [Type],Type,428.90875,393.95,460.05999999999995,377,483
BAU,2003,FIRE: Grassland,Group,364.82,361,367,360,368
BAU,2003,FIRE: Grassland High Severity [Type],Type,37.0875,27,50,22,57
BAU,2003,FIRE: Grassland Low Severity [Type],Type,244.0875,225.975,259,217,272
BAU,2003,FIRE: Grassland Medium Severity [Type],Type,83.645,69.975,98,53,109
BAU,2003,FIRE: High Severity,Group,313.10125,281,348,261,362
BAU,2003,FIRE: Low Severity,Group,2060.3775,2011,2115.0299999999997,1978,2158
BAU,2003,FIRE: Medium Severity,Group,702.74375,656,743.03,624,762
BAU,2003,FIRE: Shrubland,Group,834.03125,829,838,825,839
BAU,2003,FIRE: Shrubland High Severity [Type],Type,85.22125,68.975,101,55,111
BAU,2003,FIRE: Shrubland Low Severity [Type],Type,558.62,532,584,524,616
BAU,2003,FIRE: Shrubland Medium Severity [Type],Type,190.19,168,212,149,228
BAU,2003,HARVEST,Group,812.57625,752,867,721,894
BAU,2003,INSECTS,Group,8387.86125,8341.975,8428,8331,8436
BAU,2003,INSECTS: High Severity [Type],Type,23.57875,22,24,22,24
BAU,2003,INSECTS: Low Severity [Type],Type,8082.46625,8035,8123,8026,8129
BAU,2003,INSECTS: Medium Severity [Type],Type,281.81625,279,283,277,283
BAU,2003,MANAGEMENT: Forest Clearcut [Type],Type,432.97375,393.97499999999997,472,364,495
BAU,2003,MANAGEMENT: Forest Thinning [Type],Type,379.6025,344,418,322,436
BAU,2003,MANAGEMENT: Orchard Removal [Type],Type,11.42052565707134,3,22,1,31
BAU,2003,URBANIZATION,Group,219.0875,191,248,176,260
BAU,2003,URBANIZATION: Annual->Developed [Type],Type,58.7025,43,74,38,88
BAU,2003,URBANIZATION: Forest->Developed [Type],Type,28.78875,19,40,15,43
BAU,2003,URBANIZATION: Grassland->Developed [Type],Type,63.9175,49,79,45,89
BAU,2003,URBANIZATION: Perennial->Developed [Type],Type,26.59625,17,36,11,42
BAU,2003,URBANIZATION: Shrubland->Developed [Type],Type,36.955,25,48,22,55
BAU,2003,URBANIZATION: Wetland->Developed [Type],Type,4.174462705436157,1,8,1,15
BAU,2004,AGRICULTURAL CHANGE,Group,101.56,49,154,39,168
BAU,2004,AGRICULTURAL CHANGE: Annual->Perennial [Type],Type,101.325,48.975,154,39,168
BAU,2004,AGRICULTURAL CHANGE: Perennial->Annual [Type],Type,1.1393939393939394,1,2,1,3
BAU,2004,AGRICULTURAL CONTRACTION,Group,100.485,81,119,73,131
BAU,2004,AGRICULTURAL CONTRACTION: Annual->Forest [Type],Type,14.03875,7,21,4,29
BAU,2004,AGRICULTURAL CONTRACTION: Annual->Grassland [Type],Type,67.77875,52.975,84,43,94
BAU,2004,AGRICULTURAL CONTRACTION: Annual->Shrubland [Type],Type,11.21625,5,17,3,21
BAU,2004,AGRICULTURAL CONTRACTION: Annual->Wetland [Type],Type,7.380475594493117,2,13,1,17
BAU,2004,AGRICULTURAL CONTRACTION: Perennial->Forest [Type],Type,1,1,1,1,1
BAU,2004,AGRICULTURAL CONTRACTION: Perennial->Grassland [Type],Type,1.1395348837209303,1,2,1,2
BAU,2004,AGRICULTURAL CONTRACTION: Perennial->Shrubland [Type],Type,1,1,1,1,1
BAU,2004,AGRICULTURAL CONTRACTION: Perennial->Wetland [Type],Type,1,1,1,1,1
BAU,2004,AGRICULTURAL EXPANSION,Group,109.22375,91,131,82,151
BAU,2004,AGRICULTURAL EXPANSION: Forest->Annual [Type],Type,6.04630788485607,2,11,1,15
BAU,2004,AGRICULTURAL EXPANSION: Forest->Perennial [Type],Type,5.892365456821026,2,11,1,15
BAU,2004,AGRICULTURAL EXPANSION: Grassland->Annual [Type],Type,36.2725,25,47,19,51
BAU,2004,AGRICULTURAL EXPANSION: Grassland->Perennial [Type],Type,34.5575,23,45,18,55
BAU,2004,AGRICULTURAL EXPANSION: Shrubland->Annual [Type],Type,9.52125,4.975000000000001,15,2,19
BAU,2004,AGRICULTURAL EXPANSION: Shrubland->Perennial [Type],Type,9.32,4,15,2,23
BAU,2004,AGRICULTURAL EXPANSION: Wetland->Annual [Type],Type,3.8456632653061225,1,8,1,11
BAU,2004,AGRICULTURAL EXPANSION: Wetland->Perennial [Type],Type,3.918781725888325,1,8,1,13
BAU,2004,FIRE,Group,1030.19375,1028,1032,1027,1034
BAU,2004,FIRE: Forest,Group,702.745,701,703,700,704
BAU,2004,FIRE: Forest High Severity [Type],Type,70.84625,58,86.02999999999997,49,92
BAU,2004,FIRE: Forest Low Severity [Type],Type,471.0225,445,495,433,505
BAU,2004,FIRE: Forest Medium Severity [Type],Type,160.87625,139,181,127,195
BAU,2004,FIRE: Grassland,Group,156.5975,155,157,153,158
BAU,2004,FIRE: Grassland High Severity [Type],Type,16.0475,10,24,5,30
BAU,2004,FIRE: Grassland Low Severity [Type],Type,104.64625,93,115,89,123
BAU,2004,FIRE: Grassland Medium Severity [Type],Type,35.90375,26,45,21,51
BAU,2004,FIRE: High Severity,Group,104.1825,89,123,78,128
BAU,2004,FIRE: Low Severity,Group,690.215,664,717,648,742
BAU,2004,FIRE: Medium Severity,Group,235.79625,210.97500000000002,258,200,280
BAU,2004,FIRE: Shrubland,Group,170.85125,170,172,169,173
BAU,2004,FIRE: Shrubland High Severity [Type],Type,17.28875,10,25,7,31
BAU,2004,FIRE: Shrubland Low Severity [Type],Type,114.54625,102.97500000000001,126,94,131
BAU,2004,FIRE: Shrubland Medium Severity [Type],Type,39.01625,29,50,20,56
BAU,2004,HARVEST,Group,972.0625,917,1028,873,1054
BAU,2004,INSECTS,Group,6284.08375,6259.975,6308,6248,6318
BAU,2004,INSECTS: High Severity [Type],Type,205.71,202,208,200,208
BAU,2004,INSECTS: Low Severity [Type],Type,5800.1525,5775,5824,5765,5832
BAU,2004,INSECTS: Medium Severity [Type],Type,278.22125,275,280,270,280
BAU,2004,MANAGEMENT: Forest Clearcut [Type],Type,470.72125,427,512,408,530
BAU,2004,MANAGEMENT: Forest Thinning [Type],Type,501.34125,460,542,435,568
BAU,2004,MANAGEMENT: Orchard Removal [Type],Type,11.81875,3,21,1,29
BAU,2004,URBANIZATION,Group,216.61625,190,242.02999999999997,172,260
BAU,2004,URBANIZATION: Annual->Developed [Type],Type,57.1075,43,70,35,81
BAU,2004,URBANIZATION: Forest->Developed [Type],Type,28.96375,19,39,16,47
BAU,2004,URBANIZATION: Grassland->Developed [Type],Type,63.54875,50,80,40,93
BAU,2004,URBANIZATION: Perennial->Developed [Type],Type,26.08,17,36,10,46
BAU,2004,URBANIZATION: Shrubland->Developed [Type],Type,36.80875,26.975,47,22,54
