LUC,GCM,RCP,CFE,CFERate,Timestep,Mean,Lower,Upper
BAU,CanESM2,rcp45,High,0.001363884,2001,4823.131015209271,4823.131015209271,4823.131015209271
BAU,CanESM2,rcp45,High,0.001363884,2002,4795.223097870793,4794.837368833486,4795.605729182275
BAU,CanESM2,rcp45,High,0.001363884,2003,4788.448877760966,4787.782545605517,4788.9266175826815
BAU,CanESM2,rcp45,High,0.001363884,2004,4798.043567915985,4797.405595108881,4798.544415986875
BAU,CanESM2,rcp45,High,0.001363884,2005,4841.606627651829,4840.78487160057,4842.263921120257
BAU,CanESM2,rcp45,High,0.001363884,2006,4847.524137435299,4846.576435062816,4848.177390657027
BAU,CanESM2,rcp45,High,0.001363884,2007,4797.480470429566,4796.133050245712,4798.103245793125
BAU,CanESM2,rcp45,High,0.001363884,2008,4762.4643973852335,4761.536708373401,4763.584475314531
BAU,CanESM2,rcp45,High,0.001363884,2009,4746.642703562727,4745.07593009648,4748.057484221968
BAU,CanESM2,rcp45,High,0.001363884,2010,4814.099248507738,4812.375871929893,4815.192224437476
BAU,CanESM2,rcp45,High,0.001363884,2011,4813.775146570149,4811.747818230175,4815.162688167367
BAU,CanESM2,rcp45,High,0.001363884,2012,4810.116332047894,4808.02045372278,4811.473875846166
BAU,CanESM2,rcp45,High,0.001363884,2013,4721.257655841378,4719.369091335454,4723.048544508162
BAU,CanESM2,rcp45,High,0.001363884,2014,4702.87204220421,4699.328804263673,4705.46227045043
BAU,CanESM2,rcp45,High,0.001363884,2015,4657.233236052595,4651.153192889987,4662.300365917037
BAU,CanESM2,rcp45,High,0.001363884,2016,4695.7156815403505,4688.848179171278,4702.469096004469
BAU,CanESM2,rcp45,High,0.001363884,2017,4649.528228739129,4640.297943764451,4659.935479382316
BAU,CanESM2,rcp45,High,0.001363884,2018,4633.518870584052,4622.729911612174,4640.98133049056
BAU,CanESM2,rcp45,High,0.001363884,2019,4675.585075735236,4667.512413257507,4685.302881762097
