LUC,GCM,RCP,Timestep,Mean,Lower,Upper
BAU,CanESM2,rcp45,2001,4823.131015209271,4823.131015209271,4823.131015209271
BAU,CanESM2,rcp45,2002,4795.0480939309,4794.509340480638,4795.610940959572
BAU,CanESM2,rcp45,2003,4787.952991340645,4787.078431350864,4788.9266175826815
BAU,CanESM2,rcp45,2004,4797.010461269998,4795.476902403057,4798.544415986875
BAU,CanESM2,rcp45,2005,4839.804019843013,4837.4945356981125,4842.263921120257
BAU,CanESM2,rcp45,2006,4845.038974116247,4841.8615634629205,4848.177390657027
BAU,CanESM2,rcp45,2007,4794.430989123663,4790.561640714438,4798.103245793125
BAU,CanESM2,rcp45,2008,4758.6090313142,4753.406126933879,4763.584475314531
BAU,CanESM2,rcp45,2009,4741.944234766217,4736.033895497951,4748.057484221968
BAU,CanESM2,rcp45,2010,4807.72754267373,4799.741299604959,4815.192224437476
BAU,CanESM2,rcp45,2011,4806.274779027329,4797.290028313834,4815.162688167367
BAU,CanESM2,rcp45,2012,4801.229212469406,4790.519868051578,4811.473875846166
BAU,CanESM2,rcp45,2013,4712.2224181563515,4701.419275352389,4723.048544508162
BAU,CanESM2,rcp45,2014,4692.3702097050445,4678.88689015612,4705.46227045043
BAU,CanESM2,rcp45,2015,4645.511661323013,4630.83295993793,4662.300365917037
BAU,CanESM2,rcp45,2016,4681.789954638414,4663.904817882962,4702.469096004469
BAU,CanESM2,rcp45,2017,4634.04930694249,4611.326558887146,4659.935479382316
BAU,CanESM2,rcp45,2018,4616.700221133694,4589.964476902722,4640.98133049056
BAU,CanESM2,rcp45,2019,4655.864167698199,4626.935645014337,4685.302881762097
BAU,CanESM2,rcp45,2020,4667.590290537705,4634.899916240507,4698.0359873785865
BAU,CanESM2,rcp45,2021,4682.966343684008,4650.691741734418,4714.889034932193
BAU,CanESM2,rcp45,2022,4714.967761349694,4676.691745025492,4754.609583959564
BAU,CanESM2,rcp45,2023,4711.641466162819,4668.894922887395,4755.541515204149
BAU,CanESM2,rcp45,2024,4690.434504129203,4645.158965299565,4739.148815365021
BAU,CanESM2,rcp45,2025,4727.089337342227,4680.089439626707,4781.51289389378
BAU,CanESM2,rcp45,2026,4724.743844813963,4673.745146992043,4782.1442866933285
BAU,CanESM2,rcp45,2027,4696.232261111018,4642.066193628435,4752.100447215217
BAU,CanESM2,rcp45,2028,4693.039641267107,4635.606242790148,4755.125132702915
BAU,CanESM2,rcp45,2029,4707.448334450213,4645.997484925019,4771.140068283874
BAU,CanESM2,rcp45,2030,4720.577322991347,4651.988692152151,4788.189004165599
BAU,CanESM2,rcp45,2031,4748.87469504293,4671.873631159586,4819.778973299519
BAU,CanESM2,rcp45,2032,4702.526508455201,4625.344586635914,4776.3799198891475
BAU,CanESM2,rcp45,2033,4681.56880373488,4603.561714549075,4758.524762795176
BAU,CanESM2,rcp45,2034,4700.821931147321,4621.183588426718,4784.43138846848
BAU,CanESM2,rcp45,2035,4655.156219647717,4572.742966805431,4739.475914301516
BAU,CanESM2,rcp45,2036,4658.602450410954,4571.816295553613,4746.120082506909
BAU,CanESM2,rcp45,2037,4618.446376991476,4531.092664246308,4706.028367934059
BAU,CanESM2,rcp45,2038,4618.429203920881,4527.323340565785,4711.7052243685675
BAU,CanESM2,rcp45,2039,4629.57232026957,4532.325623406257,4726.020421133741
BAU,CanESM2,rcp45,2040,4653.890114264919,4552.62699893644,4755.007642400957
BAU,CanESM2,rcp45,2041,4709.653787442293,4603.268109734665,4816.962876938173
BAU,CanESM2,rcp45,2042,4726.456367938108,4612.3511904536545,4838.728582763359
BAU,CanESM2,rcp45,2043,4750.368149154215,4632.051457769762,4868.728961508997
BAU,CanESM2,rcp45,2044,4737.390820935199,4610.6802015328185,4856.101742128331
BAU,CanESM2,rcp45,2045,4723.778608020706,4597.108306004708,4847.298511307127
BAU,CanESM2,rcp45,2046,4693.8159078005165,4563.190288412712,4820.101703339019
BAU,CanESM2,rcp45,2047,4710.615585645158,4571.567652713747,4844.815562993959
BAU,CanESM2,rcp45,2048,4692.389179890328,4551.540407688296,4830.758408214316
BAU,CanESM2,rcp45,2049,4680.84019813546,4533.638916150973,4823.357842744606
BAU,CanESM2,rcp45,2050,4657.970021005071,4507.676092213268,4802.894012048147
BAU,CanESM2,rcp45,2051,4637.167563499904,4485.728134987611,4782.707804115611
BAU,CanESM2,rcp45,2052,4643.564204250722,4487.6722815136245,4791.929230012372
BAU,CanESM2,rcp45,2053,4626.781616986263,4469.350605539967,4777.833152778384
BAU,CanESM2,rcp45,2054,4633.629523870973,4469.961598770626,4789.324825395481
BAU,CanESM2,rcp45,2055,4684.278397652291,4510.856873110954,4850.650677367629
BAU,CanESM2,rcp45,2056,4736.358005333601,4552.578354119583,4911.333347723314
BAU,CanESM2,rcp45,2057,4699.714760072319,4518.015660129815,4875.657162511305
BAU,CanESM2,rcp45,2058,4710.495377717857,4521.09720512366,4890.383569274897
BAU,CanESM2,rcp45,2059,4663.066114343644,4471.99568086028,4843.050147805904
BAU,CanESM2,rcp45,2060,4654.523690027262,4460.478120292167,4837.043451243784
BAU,CanESM2,rcp45,2061,4675.520187357613,4478.093222114326,4859.829310410981
BAU,CanESM2,rcp45,2062,4666.187865324748,4466.741721903235,4852.419554496244
BAU,CanESM2,rcp45,2063,4699.191800604608,4492.937159918798,4894.539297733688
BAU,CanESM2,rcp45,2064,4739.926214224322,4527.443896511058,4941.985317659492
BAU,CanESM2,rcp45,2065,4751.282462516147,4535.234075405669,4955.2761538307805
BAU,CanESM2,rcp45,2066,4791.1708079220725,4568.925605732616,5000.0927729172445
BAU,CanESM2,rcp45,2067,4795.397181524281,4571.303396137305,5007.699667734318
BAU,CanESM2,rcp45,2068,4818.430541548122,4590.286437713223,5033.8267363257
BAU,CanESM2,rcp45,2069,4743.062585930607,4518.620321805892,4958.930185629852
BAU,CanESM2,rcp45,2070,4777.560011446854,4543.954424738303,4995.075571107041
BAU,CanESM2,rcp45,2071,4785.267924371161,4544.553861918559,5009.626470037091
BAU,CanESM2,rcp45,2072,4724.644210713294,4488.799665998547,4951.0118739653635
BAU,CanESM2,rcp45,2073,4709.239770569461,4471.698935110181,4936.812191541271
BAU,CanESM2,rcp45,2074,4707.312417347463,4463.553070495757,4937.222361930026
