LUC,GCM,RCP,EcoregionName,Flux,Mean,Lower,Upper
BAU,CanESM2,rcp45,Cascades,Emission (AgExpand),0,0,0
BAU,CanESM2,rcp45,Cascades,Emission (Biomass),0.1,0.1,0.1
BAU,CanESM2,rcp45,Cascades,Emission (Clearcut),0,0,0
BAU,CanESM2,rcp45,Cascades,Emission (Fire),0.1,0.1,0.2
BAU,CanESM2,rcp45,Cascades,Emission (Orchard Removal),0,0,0
BAU,CanESM2,rcp45,Cascades,Emission (Urban),0,0,0
BAU,CanESM2,rcp45,Cascades,Harvest (AgExpand),0,0,0
BAU,CanESM2,rcp45,Cascades,Harvest (Clearcut),0,0,0
BAU,CanESM2,rcp45,Cascades,Harvest (Grain),0,0,0
BAU,CanESM2,rcp45,Cascades,Harvest (Straw),0,0,0
BAU,CanESM2,rcp45,Cascades,Harvest (Thinning),0,0,0
BAU,CanESM2,rcp45,Cascades,Harvest (Urban),0,0,0
BAU,CanESM2,rcp45,Cascades,Leaching,0,0,0
BAU,CanESM2,rcp45,Cascades,LULCC,0.2,0.2,0.3
BAU,CanESM2,rcp45,Cascades,Mortality,0.2,0.1,0.2
BAU,CanESM2,rcp45,Cascades,Mortality (Fire),0.1,0,0.1
BAU,CanESM2,rcp45,Cascades,Mortality (Harvest),0,0,0
BAU,CanESM2,rcp45,Cascades,Mortality (Insects),0.1,0.1,0.1
BAU,CanESM2,rcp45,Cascades,NECB,-0,-0.1,-0
BAU,CanESM2,rcp45,Cascades,NEP,0.2,0.2,0.2
BAU,CanESM2,rcp45,Cascades,NPP,0.9,0.9,1
BAU,CanESM2,rcp45,Cascades,Rh,0.7,0.7,0.8
BAU,CanESM2,rcp45,Central B&R,Emission (AgExpand),0,0,0
BAU,CanESM2,rcp45,Central B&R,Emission (Biomass),0.1,0.1,0.1
BAU,CanESM2,rcp45,Central B&R,Emission (Clearcut),0,0,0
BAU,CanESM2,rcp45,Central B&R,Emission (Fire),0.1,0.1,0.1
BAU,CanESM2,rcp45,Central B&R,Emission (Orchard Removal),0,0,0
