Timestep,EcoregionID,EcoregionName,LULC,Mean,Lower,Upper
2001,1,Coast Range,Agriculture,269,269,269
2001,1,Coast Range,Barren,58,58,58
2001,1,Coast Range,Developed,689,689,689
2001,1,Coast Range,Forest,11257,11257,11257
2001,1,Coast Range,Grassland,781,781,781
2001,1,Coast Range,Shrubland,289,289,289
2001,1,Coast Range,Water,3499,3499,3499
2001,1,Coast Range,Wetland,114,114,114
2001,4,Cascades,Agriculture,12,12,12
2001,4,Cascades,Barren,76,76,76
2001,4,Cascades,Developed,36,36,36
2001,4,Cascades,Forest,1290,1290,1290
2001,4,Cascades,Grassland,10,10,10
2001,4,Cascades,Shrubland,43,43,43
2001,4,Cascades,SnowIce,6,6,6
2001,4,Cascades,Water,1,1,1
2001,4,Cascades,Wetland,3,3,3
2001,5,Sierra Nevada,Agriculture,132,132,132
2001,5,Sierra Nevada,Barren,3045,3045,3045
2001,5,Sierra Nevada,Developed,666,666,666
2001,5,Sierra Nevada,Forest,43016,43016,43016
2001,5,Sierra Nevada,Grassland,885,885,885
2001,5,Sierra Nevada,Shrubland,3110,3110,3110
2001,5,Sierra Nevada,SnowIce,10,10,10
2001,5,Sierra Nevada,Water,818,818,818
2001,5,Sierra Nevada,Wetland,162,162,162
2001,6,Oak Woodlands,Agriculture,6644,6644,6644
2001,6,Oak Woodlands,Barren,1296,1296,1296
2001,6,Oak Woodlands,Developed,14656,14656,14656
2001,6,Oak Woodlands,Forest,36323,36323,36323
2001,6,Oak Woodlands,Grassland,29230,29230,29230
2001,6,Oak Woodlands,Shrubland,10924,10924,10924
2001,6,Oak Woodlands,Water,11315,11315,11315
2001,6,Oak Woodlands,Wetland,951,951,951
2001,7,Central Valley,Agriculture,32664,32664,32664
2001,7,Central Valley,Barren,305,305,305
2001,7,Central Valley,Developed,3776,3776,3776
2001,7,Central Valley,Forest,325,325,325
2001,7,Central Valley,Grassland,7450,7450,7450
2001,7,Central Valley,Shrubland,139,139,139
2001,7,Central Valley,Water,431,431,431
2001,7,Central Valley,Wetland,1003,1003,1003
2001,8,SoCal Mtns.,Agriculture,126,126,126
2001,8,SoCal Mtns.,Barren,148,148,148
2001,8,SoCal Mtns.,Developed,727,727,727
2001,8,SoCal Mtns.,Forest,11758,11758,11758
2001,8,SoCal Mtns.,Grassland,1825,1825,1825
2001,8,SoCal Mtns.,Shrubland,3218,3218,3218
2001,8,SoCal Mtns.,Water,316,316,316
2001,8,SoCal Mtns.,Wetland,72,72,72
2001,9,East Cascades,Agriculture,1586,1586,1586
2001,9,East Cascades,Barren,169,169,169
2001,9,East Cascades,Developed,199,199,199
2001,9,East Cascades,Forest,12174,12174,12174
2001,9,East Cascades,Grassland,2840,2840,2840
2001,9,East Cascades,Shrubland,2991,2991,2991
2001,9,East Cascades,Water,534,534,534
2001,9,East Cascades,Wetland,163,163,163
2001,13,Central B&R,Agriculture,191,191,191
2001,13,Central B&R,Barren,277,277,277
2001,13,Central B&R,Developed,123,123,123
2001,13,Central B&R,Forest,4670,4670,4670
2001,13,Central B&R,Grassland,519,519,519
2001,13,Central B&R,Shrubland,7036,7036,7036
2001,13,Central B&R,Water,226,226,226
2001,13,Central B&R,Wetland,79,79,79
2001,14,Mojave B&R,Agriculture,428,428,428
2001,14,Mojave B&R,Barren,7493,7493,7493
2001,14,Mojave B&R,Developed,1198,1198,1198
2001,14,Mojave B&R,Forest,4602,4602,4602
2001,14,Mojave B&R,Grassland,911,911,911
2001,14,Mojave B&R,Shrubland,61803,61803,61803
2001,14,Mojave B&R,Water,40,40,40
2001,14,Mojave B&R,Wetland,44,44,44
2001,78,Klamath Mtns.,Agriculture,515,515,515
2001,78,Klamath Mtns.,Barren,67,67,67
2001,78,Klamath Mtns.,Developed,397,397,397
2001,78,Klamath Mtns.,Forest,28856,28856,28856
2001,78,Klamath Mtns.,Grassland,1392,1392,1392
2001,78,Klamath Mtns.,Shrubland,1529,1529,1529
2001,78,Klamath Mtns.,SnowIce,12,12,12
2001,78,Klamath Mtns.,Water,124,124,124
2001,78,Klamath Mtns.,Wetland,39,39,39
2001,80,Northern B&R,Agriculture,357,357,357
2001,80,Northern B&R,Barren,414,414,414
2001,80,Northern B&R,Developed,54,54,54
2001,80,Northern B&R,Forest,1702,1702,1702
2001,80,Northern B&R,Grassland,166,166,166
2001,80,Northern B&R,Shrubland,3349,3349,3349
2001,80,Northern B&R,Water,303,303,303
2001,80,Northern B&R,Wetland,60,60,60
2001,81,Sonoran B&R,Agriculture,2736,2736,2736
2001,81,Sonoran B&R,Barren,5807,5807,5807
2001,81,Sonoran B&R,Developed,742,742,742
2001,81,Sonoran B&R,Forest,218,218,218
2001,81,Sonoran B&R,Grassland,284,284,284
2001,81,Sonoran B&R,Shrubland,17361,17361,17361
2001,81,Sonoran B&R,Water,1048,1048,1048
2001,81,Sonoran B&R,Wetland,85,85,85
2002,1,Coast Range,Agriculture,270.3534375,267,274
2002,1,Coast Range,Barren,58,58,58
2002,1,Coast Range,Developed,694.7146875,691,700
2002,1,Coast Range,Forest,11252.3240625,11247.975,11256
2002,1,Coast Range,Grassland,779.0771875,776,782
2002,1,Coast Range,Shrubland,288.7221875,287,290
2002,1,Coast Range,Water,3499,3499,3499
2002,1,Coast Range,Wetland,113.8084375,113,114
2002,4,Cascades,Agriculture,11.5234375,10,13
2002,4,Cascades,Barren,76,76,76
2002,4,Cascades,Developed,38.8865625,36,42
2002,4,Cascades,Forest,1287.83625,1285,1290
2002,4,Cascades,Grassland,9.78125,9,10
2002,4,Cascades,Shrubland,42.9725,42,43
2002,4,Cascades,SnowIce,6,6,6
2002,4,Cascades,Water,1,1,1
2002,4,Cascades,Wetland,3,3,3
2002,5,Sierra Nevada,Agriculture,131.935625,130,134
2002,5,Sierra Nevada,Barren,3045,3045,3045
2002,5,Sierra Nevada,Developed,671.3825,667,676
2002,5,Sierra Nevada,Forest,43011.0975,43006,43015
2002,5,Sierra Nevada,Grassland,884.9890625,884,886
2002,5,Sierra Nevada,Shrubland,3109.7575,3108,3111
2002,5,Sierra Nevada,SnowIce,10,10,10
2002,5,Sierra Nevada,Water,818,818,818
2002,5,Sierra Nevada,Wetland,161.8378125,161,162
2002,6,Oak Woodlands,Agriculture,6638.74375,6611,6667
2002,6,Oak Woodlands,Barren,1296,1296,1296
2002,6,Oak Woodlands,Developed,14869.945625,14844.975,14897
2002,6,Oak Woodlands,Forest,36268.3071875,36251,36285
2002,6,Oak Woodlands,Grassland,29123.244375,29096,29147
2002,6,Oak Woodlands,Shrubland,10883.6821875,10869,10897
2002,6,Oak Woodlands,Water,11315,11315,11315
2002,6,Oak Woodlands,Wetland,944.076875,937,951
2002,7,Central Valley,Agriculture,32644.7996875,32619,32669
2002,7,Central Valley,Barren,305,305,305
2002,7,Central Valley,Developed,3851.3140625,3834,3868
2002,7,Central Valley,Forest,323.345625,320,327
2002,7,Central Valley,Grassland,7399.546875,7379,7420
2002,7,Central Valley,Shrubland,138.7015625,137,140
2002,7,Central Valley,Water,431,431,431
2002,7,Central Valley,Wetland,999.2921875,991,1007
2002,8,SoCal Mtns.,Agriculture,125.2915625,119,131
2002,8,SoCal Mtns.,Barren,148,148,148
2002,8,SoCal Mtns.,Developed,738.38625,732,746
2002,8,SoCal Mtns.,Forest,11754.0421875,11749,11759
2002,8,SoCal Mtns.,Grassland,1821.684375,1817,1826
2002,8,SoCal Mtns.,Shrubland,3214.7153125,3209,3219
2002,8,SoCal Mtns.,Water,316,316,316
2002,8,SoCal Mtns.,Wetland,71.8803125,71,73
2002,9,East Cascades,Agriculture,1587.8259375,1583,1594
2002,9,East Cascades,Barren,169,169,169
2002,9,East Cascades,Developed,200.006875,199,202
2002,9,East Cascades,Forest,12173.8021875,12171,12177
2002,9,East Cascades,Grassland,2838.258125,2834,2842
2002,9,East Cascades,Shrubland,2990.17,2987,2992
2002,9,East Cascades,Water,534,534,534
2002,9,East Cascades,Wetland,162.936875,162,164
2002,13,Central B&R,Agriculture,191.250625,190,193
2002,13,Central B&R,Barren,277,277,277
2002,13,Central B&R,Developed,123,123,123
2002,13,Central B&R,Forest,4669.9809375,4669,4670
2002,13,Central B&R,Grassland,518.9159375,518,519
2002,13,Central B&R,Shrubland,7035.85875,7035,7036
2002,13,Central B&R,Water,226,226,226
2002,13,Central B&R,Wetland,78.99375,79,79
2002,14,Mojave B&R,Agriculture,428.3896875,417,438
2002,14,Mojave B&R,Barren,7493,7493,7493
2002,14,Mojave B&R,Developed,1225.999375,1216,1237
2002,14,Mojave B&R,Forest,4601.0046875,4598,4604
2002,14,Mojave B&R,Grassland,905.8540625,899,913
2002,14,Mojave B&R,Shrubland,61780.761875,61769,61793
2002,14,Mojave B&R,Water,40,40,40
2002,14,Mojave B&R,Wetland,43.9903125,43,45
2002,78,Klamath Mtns.,Agriculture,516.1671875,512,520
2002,78,Klamath Mtns.,Barren,67,67,67
2002,78,Klamath Mtns.,Developed,400.8428125,398,405
2002,78,Klamath Mtns.,Forest,28854.2146875,28851,28857
2002,78,Klamath Mtns.,Grassland,1389.7471875,1386,1392
2002,78,Klamath Mtns.,Shrubland,1528.08375,1526,1530
2002,78,Klamath Mtns.,SnowIce,12,12,12
2002,78,Klamath Mtns.,Water,124,124,124
2002,78,Klamath Mtns.,Wetland,38.944375,38,39
2002,80,Northern B&R,Agriculture,357.8009375,356,360
2002,80,Northern B&R,Barren,414,414,414
2002,80,Northern B&R,Developed,54.106875,54,55
2002,80,Northern B&R,Forest,1701.88875,1701,1703
2002,80,Northern B&R,Grassland,165.9109375,165,167
2002,80,Northern B&R,Shrubland,3348.546875,3347,3350
2002,80,Northern B&R,Water,303,303,303
2002,80,Northern B&R,Wetland,59.745625,58,61
2002,81,Sonoran B&R,Agriculture,2738.3190625,2731,2745
2002,81,Sonoran B&R,Barren,5807,5807,5807
2002,81,Sonoran B&R,Developed,750.6528125,746,756
