LUC,GCM,RCP,EcoregionID,EcoregionName,Mean,Lower,Upper
BAU,CanESM2,rcp45,1,Coast Range,-38.3,-46.2,-28.6
BAU,CanESM2,rcp45,4,Cascades,-3.4,-4.5,-2.1
BAU,CanESM2,rcp45,5,Sierra Nevada,-73,-85.1,-59
BAU,CanESM2,rcp45,6,Oak Woodlands,-85.9,-97.2,-70.7
BAU,CanESM2,rcp45,7,Central Valley,-67.9,-74.6,-60.7
BAU,CanESM2,rcp45,8,SoCal Mtns.,-2.3,-6.1,0.8
BAU,CanESM2,rcp45,9,East Cascades,-11.6,-15.9,-7.2
BAU,CanESM2,rcp45,13,Central B&R,11.9,10.8,13
BAU,CanESM2,rcp45,14,Mojave B&R,-1.6,-2.4,-0.9
BAU,CanESM2,rcp45,78,Klamath Mtns.,-42.4,-60.6,-25.2
BAU,CanESM2,rcp45,80,Northern B&R,0.4,-0.1,0.8
BAU,CanESM2,rcp45,81,Sonoran B&R,-10,-11,-8.6
BAU,CanESM2,rcp85,1,Coast Range,-61.4,-74.1,-46
BAU,CanESM2,rcp85,4,Cascades,-3.8,-5.1,-2.5
BAU,CanESM2,rcp85,5,Sierra Nevada,-70.3,-83.8,-52.9
BAU,CanESM2,rcp85,6,Oak Woodlands,-44.4,-62.1,-27.5
BAU,CanESM2,rcp85,7,Central Valley,-52,-59.4,-45.1
BAU,CanESM2,rcp85,8,SoCal Mtns.,22.8,19.1,26.4
BAU,CanESM2,rcp85,9,East Cascades,-17.2,-23.4,-11.8
BAU,CanESM2,rcp85,13,Central B&R,25.7,24.4,26.9
BAU,CanESM2,rcp85,14,Mojave B&R,36.9,35.6,38.1
BAU,CanESM2,rcp85,78,Klamath Mtns.,-82.6,-101.3,-59.7
BAU,CanESM2,rcp85,80,Northern B&R,0.5,-0.1,1
BAU,CanESM2,rcp85,81,Sonoran B&R,-4.8,-6.1,-3.6
BAU,CNRM-CM5,rcp45,1,Coast Range,-13.1,-20.4,-5.9
BAU,CNRM-CM5,rcp45,4,Cascades,-3.2,-4.3,-1.7
BAU,CNRM-CM5,rcp45,5,Sierra Nevada,-60.4,-71.1,-47
BAU,CNRM-CM5,rcp45,6,Oak Woodlands,16.2,1.2,30.5
BAU,CNRM-CM5,rcp45,7,Central Valley,-34.7,-41.7,-28.3
BAU,CNRM-CM5,rcp45,8,SoCal Mtns.,14.8,12,17.7
BAU,CNRM-CM5,rcp45,9,East Cascades,-18.5,-22.9,-14
BAU,CNRM-CM5,rcp45,13,Central B&R,12.3,10.8,13.3
BAU,CNRM-CM5,rcp45,14,Mojave B&R,25.3,24.5,26
BAU,CNRM-CM5,rcp45,78,Klamath Mtns.,-13.4,-26,0.8
BAU,CNRM-CM5,rcp45,80,Northern B&R,-0.7,-1.2,-0.4
BAU,CNRM-CM5,rcp45,81,Sonoran B&R,-3,-4.3,-1.6
BAU,CNRM-CM5,rcp85,1,Coast Range,-24.3,-36.5,-14.6
BAU,CNRM-CM5,rcp85,4,Cascades,-3.5,-4.8,-2.2
BAU,CNRM-CM5,rcp85,5,Sierra Nevada,-67,-78.9,-54.4
BAU,CNRM-CM5,rcp85,6,Oak Woodlands,-24.7,-47.5,-1.6
BAU,CNRM-CM5,rcp85,7,Central Valley,-45.6,-51.5,-39.9
BAU,CNRM-CM5,rcp85,8,SoCal Mtns.,13.6,10.1,16.4
BAU,CNRM-CM5,rcp85,9,East Cascades,-21.2,-25.4,-17
BAU,CNRM-CM5,rcp85,13,Central B&R,9.3,8.2,10.5
BAU,CNRM-CM5,rcp85,14,Mojave B&R,17.1,16,18.1
BAU,CNRM-CM5,rcp85,78,Klamath Mtns.,-23.7,-43,-10.7
BAU,CNRM-CM5,rcp85,80,Northern B&R,-2,-2.5,-1.5
BAU,CNRM-CM5,rcp85,81,Sonoran B&R,-2.2,-3.4,-0.9
BAU,HadGEM2-ES,rcp45,1,Coast Range,-46.9,-58.7,-37.4
BAU,HadGEM2-ES,rcp45,4,Cascades,-7.5,-8.4,-6.6
BAU,HadGEM2-ES,rcp45,5,Sierra Nevada,-140.2,-149.2,-132.1
BAU,HadGEM2-ES,rcp45,6,Oak Woodlands,-127.6,-138.9,-116.6
BAU,HadGEM2-ES,rcp45,7,Central Valley,-70.9,-77.2,-65.5
BAU,HadGEM2-ES,rcp45,8,SoCal Mtns.,-17,-20.4,-14.2
BAU,HadGEM2-ES,rcp45,9,East Cascades,-70.1,-73.8,-66.5
BAU,HadGEM2-ES,rcp45,13,Central B&R,-4.8,-5.7,-3.7
BAU,HadGEM2-ES,rcp45,14,Mojave B&R,-19.3,-20,-18.8
BAU,HadGEM2-ES,rcp45,78,Klamath Mtns.,-89.9,-106.7,-72.3
BAU,HadGEM2-ES,rcp45,80,Northern B&R,-7.8,-8.3,-7.5
BAU,HadGEM2-ES,rcp45,81,Sonoran B&R,-13,-14.2,-11.9
BAU,HadGEM2-ES,rcp85,1,Coast Range,-65.7,-75,-54.6
BAU,HadGEM2-ES,rcp85,4,Cascades,-7.5,-8.5,-6.3
BAU,HadGEM2-ES,rcp85,5,Sierra Nevada,-162,-173.2,-151.5
BAU,HadGEM2-ES,rcp85,6,Oak Woodlands,-221.2,-234.7,-205.7
BAU,HadGEM2-ES,rcp85,7,Central Valley,-104.3,-109,-97
BAU,HadGEM2-ES,rcp85,8,SoCal Mtns.,-36,-38.7,-33
BAU,HadGEM2-ES,rcp85,9,East Cascades,-81.9,-84.6,-78.8
BAU,HadGEM2-ES,rcp85,13,Central B&R,-12.5,-13.3,-11.9
BAU,HadGEM2-ES,rcp85,14,Mojave B&R,-48.6,-49.3,-48
BAU,HadGEM2-ES,rcp85,78,Klamath Mtns.,-110.7,-123.3,-92.6
BAU,HadGEM2-ES,rcp85,80,Northern B&R,-10.5,-10.9,-10
BAU,HadGEM2-ES,rcp85,81,Sonoran B&R,-20.3,-21.4,-19.2
BAU,MIROC5,rcp45,1,Coast Range,-45.1,-52.8,-37.6
BAU,MIROC5,rcp45,4,Cascades,-6.3,-7.5,-5
BAU,MIROC5,rcp45,5,Sierra Nevada,-143.9,-155.2,-130.2
BAU,MIROC5,rcp45,6,Oak Woodlands,-199.8,-211.7,-189.4
