Timestep,EcoregionID,EcoregionName,Flux,Mean,Lower,Upper
2002,1,Coast Range,LULCC,3.1,2.8,3.3
2002,1,Coast Range,NECB,-0.2,-0.4,0.1
2002,1,Coast Range,NEP,2.9,2.9,2.9
2002,1,Coast Range,NPP,14.2,14.2,14.2
2002,1,Coast Range,Rh,11.3,11.3,11.3
2002,4,Cascades,LULCC,0.2,0.2,0.3
2002,4,Cascades,NECB,-0,-0.1,0
2002,4,Cascades,NEP,0.2,0.2,0.2
2002,4,Cascades,NPP,1.1,1.1,1.1
2002,4,Cascades,Rh,0.9,0.9,0.9
2002,5,Sierra Nevada,LULCC,4.9,4.7,5
2002,5,Sierra Nevada,NECB,-3.8,-4,-3.7
2002,5,Sierra Nevada,NEP,1,1,1
2002,5,Sierra Nevada,NPP,19.9,19.9,19.9
2002,5,Sierra Nevada,Rh,18.9,18.9,18.9
2002,6,Oak Woodlands,LULCC,6.9,6.7,7.2
2002,6,Oak Woodlands,NECB,-8.6,-8.9,-8.3
2002,6,Oak Woodlands,NEP,-1.7,-1.7,-1.7
2002,6,Oak Woodlands,NPP,31.3,31.3,31.3
2002,6,Oak Woodlands,Rh,33,33,33
2002,7,Central Valley,LULCC,12.3,12.2,12.4
2002,7,Central Valley,NECB,-3.1,-3.2,-3
2002,7,Central Valley,NEP,9.1,9.1,9.1
2002,7,Central Valley,NPP,23.8,23.8,23.8
2002,7,Central Valley,Rh,14.6,14.6,14.6
2002,8,SoCal Mtns.,LULCC,1.4,1.3,1.5
2002,8,SoCal Mtns.,NECB,-3.7,-3.8,-3.6
2002,8,SoCal Mtns.,NEP,-2.3,-2.3,-2.3
2002,8,SoCal Mtns.,NPP,4.3,4.3,4.3
2002,8,SoCal Mtns.,Rh,6.6,6.6,6.6
2002,9,East Cascades,LULCC,1.6,1.5,1.7
2002,9,East Cascades,NECB,-1.8,-1.9,-1.7
2002,9,East Cascades,NEP,-0.2,-0.2,-0.2
2002,9,East Cascades,NPP,6.3,6.3,6.3
2002,9,East Cascades,Rh,6.6,6.6,6.6
2002,13,Central B&R,LULCC,0.4,0.4,0.4
2002,13,Central B&R,NECB,-0.6,-0.6,-0.6
2002,13,Central B&R,NEP,-0.2,-0.2,-0.2
2002,13,Central B&R,NPP,1.5,1.5,1.5
2002,13,Central B&R,Rh,1.7,1.7,1.7
2002,14,Mojave B&R,LULCC,0.2,0.2,0.2
2002,14,Mojave B&R,NECB,-3.7,-3.7,-3.6
2002,14,Mojave B&R,NEP,-3.4,-3.4,-3.4
2002,14,Mojave B&R,NPP,2,2,2
2002,14,Mojave B&R,Rh,5.4,5.4,5.4
2002,78,Klamath Mtns.,LULCC,6.1,5.8,6.4
2002,78,Klamath Mtns.,NECB,-0.2,-0.5,0.1
