Timestep,EcoregionID,EcoregionName,Ecosystem,Mean,Lower,Upper
2001,1,Coast Range,No,0,0,0
2001,1,Coast Range,Yes,420.8,420.8,420.8
2001,4,Cascades,No,0,0,0
2001,4,Cascades,Yes,38.7,38.7,38.7
2001,5,Sierra Nevada,No,0,0,0
2001,5,Sierra Nevada,Yes,911.3,911.3,911.3
2001,6,Oak Woodlands,No,0,0,0
2001,6,Oak Woodlands,Yes,1150.7,1150.7,1150.7
2001,7,Central Valley,No,0,0,0
2001,7,Central Valley,Yes,347.8,347.8,347.8
2001,8,SoCal Mtns.,No,0,0,0
2001,8,SoCal Mtns.,Yes,223.3,223.3,223.3
2001,9,East Cascades,No,0,0,0
2001,9,East Cascades,Yes,349.4,349.4,349.4
2001,13,Central B&R,No,0,0,0
2001,13,Central B&R,Yes,134.9,134.9,134.9
2001,14,Mojave B&R,No,0,0,0
2001,14,Mojave B&R,Yes,215.6,215.6,215.6
2001,78,Klamath Mtns.,No,0,0,0
2001,78,Klamath Mtns.,Yes,887.9,887.9,887.9
2001,80,Northern B&R,No,0,0,0
2001,80,Northern B&R,Yes,56.6,56.6,56.6
2001,81,Sonoran B&R,No,0,0,0
2001,81,Sonoran B&R,Yes,86.2,86.2,86.2
2002,1,Coast Range,No,0.1,0,0.1
2002,1,Coast Range,Yes,420.6,420.3,420.8
2002,4,Cascades,No,0,0,0.1
2002,4,Cascades,Yes,38.6,38.6,38.7
2002,5,Sierra Nevada,No,0,0,0.1
2002,5,Sierra Nevada,Yes,907.4,907.3,907.6
2002,6,Oak Woodlands,No,1.2,1,1.4
2002,6,Oak Woodlands,Yes,1140.9,1140.5,1141.3
2002,7,Central Valley,No,0.4,0.3,0.5
2002,7,Central Valley,Yes,344.3,344.1,344.5
2002,8,SoCal Mtns.,No,0.1,0,0.1
2002,8,SoCal Mtns.,Yes,219.6,219.5,219.7
2002,9,East Cascades,No,0,0,0
2002,9,East Cascades,Yes,347.5,347.4,347.6
2002,13,Central B&R,No,0,0,0
2002,13,Central B&R,Yes,134.4,134.3,134.4
2002,14,Mojave B&R,No,0,0,0.1
2002,14,Mojave B&R,Yes,211.9,211.8,211.9
2002,78,Klamath Mtns.,No,0,0,0
2002,78,Klamath Mtns.,Yes,887.7,887.4,888
2002,80,Northern B&R,No,0,0,0
2002,80,Northern B&R,Yes,56.3,56.3,56.3
2002,81,Sonoran B&R,No,0,0,0.1
2002,81,Sonoran B&R,Yes,84.7,84.6,84.8
2003,1,Coast Range,No,0.1,0,0.1
2003,1,Coast Range,Yes,420.3,420,420.7
2003,4,Cascades,No,0,0,0.1
2003,4,Cascades,Yes,38.7,38.6,38.8
2003,5,Sierra Nevada,No,0.1,0,0.1
2003,5,Sierra Nevada,Yes,904.9,904.6,905.1
2003,6,Oak Woodlands,No,1.7,1.5,2
2003,6,Oak Woodlands,Yes,1136.2,1135.7,1136.7
2003,7,Central Valley,No,0.7,0.5,0.9
2003,7,Central Valley,Yes,343.5,343.3,343.7
2003,8,SoCal Mtns.,No,0.1,0,0.1
