Timestep,Min,Interval2.5,Interval10,Interval25,Mean,Interval75,Interval90,Interval97.5,Max
2001,4823.1,4823.1,4823.1,4823.1,4823.1,4823.1,4823.1,4823.1,4823.1
2002,4792.9,4793.4,4793.5,4793.8,4794,4794.2,4794.4,4794.6,4794.8
2003,4785.4,4785.8,4786.1,4786.4,4786.7,4786.9,4787.1,4787.4,4787.9
2004,4791.3,4791.8,4792.2,4792.6,4792.9,4793.2,4793.5,4793.8,4794.3
2005,4828.4,4829.2,4829.6,4830,4830.4,4830.8,4831.1,4831.4,4832
2006,4831.3,4832.5,4833,4833.4,4833.8,4834.2,4834.6,4835.1,4836
2007,4780.6,4781.4,4782,4782.4,4782.9,4783.4,4783.8,4784.3,4785.4
2008,4750.3,4751.5,4752.2,4752.7,4753.3,4753.8,4754.3,4754.7,4756
2009,4729.9,4731.6,4732.2,4732.8,4733.4,4734.1,4734.6,4735.3,4736.1
2010,4788.7,4790.9,4791.6,4792.3,4793,4793.7,4794.2,4794.9,4796
2011,4783.9,4786.4,4787,4787.8,4788.4,4789.2,4789.7,4790.6,4791.7
2012,4777.5,4779.6,4780.4,4781.1,4781.9,4782.7,4783.3,4784.3,4785.5
2013,4684.5,4687.5,4688.8,4689.9,4691.2,4692.6,4693.7,4694.8,4697.2
2014,4659.7,4662.9,4664.3,4665.8,4667.8,4669.8,4671.5,4673.1,4675.9
2015,4611.8,4615.9,4617.7,4619.6,4622.3,4625.1,4627.4,4629.4,4633.7
2016,4582.6,4588.9,4597.2,4618.9,4639.9,4665.6,4672.1,4678.4,4684.2
2017,4538.5,4547.1,4558.1,4598.2,4614.7,4636.9,4667.2,4678.5,4688.6
2018,4556,4565.6,4574.5,4588.1,4615.2,4627,4700.9,4715.1,4727.1
2019,4551.2,4563.3,4578.2,4604.2,4632.3,4653,4724.4,4741.3,4754.7
2020,4510.9,4521.8,4539.2,4571.5,4634.2,4677.5,4747.7,4766.9,4783.3
2021,4531.6,4544,4557,4577.9,4632.1,4681,4718.3,4740.4,4759.2
2022,4523.8,4537.5,4552.4,4568.4,4624.4,4675.4,4703.5,4721.1,4740.8
2023,4504.6,4519.7,4543.2,4569.4,4614.9,4663.5,4717.3,4744.8,4767.5
2024,4509.7,4527.1,4538.7,4559.5,4627.1,4681.5,4743.3,4763.7,4780.7
2025,4494.9,4512.3,4532.7,4556.8,4641.9,4702.4,4777.1,4800.1,4819.2
2026,4500.8,4524.6,4547.5,4577.7,4647.8,4707.6,4776.7,4802,4820.2
2027,4468,4485,4523.4,4568.9,4630.9,4694.5,4788,4822.2,4842
