EcoregionID,EcoregionName,Source,Variable,Mg,Tg,Ecosystems
1,Coast Range,Wilson,Live,135200257.99605313,135.20025799605312,Forest
4,Cascades,Wilson,Live,8483009.377184441,8.483009377184441,Forest
5,Sierra Nevada,Wilson,Live,327247482.76562744,327.24748276562747,Forest
6,Oak Woodlands,Wilson,Live,103399585.32296376,103.39958532296376,Forest
7,Central Valley,Wilson,Live,1243499.581542141,1.243499581542141,Forest
8,SoCal Mtns.,Wilson,Live,18015276.81899134,18.015276818991342,Forest
9,East Cascades,Wilson,Live,40598130.819449455,40.59813081944945,Forest
13,Central B&R,Wilson,Live,5363212.007458063,5.3632120074580625,Forest
14,Mojave B&R,Wilson,Live,1337508.8720219932,1.3375088720219932,Forest
78,Klamath Mtns.,Wilson,Live,273125864.93378776,273.12586493378774,Forest
80,Northern B&R,Wilson,Live,766162.670573142,0.766162670573142,Forest
81,Sonoran B&R,Wilson,Live,79279.18348334302,0.07927918348334302,Forest
1,Coast Range,Wilson,Live,29034859.45308144,29.03485945308144,Forest
4,Cascades,Wilson,Live,1894099.9123079658,1.8940999123079658,Forest
5,Sierra Nevada,Wilson,Live,72654677.80955316,72.65467780955316,Forest
6,Oak Woodlands,Wilson,Live,21032631.268692505,21.032631268692505,Forest
7,Central Valley,Wilson,Live,244965.53290306154,0.24496553290306153,Forest
8,SoCal Mtns.,Wilson,Live,3788674.448016661,3.7886744480166614,Forest
9,East Cascades,Wilson,Live,9110130.344691068,9.110130344691068,Forest
13,Central B&R,Wilson,Live,1208412.2072911658,1.2084122072911658,Forest
14,Mojave B&R,Wilson,Live,302636.93257147114,0.3026369325714711,Forest
78,Klamath Mtns.,Wilson,Live,59092287.26918181,59.09228726918181,Forest
80,Northern B&R,Wilson,Live,169862.68639377985,0.16986268639377985,Forest
81,Sonoran B&R,Wilson,Live,15754.949631687097,0.015754949631687096,Forest
1,Coast Range,Wilson,DOM,15423525.79384214,15.42352579384214,Forest
4,Cascades,Wilson,DOM,1585963.9266101895,1.5859639266101895,Forest
