GCM,RCP,Year,Mean,Mean5,Mean10,Variable
CanESM2-ES,rcp45,2016,500.160610308947,632.4307591811399,601.626382320759,Precipitation
CanESM2-ES,rcp85,2016,458.88585814233915,517.4372025606683,594.1594346185676,Precipitation
CNRM-CM5,rcp45,2016,627.625284424924,556.3995746264968,689.7220175258524,Precipitation
CNRM-CM5,rcp85,2016,381.1006046862625,678.306488973614,698.5144389692506,Precipitation
HadGEM2-ES,rcp45,2016,376.1373399583681,604.370052464036,603.5913536533312,Precipitation
HadGEM2-ES,rcp85,2016,464.83113067397227,496.7300136162224,569.5667273193975,Precipitation
MIROC5,rcp45,2016,652.8175149739455,554.296717759136,568.1190498377812,Precipitation
MIROC5,rcp85,2016,737.123499882391,564.2849009772282,571.5233420543525,Precipitation
CanESM2-ES,rcp45,2017,1002.2105512442442,670.7694063787402,617.2450754982611,Precipitation
CanESM2-ES,rcp85,2017,498.72780239707083,501.0298788493416,617.1556317499098,Precipitation
CNRM-CM5,rcp45,2017,397.74649265309085,648.0104560656721,681.7120056367987,Precipitation
CNRM-CM5,rcp85,2017,746.1791126859109,598.3678545238314,672.0000048240925,Precipitation
HadGEM2-ES,rcp45,2017,603.1015946447772,548.7703313414977,540.865404490137,Precipitation
HadGEM2-ES,rcp85,2017,403.23605953027084,588.1999157427312,549.3907409650908,Precipitation
MIROC5,rcp45,2017,445.27328416852504,536.245018418842,574.056195584858,Precipitation
MIROC5,rcp85,2017,451.886220458084,584.8764115271388,559.5805144442635,Precipitation
CanESM2-ES,rcp45,2018,565.5528835859132,647.531335877628,644.045899317282,Precipitation
CanESM2-ES,rcp85,2018,636.2986794302028,513.8564844986075,592.1563847354957,Precipitation
CNRM-CM5,rcp45,2018,606.0332902767856,651.6432624583626,643.7924676477365,Precipitation
CNRM-CM5,rcp85,2018,754.3103197830225,617.0570373960788,655.4065813344243,Precipitation
HadGEM2-ES,rcp45,2018,700.0382978470029,520.1055743771639,545.8899781492036,Precipitation
HadGEM2-ES,rcp85,2018,759.7204327673776,600.844896621904,553.7761017685357,Precipitation
MIROC5,rcp45,2018,330.4312293928234,525.6179105332454,587.0497437584476,Precipitation
MIROC5,rcp85,2018,660.5257403568381,599.1223834541125,567.2407193556933,Precipitation
CanESM2-ES,rcp45,2019,727.8953436357094,703.646246696808,660.6086528492649,Precipitation
CanESM2-ES,rcp85,2019,359.98302487148203,615.0225186111115,579.9822137921785,Precipitation
CNRM-CM5,rcp45,2019,897.0257107259189,694.9814581085369,655.9653618653439,Precipitation
CNRM-CM5,rcp85,2019,555.3822699029305,676.5075525215367,621.4652803877004,Precipitation
HadGEM2-ES,rcp45,2019,540.5680862720033,522.8814230581115,518.9143085557452,Precipitation
HadGEM2-ES,rcp85,2019,803.6502161299899,618.5653520199548,576.8997790701015,Precipitation
MIROC5,rcp45,2019,483.31312124020474,531.2130614648025,571.3725590852906,Precipitation
MIROC5,rcp85,2019,702.6938768806747,609.0200543321887,603.3452042301997,Precipitation
CanESM2-ES,rcp45,2020,441.83729061332593,633.3333920211694,663.6112215812209,Precipitation
CanESM2-ES,rcp85,2020,615.3870576519431,716.597897092074,585.1786364294637,Precipitation
CNRM-CM5,rcp45,2020,729.7855342110938,754.3465425859329,662.2166732631711,Precipitation
CNRM-CM5,rcp85,2020,648.3128799222682,651.476284640843,622.1430226902679,Precipitation
HadGEM2-ES,rcp45,2020,380.6825531636678,474.7971141346927,513.2353163819929,Precipitation
HadGEM2-ES,rcp85,2020,572.7866440079096,632.7435909110374,588.4291834471765,Precipitation
MIROC5,rcp45,2020,716.2544028907282,568.5325969449797,545.2158773668617,Precipitation
MIROC5,rcp85,2020,443.3825796925747,589.3197118521703,610.6394517815911,Precipitation
CanESM2-ES,rcp45,2021,780.7351644048478,655.661039453424,660.6008557805675,Precipitation
CanESM2-ES,rcp85,2021,964.7160287048591,666.8755669103234,641.8591397015279,Precipitation
CNRM-CM5,rcp45,2021,844.3162626757953,731.1853606689764,670.6091805928671,Precipitation
CNRM-CM5,rcp85,2021,678.3531803135513,632.5066736952347,678.6174261850203,Precipitation
HadGEM2-ES,rcp45,2021,390.0165833631064,487.40990383437116,542.325975917818,Precipitation
HadGEM2-ES,rcp85,2021,553.4334076642264,610.822189920849,595.0867724532898,Precipitation
MIROC5,rcp45,2021,680.7932696317312,619.802769757759,559.58986297135,Precipitation
MIROC5,rcp85,2021,786.6118542727717,570.1965377341585,582.3754204572502,Precipitation
CanESM2-ES,rcp45,2022,650.6462778660508,650.4478993197896,641.2654054562383,Precipitation
CanESM2-ES,rcp85,2022,1006.6046948018833,658.9345487350154,669.5510371726826,Precipitation
CNRM-CM5,rcp45,2022,694.5719150400707,663.9202676650158,698.6042603043234,Precipitation
CNRM-CM5,rcp85,2022,621.022773282443,644.5627062515694,705.4444585084806,Precipitation
HadGEM2-ES,rcp45,2022,362.68005002768325,489.0582857699927,552.2884428210081,Precipitation
HadGEM2-ES,rcp85,2022,474.1272539856835,565.5996423974718,605.369188781595,Precipitation
MIROC5,rcp45,2022,631.8709615694108,606.5000997517392,588.5500800840558,Precipitation
MIROC5,rcp85,2022,353.3845080579921,621.8139969332607,600.0386392031319,Precipitation
CanESM2-ES,rcp45,2023,677.1911207471865,679.6911072848138,653.0322015328609,Precipitation
CanESM2-ES,rcp85,2023,387.6870285214497,656.5007883603199,680.5517376885275,Precipitation
CNRM-CM5,rcp45,2023,490.2273806920033,672.7900840679797,712.1857201494098,Precipitation
CNRM-CM5,rcp85,2023,659.4622650549808,627.2290079844569,696.6800558626372,Precipitation
HadGEM2-ES,rcp45,2023,763.1022463453951,506.365058386822,548.7070421387982,Precipitation
HadGEM2-ES,rcp85,2023,650.1134278164359,576.0134702724488,587.0993468879727,Precipitation
MIROC5,rcp45,2023,586.7820934567205,564.8138442004781,621.8053579147971,Precipitation
MIROC5,rcp85,2023,564.909869766779,622.1565201090698,613.1736175149819,Precipitation
CanESM2-ES,rcp45,2024,701.8296429675372,617.5554648643271,627.2228314612933,Precipitation
CanESM2-ES,rcp85,2024,320.2779339949421,668.6957607919443,677.07710590522845,Precipitation
CNRM-CM5,rcp45,2024,560.7002457061155,646.2369030771976,683.7152072770097,Precipitation
CNRM-CM5,rcp85,2024,615.6624326846035,680.7272998485039,738.5858209497978,Precipitation
HadGEM2-ES,rcp45,2024,548.8099959501111,561.7705287775245,521.9497283391978,Precipitation
HadGEM2-ES,rcp85,2024,577.5374785131037,571.6081928866248,577.5140256350718,Precipitation
MIROC5,rcp45,2024,416.79977121010506,587.9666644778977,624.6727951862401,Precipitation
MIROC5,rcp85,2024,960.7811728761859,555.7307865823118,608.9479786482694,Precipitation
CanESM2-ES,rcp45,2025,588.053330438447,649.197418891307,651.5574484608472,Precipitation
CanESM2-ES,rcp85,2025,603.2182557784655,622.5041772532913,660.7090397182033,Precipitation
CNRM-CM5,rcp45,2025,774.1346162259134,642.8619780227139,712.1167381832555,Precipitation
CNRM-CM5,rcp85,2025,561.644388586706,759.4126323761182,736.8673100485172,Precipitation
HadGEM2-ES,rcp45,2025,467.21641624781427,629.7797715073234,539.2719787694634,Precipitation
HadGEM2-ES,rcp85,2025,624.8557833827945,577.9947866521526,628.6353158956381,Precipitation
MIROC5,rcp45,2025,507.8231251344228,608.5675632231321,596.6409828414999,Precipitation
MIROC5,rcp85,2025,445.09519557162014,610.7575665540935,603.5135785802797,Precipitation
CanESM2-ES,rcp45,2026,470.0569523024138,650.4033636122979,648.4048687388117,Precipitation
CanESM2-ES,rcp85,2026,1025.690890862981,694.2279084667316,607.5174628805095,Precipitation
CNRM-CM5,rcp45,2026,711.5503577218847,693.1860796298433,731.9887552138002,Precipitation
CNRM-CM5,rcp85,2026,945.8446396337865,760.8534380300397,737.5228401451681,Precipitation
HadGEM2-ES,rcp45,2026,667.0439353166191,610.0041804432253,560.5412088648874,Precipitation
