GCM,RCP,Year,Mean,Mean5,Mean10,Variable
CanESM2-ES,rcp45,2016,15.659243684543005,15.21705236125143,15.259510474211869,Mean Annual Temperature
CanESM2-ES,rcp85,2016,15.334877074218655,15.44310971599838,15.519671877872558,Mean Annual Temperature
CNRM-CM5,rcp45,2016,14.05372201358673,14.475078140973618,14.663619554062524,Mean Annual Temperature
CNRM-CM5,rcp85,2016,14.02888245499408,14.551557709163541,14.77377978267339,Mean Annual Temperature
HadGEM2-ES,rcp45,2016,14.99823017728755,14.971593559668182,15.016767002721455,Mean Annual Temperature
HadGEM2-ES,rcp85,2016,14.315414779258708,15.273389312527389,15.225884848537468,Mean Annual Temperature
MIROC5,rcp45,2016,13.866961174960842,14.47644985309152,14.69004859429191,Mean Annual Temperature
MIROC5,rcp85,2016,14.741842208592809,14.647346684050598,14.773017510204998,Mean Annual Temperature
CanESM2-ES,rcp45,2017,14.875481857822503,15.308543072586327,15.297724748911628,Mean Annual Temperature
CanESM2-ES,rcp85,2017,15.45724654075586,15.503451744930322,15.48399064002562,Mean Annual Temperature
CNRM-CM5,rcp45,2017,14.688353265330571,14.54298531948819,14.67474005764618,Mean Annual Temperature
CNRM-CM5,rcp85,2017,14.485520840325151,14.589712011742701,14.731472719941843,Mean Annual Temperature
HadGEM2-ES,rcp45,2017,15.152100997512152,14.991177831051985,15.038745424861089,Mean Annual Temperature
HadGEM2-ES,rcp85,2017,15.79288434452359,15.412324301235,15.257259986429355,Mean Annual Temperature
MIROC5,rcp45,2017,15.310704758377382,14.566380704603427,14.643277358899105,Mean Annual Temperature
MIROC5,rcp85,2017,14.058616033578977,14.573551033039273,14.763703092438638,Mean Annual Temperature
CanESM2-ES,rcp45,2018,15.279614589335932,15.274059908652585,15.310717336993559,Mean Annual Temperature
CanESM2-ES,rcp85,2018,15.619961245896388,15.496623916061798,15.48160008216534,Mean Annual Temperature
CNRM-CM5,rcp45,2018,14.77919933967763,14.644940888201186,14.67039001956538,Mean Annual Temperature
CNRM-CM5,rcp85,2018,15.148043512878472,14.673479692020496,14.743189860339886,Mean Annual Temperature
HadGEM2-ES,rcp45,2018,14.94593820913518,15.089376361530828,15.010190232998061,Mean Annual Temperature
HadGEM2-ES,rcp85,2018,15.792750982763163,15.36074951500764,15.345566705766657,Mean Annual Temperature
MIROC5,rcp45,2018,14.662076295367884,14.762405510485745,14.696171618313652,Mean Annual Temperature
MIROC5,rcp85,2018,14.427201273085103,14.527391326490484,14.805074968567167,Mean Annual Temperature
