GCM,RCP,CFE,Source,Timestep,Mean,Lower,Upper,Mean2,Mean10
CanESM2,rcp45,Medium,LUCAS CFE,2006,170.6048877059035,170.45622412547,170.70965725304063,1.2102147941212915,NA
CanESM2,rcp45,Medium,LUCAS CFE,2007,109.84608107157695,109.77779673676652,109.91116800385757,0.7792118630166837,NA
CanESM2,rcp45,Medium,LUCAS CFE,2008,140.89004027893606,140.78532451466845,140.973574264314,0.9994274688298566,NA
CanESM2,rcp45,Medium,LUCAS CFE,2009,135.39434544956953,135.26605990551008,135.48525216602323,0.9604428226341362,NA
CanESM2,rcp45,Medium,LUCAS CFE,2010,214.37730225462394,214.13966162035103,214.63697162440462,1.5207218632539798,140.9707504276344
CanESM2,rcp45,Medium,LUCAS CFE,2011,148.145395876194,147.95546231416725,148.33696354827626,1.0508945680348252,142.52887882697843
CanESM2,rcp45,Medium,LUCAS CFE,2012,160.21725204822332,159.99616477887656,160.42722596093273,1.1365283334465108,141.1127832160013
CanESM2,rcp45,Medium,LUCAS CFE,2013,65.62958863042338,65.54228141278668,65.70131684871737,0.4655546518078127,140.06426651361866
CanESM2,rcp45,Medium,LUCAS CFE,2014,147.20180897733556,146.95666497774948,147.41659563383672,1.0442010738454557,145.3960382721288
CanESM2,rcp45,Medium,LUCAS CFE,2015,117.4008019835577,117.2525029274739,117.52590439358147,0.8328025610094483,140.80472651511496
CanESM2,rcp45,Medium,LUCAS CFE,2016,186.18617169934396,185.80093816937742,186.5461616450445,1.3207432828054666,143.4042237027208
CanESM2,rcp45,Medium,LUCAS CFE,2017,95.68512496180544,95.49717817407641,95.86164763015665,0.6787587118004613,145.82438135055804
CanESM2,rcp45,Medium,LUCAS CFE,2018,130.4048732551097,130.1334318926469,130.6999601933681,0.925049152817353,154.65907555296707
CanESM2,rcp45,Medium,LUCAS CFE,2019,188.71206303467113,188.37022926699257,189.15622833867099,1.3386611226954075,153.02170919872395
CanESM2,rcp45,Medium,LUCAS CFE,2020,168.46418468448547,168.0983943057933,168.87043517435885,1.195029353064021,160.38493419605007
CanESM2,rcp45,Medium,LUCAS CFE,2021,174.1403677522524,173.75214405511366,174.57255238961633,1.2352943232833624,157.64993385029575
CanESM2,rcp45,Medium,LUCAS CFE,2022,184.41882852659552,183.04002907301162,186.13476671221866,1.3082063333504397,159.90327050153184
CanESM2,rcp45,Medium,LUCAS CFE,2023,153.97653065451382,152.92444745207854,155.34783908151127,1.092258714573246,161.84596568261492
CanESM2,rcp45,Medium,LUCAS CFE,2024,130.82814543490449,129.59633090315918,132.08217795823762,0.9280517060314829,160.1183042703382
CanESM2,rcp45,Medium,LUCAS CFE,2025,191.03305195681858,189.69979505515735,192.47020856621074,1.3551254524596084,160.82962909706018
CanESM2,rcp45,Medium,LUCAS CFE,2026,158.83616824180092,157.38105581941284,160.8441530930624,1.1267313805166805,163.10322785745706
CanESM2,rcp45,Medium,LUCAS CFE,2027,118.21849147416609,116.78983955611562,119.82603755208729,0.8386029805158206,155.63067280984694
CanESM2,rcp45,Medium,LUCAS CFE,2028,149.8318250659407,148.18147924722197,151.89520821723607,1.0628575403864013,152.9330056143569
CanESM2,rcp45,Medium,LUCAS CFE,2029,171.43544891190393,169.98209205294876,173.3961117735541,1.216106521330524,157.4330692954917
CanESM2,rcp45,Medium,LUCAS CFE,2030,175.57743295170533,174.1030042663736,177.74452827264355,1.2454883897481688,149.1312529014297
CanESM2,rcp45,Medium,LUCAS CFE,2031,196.87635535622107,195.4300409497274,198.90883290599714,1.3965759191817961,150.04313529701645
CanESM2,rcp45,Medium,LUCAS CFE,2032,109.69327805049447,108.35687712097719,111.27701176774983,0.7781279287918963,149.47047024555883
CanESM2,rcp45,Medium,LUCAS CFE,2033,126.99985869961301,125.67974526782814,128.1763415306513,0.9008951028093366,149.51006608575648
CanESM2,rcp45,Medium,LUCAS CFE,2034,175.82878224625276,174.28671381864365,176.84993313095072,1.2472713787284002,149.4903627611946
