Timestep,StockGroup,LULC,Mean,Lower,Upper
2001,DOM,Agriculture,14.5,14.5,14.5
2001,DOM,Barren,0,0,0
2001,DOM,Developed,0,0,0
2001,DOM,Forest,319.2,319.2,319.2
2001,DOM,Grassland,14,14,14
2001,DOM,Shrubland,28.2,28.2,28.2
2001,DOM,SnowIce,0,0,0
2001,DOM,Water,0,0,0
2001,DOM,Wetland,0,0,0
2001,Live,Agriculture,36.7,36.7,36.7
2001,Live,Barren,0,0,0
2001,Live,Developed,0,0,0
2001,Live,Forest,1638.8,1638.8,1638.8
2001,Live,Grassland,13.4,13.4,13.4
2001,Live,Shrubland,115.4,115.4,115.4
2001,Live,SnowIce,0,0,0
2001,Live,Water,0,0,0
2001,Live,Wetland,0,0,0
2001,Soil,Agriculture,417.2,417.2,417.2
2001,Soil,Barren,0,0,0
2001,Soil,Developed,0,0,0
2001,Soil,Forest,1524.1,1524.1,1524.1
2001,Soil,Grassland,356.9,356.9,356.9
2001,Soil,Shrubland,344.8,344.8,344.8
2001,Soil,SnowIce,0,0,0
2001,Soil,Water,0,0,0
2001,Soil,Wetland,0,0,0
2002,DOM,Agriculture,14.2,14.2,14.2
2002,DOM,Barren,0,0,0
2002,DOM,Developed,0,0,0
2002,DOM,Forest,315.7,315.5,315.9
2002,DOM,Grassland,13.6,13.6,13.6
2002,DOM,Shrubland,28,28,28
2002,DOM,SnowIce,0,0,0
2002,DOM,Water,0,0,0
2002,DOM,Wetland,0,0,0
2002,Live,Agriculture,33.6,33.5,33.6
2002,Live,Barren,0,0,0
2002,Live,Developed,0.1,0,0.1
2002,Live,Forest,1628.8,1628.1,1629.4
2002,Live,Grassland,10.6,10.6,10.6
2002,Live,Shrubland,109.7,109.6,109.7
2002,Live,SnowIce,0,0,0
2002,Live,Water,0,0,0
2002,Live,Wetland,0,0,0
2002,Soil,Agriculture,415.5,415.1,415.9
2002,Soil,Barren,0,0,0
2002,Soil,Developed,1.6,1.5,1.9
2002,Soil,Forest,1523.9,1523.7,1524.1
2002,Soil,Grassland,355.8,355.6,356.1
2002,Soil,Shrubland,344.6,344.5,344.8
2002,Soil,SnowIce,0,0,0
2002,Soil,Water,0,0,0
2002,Soil,Wetland,0.1,0,0.3
2003,DOM,Agriculture,12.6,12.6,12.6
2003,DOM,Barren,0,0,0
2003,DOM,Developed,0,0,0
2003,DOM,Forest,317.2,317,317.6
2003,DOM,Grassland,11.8,11.8,11.8
2003,DOM,Shrubland,27.1,27.1,27.2
2003,DOM,SnowIce,0,0,0
2003,DOM,Water,0,0,0
2003,DOM,Wetland,0,0,0
2003,Live,Agriculture,36.7,36.6,36.8
2003,Live,Barren,0,0,0
2003,Live,Developed,0.1,0.1,0.1
2003,Live,Forest,1624.2,1623.3,1625
2003,Live,Grassland,12.3,12.3,12.3
2003,Live,Shrubland,110,109.9,110.1
2003,Live,SnowIce,0,0,0
2003,Live,Water,0,0,0
2003,Live,Wetland,0,0,0
2003,Soil,Agriculture,413.1,412.7,413.6
2003,Soil,Barren,0,0,0
2003,Soil,Developed,2.6,2.3,2.8
2003,Soil,Forest,1522.6,1522.4,1522.9
2003,Soil,Grassland,354.8,354.4,355.2
2003,Soil,Shrubland,344.3,344.1,344.5
2003,Soil,SnowIce,0,0,0
2003,Soil,Water,0,0,0
2003,Soil,Wetland,0.2,0.1,0.4
2004,DOM,Agriculture,12.6,12.6,12.6
2004,DOM,Barren,0,0,0
2004,DOM,Developed,0,0,0
2004,DOM,Forest,321.6,321.3,321.9
2004,DOM,Grassland,12,12,12
2004,DOM,Shrubland,27,27,27.1
2004,DOM,SnowIce,0,0,0
2004,DOM,Water,0,0,0
2004,DOM,Wetland,0,0,0
2004,Live,Agriculture,41.6,41.5,41.7
2004,Live,Barren,0,0,0
2004,Live,Developed,0.1,0.1,0.1
2004,Live,Forest,1622.2,1621.2,1623.3
2004,Live,Grassland,13.7,13.7,13.7
2004,Live,Shrubland,113.5,113.4,113.6
2004,Live,SnowIce,0,0,0
2004,Live,Water,0,0,0
2004,Live,Wetland,0,0,0
2004,Soil,Agriculture,410.7,410.1,411.2
2004,Soil,Barren,0,0,0
2004,Soil,Developed,3.5,3.2,3.8
2004,Soil,Forest,1520.5,1520.2,1520.8
2004,Soil,Grassland,353.7,353.3,354.1
2004,Soil,Shrubland,343.8,343.6,344
2004,Soil,SnowIce,0,0,0
2004,Soil,Water,0,0,0
2004,Soil,Wetland,0.3,0.2,0.6
2005,DOM,Agriculture,13.5,13.5,13.5
2005,DOM,Barren,0,0,0
2005,DOM,Developed,0,0,0
2005,DOM,Forest,325.5,325.2,325.9
2005,DOM,Grassland,12.9,12.8,12.9
2005,DOM,Shrubland,27.6,27.6,27.6
2005,DOM,SnowIce,0,0,0
2005,DOM,Water,0,0,0
2005,DOM,Wetland,0,0,0
2005,Live,Agriculture,49.9,49.8,50
2005,Live,Barren,0,0,0
2005,Live,Developed,0.1,0.1,0.1
2005,Live,Forest,1641.4,1640.1,1642.7
2005,Live,Grassland,16.7,16.7,16.7
2005,Live,Shrubland,119.5,119.4,119.6
2005,Live,SnowIce,0,0,0
2005,Live,Water,0,0,0
2005,Live,Wetland,0,0,0
2005,Soil,Agriculture,408.3,407.7,409
2005,Soil,Barren,0,0,0
2005,Soil,Developed,4.4,4.1,4.7
2005,Soil,Forest,1518.5,1518.2,1518.9
2005,Soil,Grassland,353.1,352.6,353.5
2005,Soil,Shrubland,343.4,343.2,343.7
2005,Soil,SnowIce,0,0,0
2005,Soil,Water,0,0,0
2005,Soil,Wetland,0.5,0.3,0.8
2006,DOM,Agriculture,15.5,15.4,15.5
2006,DOM,Barren,0,0,0
2006,DOM,Developed,0,0,0
2006,DOM,Forest,327.4,327,327.8
2006,DOM,Grassland,14.8,14.8,14.8
2006,DOM,Shrubland,28.6,28.6,28.7
2006,DOM,SnowIce,0,0,0
2006,DOM,Water,0,0,0
2006,DOM,Wetland,0,0,0
2006,Live,Agriculture,51.4,51.2,51.5
2006,Live,Barren,0,0,0
2006,Live,Developed,0.1,0.1,0.2
2006,Live,Forest,1644.8,1643.4,1646.1
2006,Live,Grassland,14.1,14.1,14.1
2006,Live,Shrubland,116.1,116,116.2
2006,Live,SnowIce,0,0,0
2006,Live,Water,0,0,0
2006,Live,Wetland,0,0,0
2006,Soil,Agriculture,407.1,406.3,407.8
