LUC,RCP,GCM,?NPP,?Rh,?NEP,?LULCC,?NECB
BAU,RCP4.5,CanESM2,4.2,-4.3,8.6,-1,9.6
,,CNRM-CM5,15,0.3,14.7,2.3,12.3
,,HadGEM2-ES,-6.8,-10.6,3.8,-3,6.8
,,MIROC5,-11.9,-14,2.1,-3.2,5.3
,RCP8.5,CanESM2,18.1,6.3,11.9,1.2,10.7
,,CNRM-CM5,16,3.4,12.6,1.4,11.2
,,HadGEM2-ES,-7.1,-7,-0.1,-3.4,3.3
,,MIROC5,-12.2,-11.1,-1.1,-4.9,3.8
High,RCP4.5,CanESM2,5.5,-4.7,10.3,0.9,9.3
,,CNRM-CM5,16.7,0,16.6,4.5,12.2
,,HadGEM2-ES,-5.6,-11,5.4,-1.1,6.5
,,MIROC5,-10.8,-14.4,3.6,-1.5,5.1
,RCP8.5,CanESM2,19.6,5.9,13.8,3.3,10.4
,,CNRM-CM5,17.5,3,14.5,3.6,10.9
,,HadGEM2-ES,-5.7,-7.3,1.6,-1.4,3.1
,,MIROC5,-11.2,-11.5,0.3,-3.2,3.5
Medium,RCP4.5,CanESM2,5.2,-3.7,9,-1.3,10.3
,,CNRM-CM5,16.5,1.2,15.3,2,13.3
,,HadGEM2-ES,-5.8,-10,4.2,-3.2,7.4
,,MIROC5,-10.9,-13.4,2.5,-3.5,5.9
,RCP8.5,CanESM2,19.6,7.2,12.4,0.9,11.5
,,CNRM-CM5,17.5,4.3,13.3,1.2,12
,,HadGEM2-ES,-6,-6.3,0.3,-3.5,3.8
,,MIROC5,-11.4,-10.5,-0.9,-5.2,4.3
Low,RCP4.5,CanESM2,7.1,-1.9,9.1,-2.3,11.3
,,CNRM-CM5,18.3,3,15.3,0.9,14.4
,,HadGEM2-ES,-4,-8.3,4.3,-4.1,8.5
,,MIROC5,-9.3,-11.8,2.5,-4.5,7
,RCP8.5,CanESM2,21.5,9,12.5,0,12.5
,,CNRM-CM5,19.2,6.1,13.2,0,13.1
,,HadGEM2-ES,-4.3,-4.5,0.3,-4.5,4.8
,,MIROC5,-9.8,-8.8,-0.9,-6.1,5.3
