Timestep,TransitionGroupID,Amount,DistributionType,DistributionFrequencyID,DistributionSD
2017,DROUGHT: High Severity [Type],306.2420094,Normal,Iteration and Timestep,153.1210047
2018,DROUGHT: High Severity [Type],97.74454321,Normal,Iteration and Timestep,48.87227161
2019,DROUGHT: High Severity [Type],70.17093818,Normal,Iteration and Timestep,35.08546909
2020,DROUGHT: High Severity [Type],54.80271289,Normal,Iteration and Timestep,27.40135645
2021,DROUGHT: High Severity [Type],186.4474475,Normal,Iteration and Timestep,93.22372374
2022,DROUGHT: High Severity [Type],196.4140438,Normal,Iteration and Timestep,98.20702189
2023,DROUGHT: High Severity [Type],1153.321404,Normal,Iteration and Timestep,576.6607018
2024,DROUGHT: High Severity [Type],2490.566521,Normal,Iteration and Timestep,1245.283261
2025,DROUGHT: High Severity [Type],4006.981254,Normal,Iteration and Timestep,2003.490627
2026,DROUGHT: High Severity [Type],1473.424327,Normal,Iteration and Timestep,736.7121636
2027,DROUGHT: High Severity [Type],1586.294999,Normal,Iteration and Timestep,793.1474993
2028,DROUGHT: High Severity [Type],1576.168715,Normal,Iteration and Timestep,788.0843575
2029,DROUGHT: High Severity [Type],2029.195693,Normal,Iteration and Timestep,1014.597847
2030,DROUGHT: High Severity [Type],1742.039448,Normal,Iteration and Timestep,871.0197239
2031,DROUGHT: High Severity [Type],2221.84026,Normal,Iteration and Timestep,1110.92013
2032,DROUGHT: High Severity [Type],760.3330351,Normal,Iteration and Timestep,380.1665176
2033,DROUGHT: High Severity [Type],544.5950751,Normal,Iteration and Timestep,272.2975376
2034,DROUGHT: High Severity [Type],167.4903684,Normal,Iteration and Timestep,83.74518422
2035,DROUGHT: High Severity [Type],96.31975835,Normal,Iteration and Timestep,48.15987918
2036,DROUGHT: High Severity [Type],110.7493383,Normal,Iteration and Timestep,55.37466917
2037,DROUGHT: High Severity [Type],163.1052754,Normal,Iteration and Timestep,81.55263771
2038,DROUGHT: High Severity [Type],322.7703536,Normal,Iteration and Timestep,161.3851768
2039,DROUGHT: High Severity [Type],164.1320697,Normal,Iteration and Timestep,82.06603485
2040,DROUGHT: High Severity [Type],778.9962677,Normal,Iteration and Timestep,389.4981339
2041,DROUGHT: High Severity [Type],1311.686882,Normal,Iteration and Timestep,655.8434412
2042,DROUGHT: High Severity [Type],899.9931386,Normal,Iteration and Timestep,449.9965693
2043,DROUGHT: High Severity [Type],848.3687692,Normal,Iteration and Timestep,424.1843846
2044,DROUGHT: High Severity [Type],1108.667052,Normal,Iteration and Timestep,554.3335258
2045,DROUGHT: High Severity [Type],681.4730068,Normal,Iteration and Timestep,340.7365034
2046,DROUGHT: High Severity [Type],388.8041682,Normal,Iteration and Timestep,194.4020841
2047,DROUGHT: High Severity [Type],357.5049017,Normal,Iteration and Timestep,178.7524509
2048,DROUGHT: High Severity [Type],576.0904929,Normal,Iteration and Timestep,288.0452465
2049,DROUGHT: High Severity [Type],1435.943807,Normal,Iteration and Timestep,717.9719035
2050,DROUGHT: High Severity [Type],1077.352684,Normal,Iteration and Timestep,538.6763419
2051,DROUGHT: High Severity [Type],108.4572,Normal,Iteration and Timestep,54.22860001
2052,DROUGHT: High Severity [Type],328.6911337,Normal,Iteration and Timestep,164.3455668
2053,DROUGHT: High Severity [Type],290.5184003,Normal,Iteration and Timestep,145.2592001
2054,DROUGHT: High Severity [Type],786.7240732,Normal,Iteration and Timestep,393.3620366
2055,DROUGHT: High Severity [Type],319.447123,Normal,Iteration and Timestep,159.7235615
2056,DROUGHT: High Severity [Type],2118.557567,Normal,Iteration and Timestep,1059.278784
2057,DROUGHT: High Severity [Type],275.2361592,Normal,Iteration and Timestep,137.6180796
2058,DROUGHT: High Severity [Type],154.2507685,Normal,Iteration and Timestep,77.12538427
2059,DROUGHT: High Severity [Type],61.67116538,Normal,Iteration and Timestep,30.83558269
2060,DROUGHT: High Severity [Type],40.94493795,Normal,Iteration and Timestep,20.47246898
2061,DROUGHT: High Severity [Type],85.11136081,Normal,Iteration and Timestep,42.5556804
2062,DROUGHT: High Severity [Type],358.6912761,Normal,Iteration and Timestep,179.3456381
2063,DROUGHT: High Severity [Type],205.7902472,Normal,Iteration and Timestep,102.8951236
2064,DROUGHT: High Severity [Type],810.0752387,Normal,Iteration and Timestep,405.0376193
2065,DROUGHT: High Severity [Type],1097.361602,Normal,Iteration and Timestep,548.6808008
2066,DROUGHT: High Severity [Type],2519.026996,Normal,Iteration and Timestep,1259.513498
2067,DROUGHT: High Severity [Type],818.2509463,Normal,Iteration and Timestep,409.1254731
2068,DROUGHT: High Severity [Type],5783.051625,Normal,Iteration and Timestep,2891.525813
2069,DROUGHT: High Severity [Type],673.4878915,Normal,Iteration and Timestep,336.7439457
2070,DROUGHT: High Severity [Type],233.328036,Normal,Iteration and Timestep,116.664018
2071,DROUGHT: High Severity [Type],1015.272383,Normal,Iteration and Timestep,507.6361913
2072,DROUGHT: High Severity [Type],582.7929632,Normal,Iteration and Timestep,291.3964816
2073,DROUGHT: High Severity [Type],350.7722856,Normal,Iteration and Timestep,175.3861428
2074,DROUGHT: High Severity [Type],455.1342536,Normal,Iteration and Timestep,227.5671268
2075,DROUGHT: High Severity [Type],302.7003306,Normal,Iteration and Timestep,151.3501653
2076,DROUGHT: High Severity [Type],113.5432086,Normal,Iteration and Timestep,56.77160428
2077,DROUGHT: High Severity [Type],118.122654,Normal,Iteration and Timestep,59.06132699
2078,DROUGHT: High Severity [Type],264.052923,Normal,Iteration and Timestep,132.0264615
2079,DROUGHT: High Severity [Type],336.9963554,Normal,Iteration and Timestep,168.4981777
2080,DROUGHT: High Severity [Type],32.20683159,Normal,Iteration and Timestep,16.1034158
2081,DROUGHT: High Severity [Type],19.83962573,Normal,Iteration and Timestep,9.919812863
2082,DROUGHT: High Severity [Type],17.90139618,Normal,Iteration and Timestep,8.950698091
2083,DROUGHT: High Severity [Type],49.30282075,Normal,Iteration and Timestep,24.65141037
2084,DROUGHT: High Severity [Type],308.2424424,Normal,Iteration and Timestep,154.1212212
2085,DROUGHT: High Severity [Type],10055.20568,Normal,Iteration and Timestep,5027.602838
2086,DROUGHT: High Severity [Type],3215.120381,Normal,Iteration and Timestep,1607.560191
2087,DROUGHT: High Severity [Type],562.8518019,Normal,Iteration and Timestep,281.425901
