Timestep,TransitionGroupID,Amount,DistributionType,DistributionFrequencyID,DistributionSD
2017,DROUGHT: High Severity [Type],55.94801704,Normal,Iteration and Timestep,27.97400852
2018,DROUGHT: High Severity [Type],41.91356515,Normal,Iteration and Timestep,20.95678258
2019,DROUGHT: High Severity [Type],36.43950442,Normal,Iteration and Timestep,18.21975221
2020,DROUGHT: High Severity [Type],175.0410928,Normal,Iteration and Timestep,87.52054642
2021,DROUGHT: High Severity [Type],4999.520352,Normal,Iteration and Timestep,2499.760176
2022,DROUGHT: High Severity [Type],1724.706898,Normal,Iteration and Timestep,862.3534492
2023,DROUGHT: High Severity [Type],2007.634511,Normal,Iteration and Timestep,1003.817256
2024,DROUGHT: High Severity [Type],1427.812669,Normal,Iteration and Timestep,713.9063344
2025,DROUGHT: High Severity [Type],2082.229563,Normal,Iteration and Timestep,1041.114782
2026,DROUGHT: High Severity [Type],668.4021644,Normal,Iteration and Timestep,334.2010822
2027,DROUGHT: High Severity [Type],2357.312883,Normal,Iteration and Timestep,1178.656441
2028,DROUGHT: High Severity [Type],541.1524443,Normal,Iteration and Timestep,270.5762221
2029,DROUGHT: High Severity [Type],352.1692862,Normal,Iteration and Timestep,176.0846431
2030,DROUGHT: High Severity [Type],265.0088966,Normal,Iteration and Timestep,132.5044483
2031,DROUGHT: High Severity [Type],1006.459146,Normal,Iteration and Timestep,503.229573
2032,DROUGHT: High Severity [Type],724.4457029,Normal,Iteration and Timestep,362.2228515
2033,DROUGHT: High Severity [Type],865.9497881,Normal,Iteration and Timestep,432.974894
2034,DROUGHT: High Severity [Type],986.4413419,Normal,Iteration and Timestep,493.2206709
2035,DROUGHT: High Severity [Type],751.0573159,Normal,Iteration and Timestep,375.528658
2036,DROUGHT: High Severity [Type],327.0659623,Normal,Iteration and Timestep,163.5329812
2037,DROUGHT: High Severity [Type],68.26182534,Normal,Iteration and Timestep,34.13091267
2038,DROUGHT: High Severity [Type],205.0526465,Normal,Iteration and Timestep,102.5263232
2039,DROUGHT: High Severity [Type],482.3334305,Normal,Iteration and Timestep,241.1667152
2040,DROUGHT: High Severity [Type],242.1738118,Normal,Iteration and Timestep,121.0869059
2041,DROUGHT: High Severity [Type],573.4765932,Normal,Iteration and Timestep,286.7382966
2042,DROUGHT: High Severity [Type],2116.289714,Normal,Iteration and Timestep,1058.144857
2043,DROUGHT: High Severity [Type],4035.062053,Normal,Iteration and Timestep,2017.531027
2044,DROUGHT: High Severity [Type],2330.26394,Normal,Iteration and Timestep,1165.13197
2045,DROUGHT: High Severity [Type],4074.472777,Normal,Iteration and Timestep,2037.236388
2046,DROUGHT: High Severity [Type],208.4308464,Normal,Iteration and Timestep,104.2154232
2047,DROUGHT: High Severity [Type],400.4249575,Normal,Iteration and Timestep,200.2124787
2048,DROUGHT: High Severity [Type],136.5289139,Normal,Iteration and Timestep,68.26445695
2049,DROUGHT: High Severity [Type],93.11046875,Normal,Iteration and Timestep,46.55523438
2050,DROUGHT: High Severity [Type],82.41552774,Normal,Iteration and Timestep,41.20776387
2051,DROUGHT: High Severity [Type],280.4879728,Normal,Iteration and Timestep,140.2439864
2052,DROUGHT: High Severity [Type],701.9454867,Normal,Iteration and Timestep,350.9727433
2053,DROUGHT: High Severity [Type],1789.724988,Normal,Iteration and Timestep,894.8624939
2054,DROUGHT: High Severity [Type],1553.337455,Normal,Iteration and Timestep,776.6687276
2055,DROUGHT: High Severity [Type],1326.628858,Normal,Iteration and Timestep,663.3144292
2056,DROUGHT: High Severity [Type],5020.264802,Normal,Iteration and Timestep,2510.132401
2057,DROUGHT: High Severity [Type],1967.92903,Normal,Iteration and Timestep,983.9645149
2058,DROUGHT: High Severity [Type],1889.226074,Normal,Iteration and Timestep,944.6130372
2059,DROUGHT: High Severity [Type],333.2091275,Normal,Iteration and Timestep,166.6045638
2060,DROUGHT: High Severity [Type],56.06650759,Normal,Iteration and Timestep,28.0332538
2061,DROUGHT: High Severity [Type],14.47962211,Normal,Iteration and Timestep,7.239811056
