Timestep,TransitionGroupID,Amount,DistributionType,DistributionFrequencyID,DistributionSD
2017,DROUGHT: High Severity [Type],14.53129425,Normal,Iteration and Timestep,7.265647124
2018,DROUGHT: High Severity [Type],15.46940803,Normal,Iteration and Timestep,7.734704016
2019,DROUGHT: High Severity [Type],14.9800914,Normal,Iteration and Timestep,7.490045701
2020,DROUGHT: High Severity [Type],21.00800042,Normal,Iteration and Timestep,10.50400021
2021,DROUGHT: High Severity [Type],67.71459697,Normal,Iteration and Timestep,33.85729849
2022,DROUGHT: High Severity [Type],115.1925998,Normal,Iteration and Timestep,57.59629988
2023,DROUGHT: High Severity [Type],150.4868604,Normal,Iteration and Timestep,75.2434302
2024,DROUGHT: High Severity [Type],276.8258468,Normal,Iteration and Timestep,138.4129234
2025,DROUGHT: High Severity [Type],811.5544518,Normal,Iteration and Timestep,405.7772259
2026,DROUGHT: High Severity [Type],870.0631612,Normal,Iteration and Timestep,435.0315806
2027,DROUGHT: High Severity [Type],7634.370163,Normal,Iteration and Timestep,3817.185082
2028,DROUGHT: High Severity [Type],4743.79585,Normal,Iteration and Timestep,2371.897925
2029,DROUGHT: High Severity [Type],1015.668925,Normal,Iteration and Timestep,507.8344625
2030,DROUGHT: High Severity [Type],1256.266864,Normal,Iteration and Timestep,628.1334322
2031,DROUGHT: High Severity [Type],858.7029233,Normal,Iteration and Timestep,429.3514616
2032,DROUGHT: High Severity [Type],85.62759758,Normal,Iteration and Timestep,42.81379879
2033,DROUGHT: High Severity [Type],84.67186869,Normal,Iteration and Timestep,42.33593434
2034,DROUGHT: High Severity [Type],435.0594008,Normal,Iteration and Timestep,217.5297004
2035,DROUGHT: High Severity [Type],653.8786268,Normal,Iteration and Timestep,326.9393134
2036,DROUGHT: High Severity [Type],530.6851467,Normal,Iteration and Timestep,265.3425733
2037,DROUGHT: High Severity [Type],1345.293706,Normal,Iteration and Timestep,672.6468531
2038,DROUGHT: High Severity [Type],2178.806464,Normal,Iteration and Timestep,1089.403232
2039,DROUGHT: High Severity [Type],740.8150826,Normal,Iteration and Timestep,370.4075413
2040,DROUGHT: High Severity [Type],1292.834271,Normal,Iteration and Timestep,646.4171355
2041,DROUGHT: High Severity [Type],1752.893447,Normal,Iteration and Timestep,876.4467237
2042,DROUGHT: High Severity [Type],2348.299924,Normal,Iteration and Timestep,1174.149962
2043,DROUGHT: High Severity [Type],755.2777849,Normal,Iteration and Timestep,377.6388925
2044,DROUGHT: High Severity [Type],1572.305666,Normal,Iteration and Timestep,786.1528332
2045,DROUGHT: High Severity [Type],332.5852585,Normal,Iteration and Timestep,166.2926293
2046,DROUGHT: High Severity [Type],50.39520084,Normal,Iteration and Timestep,25.19760042
2047,DROUGHT: High Severity [Type],65.46915163,Normal,Iteration and Timestep,32.73457582
2048,DROUGHT: High Severity [Type],261.6918121,Normal,Iteration and Timestep,130.845906
2049,DROUGHT: High Severity [Type],147.5878612,Normal,Iteration and Timestep,73.79393059
2050,DROUGHT: High Severity [Type],73.47510696,Normal,Iteration and Timestep,36.73755348
2051,DROUGHT: High Severity [Type],427.8682265,Normal,Iteration and Timestep,213.9341133
2052,DROUGHT: High Severity [Type],124.0831617,Normal,Iteration and Timestep,62.04158084
2053,DROUGHT: High Severity [Type],53.46111264,Normal,Iteration and Timestep,26.73055632
2054,DROUGHT: High Severity [Type],72.64635573,Normal,Iteration and Timestep,36.32317787
2055,DROUGHT: High Severity [Type],77.22646835,Normal,Iteration and Timestep,38.61323417
2056,DROUGHT: High Severity [Type],96.20731564,Normal,Iteration and Timestep,48.10365782
2057,DROUGHT: High Severity [Type],264.9274503,Normal,Iteration and Timestep,132.4637251
2058,DROUGHT: High Severity [Type],1299.619808,Normal,Iteration and Timestep,649.8099039
2059,DROUGHT: High Severity [Type],1948.793604,Normal,Iteration and Timestep,974.3968019
2060,DROUGHT: High Severity [Type],2199.72976,Normal,Iteration and Timestep,1099.86488
2061,DROUGHT: High Severity [Type],2174.811344,Normal,Iteration and Timestep,1087.405672
2062,DROUGHT: High Severity [Type],3509.157802,Normal,Iteration and Timestep,1754.578901
2063,DROUGHT: High Severity [Type],1350.184904,Normal,Iteration and Timestep,675.092452
2064,DROUGHT: High Severity [Type],657.9491096,Normal,Iteration and Timestep,328.9745548
2065,DROUGHT: High Severity [Type],524.8239984,Normal,Iteration and Timestep,262.4119992
2066,DROUGHT: High Severity [Type],399.9452299,Normal,Iteration and Timestep,199.9726149
2067,DROUGHT: High Severity [Type],406.3528117,Normal,Iteration and Timestep,203.1764059
2068,DROUGHT: High Severity [Type],423.9767402,Normal,Iteration and Timestep,211.9883701
2069,DROUGHT: High Severity [Type],183.7452526,Normal,Iteration and Timestep,91.8726263
2070,DROUGHT: High Severity [Type],176.012298,Normal,Iteration and Timestep,88.00614899
2071,DROUGHT: High Severity [Type],467.2159744,Normal,Iteration and Timestep,233.6079872
2072,DROUGHT: High Severity [Type],494.9813514,Normal,Iteration and Timestep,247.4906757
2073,DROUGHT: High Severity [Type],818.8854657,Normal,Iteration and Timestep,409.4427329
2074,DROUGHT: High Severity [Type],119.8500154,Normal,Iteration and Timestep,59.92500771
2075,DROUGHT: High Severity [Type],532.671436,Normal,Iteration and Timestep,266.335718
2076,DROUGHT: High Severity [Type],53.21345548,Normal,Iteration and Timestep,26.60672774
2077,DROUGHT: High Severity [Type],8.241809375,Normal,Iteration and Timestep,4.120904687
2078,DROUGHT: High Severity [Type],8.266416964,Normal,Iteration and Timestep,4.133208482
