Timestep,TransitionGroupID,Amount,DistributionType,DistributionFrequencyID,DistributionSD
2017,DROUGHT: High Severity [Type],258.7403617,Normal,Iteration and Timestep,129.3701809
2018,DROUGHT: High Severity [Type],770.5099241,Normal,Iteration and Timestep,385.254962
2019,DROUGHT: High Severity [Type],5181.514979,Normal,Iteration and Timestep,2590.75749
2020,DROUGHT: High Severity [Type],12014.85306,Normal,Iteration and Timestep,6007.426529
2021,DROUGHT: High Severity [Type],3687.580183,Normal,Iteration and Timestep,1843.790091
2022,DROUGHT: High Severity [Type],361.8202407,Normal,Iteration and Timestep,180.9101204
2023,DROUGHT: High Severity [Type],943.6352762,Normal,Iteration and Timestep,471.8176381
2024,DROUGHT: High Severity [Type],500.4926477,Normal,Iteration and Timestep,250.2463238
2025,DROUGHT: High Severity [Type],492.6899079,Normal,Iteration and Timestep,246.344954
2026,DROUGHT: High Severity [Type],551.4003766,Normal,Iteration and Timestep,275.7001883
2027,DROUGHT: High Severity [Type],865.3115804,Normal,Iteration and Timestep,432.6557902
2028,DROUGHT: High Severity [Type],634.4213022,Normal,Iteration and Timestep,317.2106511
2029,DROUGHT: High Severity [Type],513.0288714,Normal,Iteration and Timestep,256.5144357
2030,DROUGHT: High Severity [Type],191.0834003,Normal,Iteration and Timestep,95.54170015
2031,DROUGHT: High Severity [Type],167.7250566,Normal,Iteration and Timestep,83.86252829
2032,DROUGHT: High Severity [Type],246.9463217,Normal,Iteration and Timestep,123.4731608
2033,DROUGHT: High Severity [Type],128.9363448,Normal,Iteration and Timestep,64.46817238
2034,DROUGHT: High Severity [Type],57.39177863,Normal,Iteration and Timestep,28.69588931
2035,DROUGHT: High Severity [Type],150.773499,Normal,Iteration and Timestep,75.38674949
2036,DROUGHT: High Severity [Type],98.34531369,Normal,Iteration and Timestep,49.17265684
2037,DROUGHT: High Severity [Type],118.0933978,Normal,Iteration and Timestep,59.04669892
2038,DROUGHT: High Severity [Type],499.0440784,Normal,Iteration and Timestep,249.5220392
2039,DROUGHT: High Severity [Type],639.8706834,Normal,Iteration and Timestep,319.9353417
2040,DROUGHT: High Severity [Type],298.9012409,Normal,Iteration and Timestep,149.4506205
2041,DROUGHT: High Severity [Type],574.7829893,Normal,Iteration and Timestep,287.3914947
2042,DROUGHT: High Severity [Type],500.2668176,Normal,Iteration and Timestep,250.1334088
2043,DROUGHT: High Severity [Type],74.22634026,Normal,Iteration and Timestep,37.11317013
2044,DROUGHT: High Severity [Type],474.5022647,Normal,Iteration and Timestep,237.2511323
2045,DROUGHT: High Severity [Type],540.0332583,Normal,Iteration and Timestep,270.0166292
