Iteration,Timestep,StratumID,SecondaryStratumID,TertiaryStratumID,TransitionGroupID,Amount,DistributionType,DistributionFrequencyID,DistributionSD,DistributionMin,DistributionMax
,2013,,Alameda,,URBANIZATION,9.8578,,,,,
,2013,,Alpine,,URBANIZATION,0,,,,,
,2013,,Amador,,URBANIZATION,0,,,,,
,2013,,Butte,,URBANIZATION,0.1801,,,,,
,2013,,Calaveras,,URBANIZATION,0,,,,,
,2013,,Colusa,,URBANIZATION,0.1402,,,,,
,2013,,Contra Costa,,URBANIZATION,8.9823,,,,,
,2013,,Del Norte,,URBANIZATION,0,,,,,
,2013,,El Dorado,,URBANIZATION,0.5285,,,,,
,2013,,Fresno,,URBANIZATION,4.7757,,,,,
,2013,,Glenn,,URBANIZATION,0.1193,,,,,
,2013,,Humboldt,,URBANIZATION,0.0164,,,,,
,2013,,Imperial,,URBANIZATION,0.6295,,,,,
,2013,,Inyo,,URBANIZATION,0.0116,,,,,
,2013,,Kern,,URBANIZATION,6.5598,,,,,
,2013,,Kings,,URBANIZATION,0.1759,,,,,
,2013,,Lake,,URBANIZATION,0,,,,,
,2013,,Lassen,,URBANIZATION,0,,,,,
,2013,,Los Angeles,,URBANIZATION,22.6428,,,,,
,2013,,Madera,,URBANIZATION,0.6667,,,,,
,2013,,Marin,,URBANIZATION,1.7854,,,,,
,2013,,Mariposa,,URBANIZATION,0,,,,,
,2013,,Mendocino,,URBANIZATION,0.0554,,,,,
,2013,,Merced,,URBANIZATION,0.9689,,,,,
,2013,,Modoc,,URBANIZATION,0,,,,,
,2013,,Mono,,URBANIZATION,0,,,,,
,2013,,Monterey,,URBANIZATION,2.14,,,,,
,2013,,Napa,,URBANIZATION,0.5043,,,,,
,2013,,Nevada,,URBANIZATION,0,,,,,
,2013,,Orange,,URBANIZATION,11.8174,,,,,
,2013,,Placer,,URBANIZATION,3.2518,,,,,
,2013,,Plumas,,URBANIZATION,0,,,,,
,2013,,Riverside,,URBANIZATION,19.2257,,,,,
,2013,,Sacramento,,URBANIZATION,5.8073,,,,,
,2013,,San Benito,,URBANIZATION,0.4852,,,,,
,2013,,San Bernardino,,URBANIZATION,10.165,,,,,
,2013,,San Diego,,URBANIZATION,20.9373,,,,,
,2013,,San Francisco,,URBANIZATION,1.5463,,,,,
,2013,,San Joaquin,,URBANIZATION,2.9772,,,,,
,2013,,San Luis Obispo,,URBANIZATION,0.6964,,,,,
,2013,,San Mateo,,URBANIZATION,3.8799,,,,,
,2013,,Santa Barbara,,URBANIZATION,3.0956,,,,,
,2013,,Santa Clara,,URBANIZATION,13.169,,,,,
,2013,,Santa Cruz,,URBANIZATION,1.9298,,,,,
,2013,,Shasta,,URBANIZATION,0.5151,,,,,
,2013,,Sierra Valley,,URBANIZATION,0,,,,,
,2013,,Siskiyou,,URBANIZATION,0,,,,,
,2013,,Solano,,URBANIZATION,1.8428,,,,,
,2013,,Sonoma,,URBANIZATION,3.037,,,,,
,2013,,Stanislaus,,URBANIZATION,2.0957,,,,,
,2013,,Sutter,,URBANIZATION,0.2826,,,,,
,2013,,Tehama,,URBANIZATION,0.0103,,,,,
,2013,,Trinity,,URBANIZATION,0,,,,,
,2013,,Tulare,,URBANIZATION,1.5579,,,,,
,2013,,Tuolumne,,URBANIZATION,0,,,,,
,2013,,Ventura,,URBANIZATION,3.7586,,,,,
,2013,,Yolo,,URBANIZATION,1.6847,,,,,
,2013,,Yuba,,URBANIZATION,0.3376,,,,,
,2014,,Alameda,,URBANIZATION,11.0617,,,,,
,2014,,Alpine,,URBANIZATION,0,,,,,
,2014,,Amador,,URBANIZATION,0,,,,,
,2014,,Butte,,URBANIZATION,0.8179,,,,,
,2014,,Calaveras,,URBANIZATION,0,,,,,
,2014,,Colusa,,URBANIZATION,0.1226,,,,,
,2014,,Contra Costa,,URBANIZATION,8.5377,,,,,
,2014,,Del Norte,,URBANIZATION,0,,,,,
,2014,,El Dorado,,URBANIZATION,0.0579,,,,,
,2014,,Fresno,,URBANIZATION,5.1963,,,,,
,2014,,Glenn,,URBANIZATION,0.0976,,,,,
,2014,,Humboldt,,URBANIZATION,0,,,,,
,2014,,Imperial,,URBANIZATION,1.8925,,,,,
,2014,,Inyo,,URBANIZATION,0.0397,,,,,
,2014,,Kern,,URBANIZATION,5.1434,,,,,
,2014,,Kings,,URBANIZATION,0,,,,,
,2014,,Lake,,URBANIZATION,0.3808,,,,,
,2014,,Lassen,,URBANIZATION,0,,,,,
,2014,,Los Angeles,,URBANIZATION,23.33,,,,,
,2014,,Madera,,URBANIZATION,0.9181,,,,,
,2014,,Marin,,URBANIZATION,1.4973,,,,,
,2014,,Mariposa,,URBANIZATION,0,,,,,
,2014,,Mendocino,,URBANIZATION,0.3409,,,,,
