Iteration,Timestep,StratumID,SecondaryStratumID,TertiaryStratumID,StateClassID,StateAttributeTypeID,AgeMin,AgeMax,Value
,,California Chaparral and Oak Woodlands,,,Agriculture:Annual,Albedo,,,0.1629
,,California Chaparral and Oak Woodlands,,,Agriculture:Perennial,Albedo,,,0.1629
,,California Chaparral and Oak Woodlands,,,Barren:All,Albedo,,,0.3017
,,California Chaparral and Oak Woodlands,,,Developed:All,Albedo,,,0.1455
,,California Chaparral and Oak Woodlands,,,Developed:Transportation,Albedo,,,0.1455
,,California Chaparral and Oak Woodlands,,,Forest:All,Albedo,1,5,0.1346
,,California Chaparral and Oak Woodlands,,,Forest:All,Albedo,6,10,0.1541
,,California Chaparral and Oak Woodlands,,,Forest:All,Albedo,11,,0.1141
,,California Chaparral and Oak Woodlands,,,Grassland:All,Albedo,,,0.1541
,,California Chaparral and Oak Woodlands,,,Shrubland:All,Albedo,,,0.1541
,,California Chaparral and Oak Woodlands,,,Water:All,Albedo,,,0.0434
,,California Chaparral and Oak Woodlands,,,Wetland:All,Albedo,,,0.0967
,,Cascades,,,Agriculture:Annual,Albedo,,,0.1398
,,Cascades,,,Agriculture:Perennial,Albedo,,,0.1398
,,Cascades,,,Barren:All,Albedo,,,0.1156
,,Cascades,,,Developed:All,Albedo,,,0.1262
,,Cascades,,,Developed:Transportation,Albedo,,,0.1262
,,Cascades,,,Forest:All,Albedo,1,5,0.1189
,,Cascades,,,Forest:All,Albedo,6,10,0.0981
,,Cascades,,,Forest:All,Albedo,11,,0.0932
,,Cascades,,,Grassland:All,Albedo,,,0.0981
,,Cascades,,,Shrubland:All,Albedo,,,0.0981
,,Cascades,,,Water:All,Albedo,,,0.0426
,,Cascades,,,Wetland:All,Albedo,,,0.106
,,Central Basin and Range,,,Agriculture:Annual,Albedo,,,0.1932
,,Central Basin and Range,,,Agriculture:Perennial,Albedo,,,0.1932
,,Central Basin and Range,,,Barren:All,Albedo,,,0.2585
,,Central Basin and Range,,,Developed:All,Albedo,,,0.189
,,Central Basin and Range,,,Developed:Transportation,Albedo,,,0.189
,,Central Basin and Range,,,Forest:All,Albedo,1,5,0.1346
,,Central Basin and Range,,,Forest:All,Albedo,6,10,0.1681
,,Central Basin and Range,,,Forest:All,Albedo,11,,0.1266
,,Central Basin and Range,,,Grassland:All,Albedo,,,0.1681
,,Central Basin and Range,,,Shrubland:All,Albedo,,,0.1681
,,Central Basin and Range,,,Water:All,Albedo,,,0.1495
,,Central Basin and Range,,,Wetland:All,Albedo,,,0.1815
,,Central California Valley,,,Agriculture:Annual,Albedo,,,0.176
,,Central California Valley,,,Agriculture:Perennial,Albedo,,,0.176
,,Central California Valley,,,Barren:All,Albedo,,,0.1787
,,Central California Valley,,,Developed:All,Albedo,,,0.165
,,Central California Valley,,,Developed:Transportation,Albedo,,,0.165
,,Central California Valley,,,Forest:All,Albedo,1,5,0.1881
,,Central California Valley,,,Forest:All,Albedo,6,10,0.1924
,,Central California Valley,,,Forest:All,Albedo,11,,0.1661
,,Central California Valley,,,Grassland:All,Albedo,,,0.1924
,,Central California Valley,,,Shrubland:All,Albedo,,,0.1924
,,Central California Valley,,,Water:All,Albedo,,,0.1105
,,Central California Valley,,,Wetland:All,Albedo,,,0.1424
,,Coast Range,,,Agriculture:Annual,Albedo,,,0.1492
,,Coast Range,,,Agriculture:Perennial,Albedo,,,0.1492
,,Coast Range,,,Barren:All,Albedo,,,0.1468
,,Coast Range,,,Developed:All,Albedo,,,0.1202
,,Coast Range,,,Developed:Transportation,Albedo,,,0.1202
,,Coast Range,,,Forest:All,Albedo,1,5,0.1221
,,Coast Range,,,Forest:All,Albedo,6,10,0.1192
,,Coast Range,,,Forest:All,Albedo,11,,0.1079
,,Coast Range,,,Grassland:All,Albedo,,,0.1192
,,Coast Range,,,Shrubland:All,Albedo,,,0.1192
,,Coast Range,,,Water:All,Albedo,,,0.0452
,,Coast Range,,,Wetland:All,Albedo,,,0.1004
,,Eastern Cascades Slopes and Foothills,,,Agriculture:Annual,Albedo,,,0.1657
,,Eastern Cascades Slopes and Foothills,,,Agriculture:Perennial,Albedo,,,0.1657
,,Eastern Cascades Slopes and Foothills,,,Barren:All,Albedo,,,0.1277
,,Eastern Cascades Slopes and Foothills,,,Developed:All,Albedo,,,0.1634
,,Eastern Cascades Slopes and Foothills,,,Developed:Transportation,Albedo,,,0.1634
,,Eastern Cascades Slopes and Foothills,,,Forest:All,Albedo,1,5,0.115
,,Eastern Cascades Slopes and Foothills,,,Forest:All,Albedo,6,10,0.1295
,,Eastern Cascades Slopes and Foothills,,,Forest:All,Albedo,11,,0.1043
,,Eastern Cascades Slopes and Foothills,,,Grassland:All,Albedo,,,0.1295
,,Eastern Cascades Slopes and Foothills,,,Shrubland:All,Albedo,,,0.1295
,,Eastern Cascades Slopes and Foothills,,,Water:All,Albedo,,,0.0538
,,Eastern Cascades Slopes and Foothills,,,Wetland:All,Albedo,,,0.136
,,Klamath Mountains,,,Agriculture:Annual,Albedo,,,0.1379
,,Klamath Mountains,,,Agriculture:Perennial,Albedo,,,0.1379
,,Klamath Mountains,,,Barren:All,Albedo,,,0.1787
,,Klamath Mountains,,,Developed:All,Albedo,,,0.1258
,,Klamath Mountains,,,Developed:Transportation,Albedo,,,0.1258
,,Klamath Mountains,,,Forest:All,Albedo,1,5,0.1093
,,Klamath Mountains,,,Forest:All,Albedo,6,10,0.1213
,,Klamath Mountains,,,Forest:All,Albedo,11,,0.0968
,,Klamath Mountains,,,Grassland:All,Albedo,,,0.1213
,,Klamath Mountains,,,Shrubland:All,Albedo,,,0.1213
,,Klamath Mountains,,,Water:All,Albedo,,,0.0709
,,Klamath Mountains,,,Wetland:All,Albedo,,,0.1406
,,Mojave Basin and Range,,,Agriculture:Annual,Albedo,,,0.258
,,Mojave Basin and Range,,,Agriculture:Perennial,Albedo,,,0.258
,,Mojave Basin and Range,,,Barren:All,Albedo,,,0.2606
,,Mojave Basin and Range,,,Developed:All,Albedo,,,0.2345
,,Mojave Basin and Range,,,Developed:Transportation,Albedo,,,0.2345
,,Mojave Basin and Range,,,Forest:All,Albedo,1,5,0.2036
,,Mojave Basin and Range,,,Forest:All,Albedo,6,10,0.1978
,,Mojave Basin and Range,,,Forest:All,Albedo,11,,0.1297
,,Mojave Basin and Range,,,Grassland:All,Albedo,,,0.1978
,,Mojave Basin and Range,,,Shrubland:All,Albedo,,,0.1978
,,Mojave Basin and Range,,,Water:All,Albedo,,,0.0874
,,Mojave Basin and Range,,,Wetland:All,Albedo,,,0.139
,,Northern Basin and Range,,,Agriculture:Annual,Albedo,,,0.1703
,,Northern Basin and Range,,,Agriculture:Perennial,Albedo,,,0.1703
,,Northern Basin and Range,,,Barren:All,Albedo,,,0.1549
