Iteration,Timestep,StratumID,SecondaryStratumID,TertiaryStratumID,DistributionTypeID,ExternalVariableTypeID,ExternalVariableMin,ExternalVariableMax,Value,ValueDistributionTypeID,ValueDistributionFrequency,ValueDistributionSD,ValueDistributionMin,ValueDistributionMax,ValueDistributionRelativeFrequency
,,,Alameda,,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,1999,1999,0,Normal,Iteration and Timestep,0,,,
,,,Alpine,,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,1999,1999,0,Normal,Iteration and Timestep,0,,,
,,,Amador,,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,1999,1999,1.3851,Normal,Iteration and Timestep,0.69255,,,
,,,Butte,,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,1999,1999,5.9778,Normal,Iteration and Timestep,2.9889,,,
,,,Calaveras,,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,1999,1999,4.8843,Normal,Iteration and Timestep,2.44215,,,
,,,Colusa,,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,1999,1999,2.1141,Normal,Iteration and Timestep,1.05705,,,
,,,Contra Costa,,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,1999,1999,0,Normal,Iteration and Timestep,0,,,
,,,Del Norte,,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,1999,1999,6.4881,Normal,Iteration and Timestep,3.24405,,,
,,,El Dorado,,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,1999,1999,6.4152,Normal,Iteration and Timestep,3.2076,,,
,,,Fresno,,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,1999,1999,2.7702,Normal,Iteration and Timestep,1.3851,,,
,,,Glenn,,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,1999,1999,5.103,Normal,Iteration and Timestep,2.5515,,,
,,,Humboldt,,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,1999,1999,45.2709,Normal,Iteration and Timestep,22.63545,,,
,,,Imperial,,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,1999,1999,0.2187,Normal,Iteration and Timestep,0.10935,,,
,,,Inyo,,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,1999,1999,0,Normal,Iteration and Timestep,0,,,
,,,Kern,,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,1999,1999,0.2187,Normal,Iteration and Timestep,0.10935,,,
,,,Kings,,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,1999,1999,0,Normal,Iteration and Timestep,0,,,
,,,Lake,,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,1999,1999,2.187,Normal,Iteration and Timestep,1.0935,,,
,,,Lassen,,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,1999,1999,8.6022,Normal,Iteration and Timestep,4.3011,,,
,,,Los Angeles,,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,1999,1999,0.5832,Normal,Iteration and Timestep,0.2916,,,
,,,Madera,,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,1999,1999,0,Normal,Iteration and Timestep,0,,,
,,,Marin,,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,1999,1999,0.2916,Normal,Iteration and Timestep,0.1458,,,
,,,Mariposa,,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,1999,1999,0.2187,Normal,Iteration and Timestep,0.10935,,,
,,,Mendocino,,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,1999,1999,34.4817,Normal,Iteration and Timestep,17.24085,,,
,,,Merced,,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,1999,1999,0,Normal,Iteration and Timestep,0,,,
,,,Modoc,,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,1999,1999,4.8843,Normal,Iteration and Timestep,2.44215,,,
,,,Mono,,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,1999,1999,0.2187,Normal,Iteration and Timestep,0.10935,,,
,,,Monterey,,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,1999,1999,0.0729,Normal,Iteration and Timestep,0.03645,,,
,,,Napa,,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,1999,1999,0.5103,Normal,Iteration and Timestep,0.25515,,,
,,,Nevada,,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,1999,1999,7.8732,Normal,Iteration and Timestep,3.9366,,,
,,,Orange,,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,1999,1999,0.9477,Normal,Iteration and Timestep,0.47385,,,
,,,Placer,,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,1999,1999,11.5911,Normal,Iteration and Timestep,5.79555,,,
,,,Plumas,,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,1999,1999,15.309,Normal,Iteration and Timestep,7.6545,,,
,,,Riverside,,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,1999,1999,0.8019,Normal,Iteration and Timestep,0.40095,,,
,,,Sacramento,,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,1999,1999,0,Normal,Iteration and Timestep,0,,,
,,,San Benito,,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,1999,1999,0,Normal,Iteration and Timestep,0,,,
,,,San Bernardino,,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,1999,1999,1.0206,Normal,Iteration and Timestep,0.5103,,,
,,,San Diego,,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,1999,1999,0.4374,Normal,Iteration and Timestep,0.2187,,,
,,,San Francisco,,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,1999,1999,0,Normal,Iteration and Timestep,0,,,
,,,San Joaquin,,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,1999,1999,0,Normal,Iteration and Timestep,0,,,
,,,San Luis Obispo,,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,1999,1999,0,Normal,Iteration and Timestep,0,,,
,,,San Mateo,,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,1999,1999,0,Normal,Iteration and Timestep,0,,,
,,,Santa Barbara,,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,1999,1999,1.5309,Normal,Iteration and Timestep,0.76545,,,
,,,Santa Clara,,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,1999,1999,0.0729,Normal,Iteration and Timestep,0.03645,,,
,,,Santa Cruz,,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,1999,1999,0.0729,Normal,Iteration and Timestep,0.03645,,,
,,,Shasta,,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,1999,1999,13.2678,Normal,Iteration and Timestep,6.6339,,,
,,,Sierra Valley,,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,1999,1999,4.0824,Normal,Iteration and Timestep,2.0412,,,
,,,Siskiyou,,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,1999,1999,20.3391,Normal,Iteration and Timestep,10.16955,,,
,,,Solano,,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,1999,1999,0,Normal,Iteration and Timestep,0,,,
,,,Sonoma,,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,1999,1999,7.29,Normal,Iteration and Timestep,3.645,,,
,,,Stanislaus,,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,1999,1999,0.0729,Normal,Iteration and Timestep,0.03645,,,
,,,Sutter,,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,1999,1999,0,Normal,Iteration and Timestep,0,,,
,,,Tehama,,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,1999,1999,1.458,Normal,Iteration and Timestep,0.729,,,
,,,Trinity,,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,1999,1999,9.1854,Normal,Iteration and Timestep,4.5927,,,
,,,Tulare,,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,1999,1999,4.7385,Normal,Iteration and Timestep,2.36925,,,
,,,Tuolumne,,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,1999,1999,1.7496,Normal,Iteration and Timestep,0.8748,,,
,,,Ventura,,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,1999,1999,0.5103,Normal,Iteration and Timestep,0.25515,,,
,,,Yolo,,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,1999,1999,0.1458,Normal,Iteration and Timestep,0.0729,,,
,,,Yuba,,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,1999,1999,0.5832,Normal,Iteration and Timestep,0.2916,,,
,,,Alameda,,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2000,2000,0,Normal,Iteration and Timestep,0,,,
,,,Alpine,,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2000,2000,0.729,Normal,Iteration and Timestep,0.3645,,,
,,,Amador,,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2000,2000,5.6133,Normal,Iteration and Timestep,2.80665,,,
,,,Butte,,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2000,2000,10.7892,Normal,Iteration and Timestep,5.3946,,,
,,,Calaveras,,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2000,2000,6.4881,Normal,Iteration and Timestep,3.24405,,,
,,,Colusa,,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2000,2000,0,Normal,Iteration and Timestep,0,,,
,,,Contra Costa,,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2000,2000,0,Normal,Iteration and Timestep,0,,,
,,,Del Norte,,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2000,2000,8.1648,Normal,Iteration and Timestep,4.0824,,,
,,,El Dorado,,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2000,2000,20.9223,Normal,Iteration and Timestep,10.46115,,,
,,,Fresno,,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2000,2000,1.8225,Normal,Iteration and Timestep,0.91125,,,
,,,Glenn,,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2000,2000,0.3645,Normal,Iteration and Timestep,0.18225,,,
,,,Humboldt,,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2000,2000,53.217,Normal,Iteration and Timestep,26.6085,,,
,,,Imperial,,Historical Rate: Forest Clearcut,Historical Year: Forest Harvest,2000,2000,0.1458,Normal,Iteration and Timestep,0.0729,,,
