Timestep,TransitionGroupID,Amount,DistributionType,DistributionFrequencyID,DistributionSD
2017,DROUGHT: High Severity [Type],1894.398665,Normal,Iteration and Timestep,947.1993326
2018,DROUGHT: High Severity [Type],516.2424908,Normal,Iteration and Timestep,258.1212454
2019,DROUGHT: High Severity [Type],1127.571043,Normal,Iteration and Timestep,563.7855216
2020,DROUGHT: High Severity [Type],718.6581272,Normal,Iteration and Timestep,359.3290636
2021,DROUGHT: High Severity [Type],464.8579102,Normal,Iteration and Timestep,232.4289551
2022,DROUGHT: High Severity [Type],833.7902839,Normal,Iteration and Timestep,416.895142
2023,DROUGHT: High Severity [Type],4115.839375,Normal,Iteration and Timestep,2057.919688
2024,DROUGHT: High Severity [Type],824.6433348,Normal,Iteration and Timestep,412.3216674
2025,DROUGHT: High Severity [Type],1105.425984,Normal,Iteration and Timestep,552.7129921
2026,DROUGHT: High Severity [Type],400.8061876,Normal,Iteration and Timestep,200.4030938
2027,DROUGHT: High Severity [Type],114.5590177,Normal,Iteration and Timestep,57.27950887
2028,DROUGHT: High Severity [Type],145.2016894,Normal,Iteration and Timestep,72.60084469
2029,DROUGHT: High Severity [Type],715.6079089,Normal,Iteration and Timestep,357.8039544
2030,DROUGHT: High Severity [Type],301.8993362,Normal,Iteration and Timestep,150.9496681
2031,DROUGHT: High Severity [Type],712.4007878,Normal,Iteration and Timestep,356.2003939
2032,DROUGHT: High Severity [Type],983.4638684,Normal,Iteration and Timestep,491.7319342
2033,DROUGHT: High Severity [Type],625.6140541,Normal,Iteration and Timestep,312.8070271
2034,DROUGHT: High Severity [Type],142.1426103,Normal,Iteration and Timestep,71.07130517
2035,DROUGHT: High Severity [Type],258.0366194,Normal,Iteration and Timestep,129.0183097
2036,DROUGHT: High Severity [Type],40.80784631,Normal,Iteration and Timestep,20.40392315
2037,DROUGHT: High Severity [Type],16.23023257,Normal,Iteration and Timestep,8.115116285
2038,DROUGHT: High Severity [Type],45.6507135,Normal,Iteration and Timestep,22.82535675
2039,DROUGHT: High Severity [Type],84.65503068,Normal,Iteration and Timestep,42.32751534
2040,DROUGHT: High Severity [Type],75.34169574,Normal,Iteration and Timestep,37.67084787
2041,DROUGHT: High Severity [Type],246.2968865,Normal,Iteration and Timestep,123.1484432
2042,DROUGHT: High Severity [Type],2569.040662,Normal,Iteration and Timestep,1284.520331
2043,DROUGHT: High Severity [Type],1642.033241,Normal,Iteration and Timestep,821.0166206
2044,DROUGHT: High Severity [Type],3285.290368,Normal,Iteration and Timestep,1642.645184
2045,DROUGHT: High Severity [Type],489.5331013,Normal,Iteration and Timestep,244.7665506
2046,DROUGHT: High Severity [Type],118.5397162,Normal,Iteration and Timestep,59.26985808
2047,DROUGHT: High Severity [Type],34.50070483,Normal,Iteration and Timestep,17.25035242
2048,DROUGHT: High Severity [Type],34.9396452,Normal,Iteration and Timestep,17.4698226
2049,DROUGHT: High Severity [Type],29.8006788,Normal,Iteration and Timestep,14.9003394
2050,DROUGHT: High Severity [Type],36.18130297,Normal,Iteration and Timestep,18.09065149
2051,DROUGHT: High Severity [Type],32.06685478,Normal,Iteration and Timestep,16.03342739
2052,DROUGHT: High Severity [Type],278.3494607,Normal,Iteration and Timestep,139.1747303
2053,DROUGHT: High Severity [Type],674.1228448,Normal,Iteration and Timestep,337.0614224
2054,DROUGHT: High Severity [Type],804.9874821,Normal,Iteration and Timestep,402.493741
2055,DROUGHT: High Severity [Type],1074.949382,Normal,Iteration and Timestep,537.4746912
2056,DROUGHT: High Severity [Type],560.588601,Normal,Iteration and Timestep,280.2943005
2057,DROUGHT: High Severity [Type],580.8413188,Normal,Iteration and Timestep,290.4206594
2058,DROUGHT: High Severity [Type],380.4572143,Normal,Iteration and Timestep,190.2286072
2059,DROUGHT: High Severity [Type],179.0017893,Normal,Iteration and Timestep,89.50089464
2060,DROUGHT: High Severity [Type],21.74249099,Normal,Iteration and Timestep,10.8712455
2061,DROUGHT: High Severity [Type],49.02113662,Normal,Iteration and Timestep,24.51056831
2062,DROUGHT: High Severity [Type],76.30146658,Normal,Iteration and Timestep,38.15073329
2063,DROUGHT: High Severity [Type],16.47954053,Normal,Iteration and Timestep,8.239770263
2064,DROUGHT: High Severity [Type],32.56575278,Normal,Iteration and Timestep,16.28287639
2065,DROUGHT: High Severity [Type],1751.455331,Normal,Iteration and Timestep,875.7276657
2066,DROUGHT: High Severity [Type],2020.62365,Normal,Iteration and Timestep,1010.311825
2067,DROUGHT: High Severity [Type],1086.391768,Normal,Iteration and Timestep,543.195884
2068,DROUGHT: High Severity [Type],6369.725655,Normal,Iteration and Timestep,3184.862828
2069,DROUGHT: High Severity [Type],7007.836895,Normal,Iteration and Timestep,3503.918447
2070,DROUGHT: High Severity [Type],1704.415858,Normal,Iteration and Timestep,852.2079292
2071,DROUGHT: High Severity [Type],1426.638024,Normal,Iteration and Timestep,713.3190119
2072,DROUGHT: High Severity [Type],2401.892578,Normal,Iteration and Timestep,1200.946289
2073,DROUGHT: High Severity [Type],195.8849377,Normal,Iteration and Timestep,97.94246887
2074,DROUGHT: High Severity [Type],245.7038258,Normal,Iteration and Timestep,122.8519129
2075,DROUGHT: High Severity [Type],504.2017845,Normal,Iteration and Timestep,252.1008922
2076,DROUGHT: High Severity [Type],394.4278229,Normal,Iteration and Timestep,197.2139114
2077,DROUGHT: High Severity [Type],93.58605741,Normal,Iteration and Timestep,46.7930287
2078,DROUGHT: High Severity [Type],101.4799498,Normal,Iteration and Timestep,50.73997488
2079,DROUGHT: High Severity [Type],196.7382762,Normal,Iteration and Timestep,98.36913812
2080,DROUGHT: High Severity [Type],256.268917,Normal,Iteration and Timestep,128.1344585
2081,DROUGHT: High Severity [Type],103.1163685,Normal,Iteration and Timestep,51.55818427
2082,DROUGHT: High Severity [Type],412.5522897,Normal,Iteration and Timestep,206.2761448
