Timestep,TransitionGroupID,Amount,DistributionType,DistributionFrequencyID,DistributionSD
2017,DROUGHT: High Severity [Type],533.5215943,Normal,Iteration and Timestep,266.7607972
2018,DROUGHT: High Severity [Type],251.4102936,Normal,Iteration and Timestep,125.7051468
2019,DROUGHT: High Severity [Type],262.7046915,Normal,Iteration and Timestep,131.3523458
2020,DROUGHT: High Severity [Type],537.3418431,Normal,Iteration and Timestep,268.6709216
2021,DROUGHT: High Severity [Type],1228.459716,Normal,Iteration and Timestep,614.229858
2022,DROUGHT: High Severity [Type],3620.259419,Normal,Iteration and Timestep,1810.12971
2023,DROUGHT: High Severity [Type],6175.624475,Normal,Iteration and Timestep,3087.812237
2024,DROUGHT: High Severity [Type],8777.682083,Normal,Iteration and Timestep,4388.841042
2025,DROUGHT: High Severity [Type],3865.501253,Normal,Iteration and Timestep,1932.750626
2026,DROUGHT: High Severity [Type],1001.020096,Normal,Iteration and Timestep,500.5100482
2027,DROUGHT: High Severity [Type],252.4503163,Normal,Iteration and Timestep,126.2251581
2028,DROUGHT: High Severity [Type],217.8181655,Normal,Iteration and Timestep,108.9090828
2029,DROUGHT: High Severity [Type],331.1462009,Normal,Iteration and Timestep,165.5731004
2030,DROUGHT: High Severity [Type],448.5485245,Normal,Iteration and Timestep,224.2742623
2031,DROUGHT: High Severity [Type],432.0227142,Normal,Iteration and Timestep,216.0113571
2032,DROUGHT: High Severity [Type],293.7555973,Normal,Iteration and Timestep,146.8777987
2033,DROUGHT: High Severity [Type],211.1732891,Normal,Iteration and Timestep,105.5866445
2034,DROUGHT: High Severity [Type],179.8378864,Normal,Iteration and Timestep,89.9189432
2035,DROUGHT: High Severity [Type],317.5550434,Normal,Iteration and Timestep,158.7775217
2036,DROUGHT: High Severity [Type],1237.491503,Normal,Iteration and Timestep,618.7457517
2037,DROUGHT: High Severity [Type],11820.26439,Normal,Iteration and Timestep,5910.132193
2038,DROUGHT: High Severity [Type],11811.1522,Normal,Iteration and Timestep,5905.576098
2039,DROUGHT: High Severity [Type],2709.853638,Normal,Iteration and Timestep,1354.926819
2040,DROUGHT: High Severity [Type],1942.307736,Normal,Iteration and Timestep,971.1538681
2041,DROUGHT: High Severity [Type],737.453762,Normal,Iteration and Timestep,368.726881
2042,DROUGHT: High Severity [Type],364.8052203,Normal,Iteration and Timestep,182.4026101
2043,DROUGHT: High Severity [Type],1044.034583,Normal,Iteration and Timestep,522.0172914
2044,DROUGHT: High Severity [Type],1818.918926,Normal,Iteration and Timestep,909.4594628
2045,DROUGHT: High Severity [Type],922.1279915,Normal,Iteration and Timestep,461.0639957
2046,DROUGHT: High Severity [Type],718.5814426,Normal,Iteration and Timestep,359.2907213
2047,DROUGHT: High Severity [Type],825.7887034,Normal,Iteration and Timestep,412.8943517
2048,DROUGHT: High Severity [Type],113.1365341,Normal,Iteration and Timestep,56.56826704
2049,DROUGHT: High Severity [Type],58.17458994,Normal,Iteration and Timestep,29.08729497
2050,DROUGHT: High Severity [Type],60.30747055,Normal,Iteration and Timestep,30.15373527
2051,DROUGHT: High Severity [Type],105.9826306,Normal,Iteration and Timestep,52.99131528
2052,DROUGHT: High Severity [Type],118.0798791,Normal,Iteration and Timestep,59.03993954
2053,DROUGHT: High Severity [Type],280.18969,Normal,Iteration and Timestep,140.094845
2054,DROUGHT: High Severity [Type],716.0671816,Normal,Iteration and Timestep,358.0335908
2055,DROUGHT: High Severity [Type],797.4953689,Normal,Iteration and Timestep,398.7476845
2056,DROUGHT: High Severity [Type],655.3470211,Normal,Iteration and Timestep,327.6735106
2057,DROUGHT: High Severity [Type],549.9448226,Normal,Iteration and Timestep,274.9724113
