Timestep,TransitionGroupID,Amount,DistributionType,DistributionFrequencyID,DistributionSD
2017,DROUGHT: High Severity [Type],167.1844687,Normal,Iteration and Timestep,83.59223435
2018,DROUGHT: High Severity [Type],41.32071883,Normal,Iteration and Timestep,20.66035942
2019,DROUGHT: High Severity [Type],78.37934384,Normal,Iteration and Timestep,39.18967192
2020,DROUGHT: High Severity [Type],281.2047998,Normal,Iteration and Timestep,140.6023999
2021,DROUGHT: High Severity [Type],556.2265828,Normal,Iteration and Timestep,278.1132914
2022,DROUGHT: High Severity [Type],1754.430879,Normal,Iteration and Timestep,877.2154396
2023,DROUGHT: High Severity [Type],3932.114224,Normal,Iteration and Timestep,1966.057112
2024,DROUGHT: High Severity [Type],587.9172481,Normal,Iteration and Timestep,293.9586241
2025,DROUGHT: High Severity [Type],126.3055539,Normal,Iteration and Timestep,63.15277696
2026,DROUGHT: High Severity [Type],162.5679477,Normal,Iteration and Timestep,81.28397386
2027,DROUGHT: High Severity [Type],37.19945444,Normal,Iteration and Timestep,18.59972722
2028,DROUGHT: High Severity [Type],183.3643382,Normal,Iteration and Timestep,91.68216908
2029,DROUGHT: High Severity [Type],695.3714444,Normal,Iteration and Timestep,347.6857222
2030,DROUGHT: High Severity [Type],675.0030987,Normal,Iteration and Timestep,337.5015494
2031,DROUGHT: High Severity [Type],596.9061438,Normal,Iteration and Timestep,298.4530719
2032,DROUGHT: High Severity [Type],1120.353715,Normal,Iteration and Timestep,560.1768575
2033,DROUGHT: High Severity [Type],378.9964816,Normal,Iteration and Timestep,189.4982408
2034,DROUGHT: High Severity [Type],595.9705259,Normal,Iteration and Timestep,297.9852629
2035,DROUGHT: High Severity [Type],443.9892326,Normal,Iteration and Timestep,221.9946163
2036,DROUGHT: High Severity [Type],92.04835768,Normal,Iteration and Timestep,46.02417884
2037,DROUGHT: High Severity [Type],111.5028881,Normal,Iteration and Timestep,55.75144407
2038,DROUGHT: High Severity [Type],74.5700244,Normal,Iteration and Timestep,37.2850122
2039,DROUGHT: High Severity [Type],67.17659691,Normal,Iteration and Timestep,33.58829845
2040,DROUGHT: High Severity [Type],33.86015029,Normal,Iteration and Timestep,16.93007515
2041,DROUGHT: High Severity [Type],46.59652368,Normal,Iteration and Timestep,23.29826184
2042,DROUGHT: High Severity [Type],36.06787527,Normal,Iteration and Timestep,18.03393763
2043,DROUGHT: High Severity [Type],345.9881932,Normal,Iteration and Timestep,172.9940966
2044,DROUGHT: High Severity [Type],279.9386602,Normal,Iteration and Timestep,139.9693301
2045,DROUGHT: High Severity [Type],219.365577,Normal,Iteration and Timestep,109.6827885
